timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509134.658006,31.6,4.92,0.00,2.94,0.60
1738509134.758001,31.6,4.92,0.00,2.94,0.60
1738509134.858100,31.6,4.92,0.00,2.94,0.60
1738509134.958444,31.6,4.92,0.00,2.94,0.60
1738509135.058530,31.6,4.92,0.00,2.94,0.60
1738509135.158500,31.6,4.92,0.00,2.94,0.60
1738509135.258556,31.6,4.92,0.00,2.94,0.60
1738509135.358575,31.6,4.92,0.00,2.94,0.60
1738509135.458556,31.6,4.92,0.00,2.94,0.60
1738509135.558521,31.6,4.92,0.00,2.94,0.61
1738509135.658097,31.6,4.92,0.00,2.94,0.60
1738509135.758567,31.6,4.92,0.00,2.94,0.59
1738509135.858089,31.6,4.92,0.00,2.94,0.60
1738509135.958114,31.6,4.92,0.00,2.94,0.60
1738509136.058139,31.6,4.92,0.00,2.94,0.60
1738509136.158492,31.6,4.92,0.00,2.94,0.60
1738509136.258527,31.6,4.92,0.00,2.94,0.60
1738509136.358481,31.6,4.92,0.00,3.02,0.60
1738509136.458456,31.6,4.92,0.00,2.94,0.60
1738509136.558342,31.6,4.92,0.00,2.94,0.60
1738509136.658449,31.6,4.92,0.00,2.94,0.60
1738509136.758396,31.6,4.92,0.00,2.94,0.60
1738509136.858459,31.6,4.92,0.00,2.94,0.60
1738509136.958402,31.6,4.92,0.00,2.94,0.60
1738509137.058389,31.6,4.92,0.00,2.94,0.59
1738509137.158435,31.6,4.92,0.00,2.92,0.60
1738509137.258428,31.6,4.92,0.00,2.94,0.60
1738509137.358416,31.6,4.92,0.00,2.94,0.60
1738509137.458529,31.6,4.92,0.00,2.94,0.60
1738509137.558293,31.6,4.92,0.00,2.94,0.60
1738509137.658236,31.6,4.92,0.00,2.94,0.60
1738509137.758328,31.6,4.92,0.00,2.94,0.60
1738509137.858155,31.6,4.92,0.00,2.92,0.60
1738509137.958456,31.6,4.92,0.00,2.94,0.60
1738509138.058324,31.6,4.92,0.00,2.94,0.60
1738509138.158292,31.6,4.92,0.00,2.94,0.60
1738509138.258374,31.6,4.92,0.00,2.94,0.60
1738509138.358378,31.6,4.92,0.00,2.94,0.60
1738509138.458331,31.6,4.92,0.00,2.94,0.60
1738509138.558337,31.6,4.92,0.00,2.94,0.60
1738509138.658310,31.6,4.92,0.00,2.94,0.60
1738509138.758369,31.6,4.92,0.00,2.94,0.60
1738509138.861787,31.6,4.92,0.00,2.94,0.60
1738509138.958379,31.6,4.92,0.00,2.94,0.60
1738509139.058355,31.6,4.92,0.00,2.94,0.60
1738509139.158405,31.6,4.92,0.00,2.94,0.60
1738509139.258317,31.6,4.92,0.00,2.94,0.60
1738509139.358091,31.6,4.92,0.00,2.94,0.61
1738509139.458269,31.6,4.92,0.00,2.94,0.60
1738509139.558311,31.6,4.92,0.00,2.92,0.60
1738509139.658382,31.6,4.92,0.00,3.02,0.60
1738509139.758324,31.6,4.92,0.00,2.94,0.60
1738509139.858307,31.6,4.92,0.00,2.94,0.60
1738509139.958245,31.6,4.92,0.00,2.94,0.60
1738509140.058318,31.6,4.92,0.00,2.94,0.60
1738509140.158348,31.6,4.92,0.00,2.94,0.60
1738509140.258275,31.6,4.92,0.00,2.94,0.60
1738509140.358285,31.6,4.92,0.00,2.94,0.60
1738509140.458286,31.6,4.92,0.00,2.94,0.60
1738509140.558269,31.6,4.92,0.00,2.94,0.60
1738509140.658119,31.6,4.92,0.00,2.92,0.60
1738509140.758117,31.6,4.92,0.00,2.94,0.60
1738509140.858135,31.6,4.92,0.00,2.92,0.60
1738509140.957991,31.6,4.92,0.00,2.94,0.60
1738509141.062001,31.6,4.92,0.00,2.94,0.60
1738509141.158076,31.6,4.92,0.00,2.94,0.60
1738509141.258116,31.6,4.92,0.00,2.94,0.60
1738509141.358090,31.6,4.92,0.00,2.94,0.60
1738509141.458009,31.6,4.92,0.00,2.94,0.60
1738509141.558033,31.6,4.92,0.00,2.94,0.60
1738509141.658095,31.6,4.92,0.00,2.92,0.60
1738509141.758082,31.6,4.92,0.00,2.94,0.60
1738509141.858254,31.6,4.92,0.00,2.94,0.60
1738509141.958220,31.6,4.92,0.00,2.94,0.61
1738509142.058055,31.6,4.92,0.00,2.92,0.59
1738509142.158046,31.6,4.92,0.00,2.94,0.60
1738509142.258247,31.6,4.92,0.00,2.94,0.60
