timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509469.636755,32.5,4.92,0.00,2.94,0.60
1738509469.736936,32.5,4.92,0.00,2.92,0.59
1738509469.837109,32.5,4.92,0.00,2.94,0.59
1738509469.937106,31.6,4.92,0.00,2.92,0.60
1738509470.037153,31.6,4.92,0.00,2.94,0.60
1738509470.137172,31.6,4.92,0.00,2.92,0.60
1738509470.237058,31.6,4.92,0.00,2.94,0.60
1738509470.337117,31.6,4.92,0.00,2.92,0.59
1738509470.437098,31.6,4.92,0.00,2.92,0.60
1738509470.537116,31.6,4.92,0.00,2.94,0.60
1738509470.637083,31.6,4.92,0.00,2.92,0.59
1738509470.736782,31.6,4.92,0.00,2.94,0.60
1738509470.836992,31.6,4.92,0.00,2.94,0.60
1738509470.937042,31.6,4.92,0.00,2.94,0.60
1738509471.037062,31.6,4.92,0.00,2.94,0.60
1738509471.137057,31.6,4.92,0.00,2.92,0.59
1738509471.237076,31.6,4.92,0.00,2.92,0.60
1738509471.337097,31.6,4.92,0.00,2.92,0.61
1738509471.437056,31.6,4.92,0.00,2.92,0.60
1738509471.536992,31.6,4.92,0.00,2.94,0.59
1738509471.637078,31.6,4.92,0.00,2.92,0.60
1738509471.737122,31.6,4.92,0.00,2.94,0.60
1738509471.837034,31.6,4.92,0.00,2.94,0.59
1738509471.936941,31.6,4.92,0.00,2.94,0.60
1738509472.036883,31.6,4.92,0.00,2.92,0.60
1738509472.136957,31.6,4.92,0.00,2.94,0.60
1738509472.237140,31.6,4.92,0.00,2.92,0.60
1738509472.337101,31.6,4.92,0.00,2.94,0.60
1738509472.437007,32.5,4.92,0.00,2.94,0.60
1738509472.536999,32.5,4.92,0.00,2.92,0.60
1738509472.637151,32.5,4.92,0.00,2.94,0.60
1738509472.737217,32.5,4.92,0.00,2.94,0.60
1738509472.837070,32.5,4.92,0.00,2.92,0.59
1738509472.937113,32.5,4.92,0.00,2.94,0.60
1738509473.036965,32.5,4.92,0.00,2.92,0.60
1738509473.136728,32.5,4.92,0.00,2.94,0.60
1738509473.237070,31.6,4.92,0.00,2.92,0.60
1738509473.337068,31.6,4.92,0.00,2.94,0.60
1738509473.437063,31.6,4.92,0.00,2.92,0.59
1738509473.537109,31.6,4.92,0.00,2.92,0.60
1738509473.637041,31.6,4.92,0.00,2.94,0.60
1738509473.737145,31.6,4.92,0.00,2.94,0.59
1738509473.837124,31.6,4.92,0.00,2.92,0.60
1738509473.937100,31.6,4.92,0.00,2.92,0.59
1738509474.037132,31.6,4.92,0.00,2.94,0.61
1738509474.137011,32.5,4.92,0.00,2.92,0.60
1738509474.237147,32.5,4.92,0.00,2.94,0.60
1738509474.337035,32.5,4.92,0.00,2.94,0.60
1738509474.436928,32.5,4.92,0.00,2.94,0.60
1738509474.537126,32.5,4.92,0.00,2.92,0.60
1738509474.637083,32.5,4.92,0.00,2.92,0.60
1738509474.737087,32.5,4.92,0.00,2.92,0.60
1738509474.837083,32.5,4.92,0.00,2.92,0.59
1738509474.937039,32.5,4.92,0.00,2.94,0.60
1738509475.037070,32.5,4.92,0.00,2.94,0.60
1738509475.137085,32.5,4.92,0.00,2.92,0.59
1738509475.237034,32.5,4.92,0.00,2.92,0.60
1738509475.337124,32.5,4.92,0.00,2.94,0.60
1738509475.437063,32.5,4.92,0.00,2.94,0.59
1738509475.537102,32.5,4.92,0.00,2.94,0.59
1738509475.637014,32.5,4.92,0.00,2.94,0.60
1738509475.737062,32.5,4.92,0.00,2.94,0.60
1738509475.837086,31.6,4.92,0.00,2.92,0.60
1738509475.936936,31.6,4.92,0.00,2.92,0.60
1738509476.037102,31.6,4.92,0.00,2.92,0.60
1738509476.137147,31.6,4.92,0.00,2.94,0.60
1738509476.237104,31.6,4.92,0.00,2.92,0.60
1738509476.337007,31.6,4.92,0.00,2.92,0.59
1738509476.437046,31.6,4.92,0.00,2.92,0.59
1738509476.537100,31.6,4.92,0.00,2.94,0.60
1738509476.637181,31.6,4.92,0.00,2.92,0.59
1738509476.736831,31.6,4.92,0.00,2.94,0.60
1738509476.837090,31.6,4.92,0.00,2.92,0.59
1738509476.937123,31.6,4.92,0.00,2.92,0.60
1738509477.037041,31.6,4.92,0.00,2.94,0.60
1738509477.137076,31.6,4.92,0.00,2.92,0.60
1738509477.237098,31.6,4.92,0.00,2.94,0.60
1738509477.337080,31.6,4.92,0.00,2.94,0.60
1738509477.437081,31.6,4.92,0.00,2.92,0.59
1738509477.537068,31.6,4.92,0.00,2.92,0.59
1738509477.637056,31.6,4.92,0.00,2.92,0.60
1738509477.737077,31.6,4.92,0.00,2.92,0.60
1738509477.837145,31.6,4.92,0.00,2.94,0.59
1738509477.937061,31.6,4.92,0.00,2.92,0.59
1738509478.037137,31.6,4.92,0.00,2.92,0.59
1738509478.137092,31.6,4.92,0.00,2.92,0.60
1738509478.237079,31.6,4.92,0.00,2.94,0.60
1738509478.337043,31.6,4.92,0.00,2.92,0.60
1738509478.436999,31.6,4.92,0.00,2.92,0.60
1738509478.537112,31.6,4.92,0.00,2.92,0.60
1738509478.637006,31.6,4.92,0.00,2.92,0.60
1738509478.737042,31.6,4.92,0.00,2.92,0.60
1738509478.837039,31.6,4.92,0.00,2.94,0.60
1738509478.937091,31.6,4.92,0.00,2.94,0.59
1738509479.037023,31.6,4.92,0.00,2.94,0.60
1738509479.137095,31.6,4.92,0.00,2.92,0.59
1738509479.237063,31.6,4.92,0.00,2.94,0.60
1738509479.337178,31.6,4.92,0.00,2.94,0.60
1738509479.437101,31.6,4.92,0.00,2.94,0.60
1738509479.537133,31.6,4.92,0.00,2.92,0.60
1738509479.637090,31.6,4.92,0.00,2.94,0.59
1738509479.737132,31.6,4.92,0.00,2.94,0.60
1738509479.837075,31.6,4.92,0.00,2.92,0.60
1738509479.936992,31.6,4.92,0.00,2.92,0.59
1738509480.036977,32.5,4.92,0.00,2.94,0.60
1738509480.137015,32.5,4.92,0.00,2.94,0.60
1738509480.237017,32.5,4.92,0.00,2.94,0.60
1738509480.336902,32.5,4.92,0.00,2.92,0.60
1738509480.437062,32.5,4.92,0.00,2.92,0.60
1738509480.537074,32.5,4.92,0.00,2.92,0.59
1738509480.637124,32.5,4.92,0.00,2.92,0.59
1738509480.737108,32.5,4.92,0.00,2.94,0.60
1738509480.837017,31.6,4.92,0.00,2.92,0.59
1738509480.936956,31.6,4.92,0.00,2.92,0.60
1738509481.036983,31.6,4.92,0.00,2.92,0.60
1738509481.136924,31.6,4.92,0.00,2.92,0.60
1738509481.237140,31.6,4.92,0.00,2.92,0.60
1738509481.337193,31.6,4.92,0.00,2.92,0.60
1738509481.437053,31.6,4.92,0.00,2.92,0.60
1738509481.536858,31.6,4.92,0.00,2.94,0.60
1738509481.636969,31.6,4.92,0.00,2.92,0.60
1738509481.737076,31.6,4.92,0.00,2.94,0.59
1738509481.837156,31.6,4.92,0.00,2.92,0.59
1738509481.937111,31.6,4.92,0.00,2.92,0.59
1738509482.037032,31.6,4.92,0.00,2.92,0.60
1738509482.137120,31.6,4.92,0.00,2.94,0.60
1738509482.237003,31.6,4.92,0.00,2.94,0.60
1738509482.337047,31.6,4.92,0.00,2.94,0.60
1738509482.437127,31.6,4.92,0.00,2.92,0.60
1738509482.537087,32.5,4.92,0.00,2.94,0.60
1738509482.637051,32.5,4.92,0.00,2.92,0.60
1738509482.737126,32.5,4.92,0.00,2.94,0.60
1738509482.837005,32.5,4.92,0.00,2.92,0.60
1738509482.937056,32.5,4.92,0.00,2.92,0.60
1738509483.037067,32.5,4.92,0.00,2.94,0.59
1738509483.137101,32.5,4.92,0.00,2.92,0.59
1738509483.237057,32.5,4.92,0.00,2.94,0.60
1738509483.337051,32.5,4.92,0.00,2.94,0.59
1738509483.437150,32.5,4.92,0.00,2.94,0.60
1738509483.537063,32.5,4.92,0.00,2.92,0.60
1738509483.637120,32.5,4.92,0.00,2.92,0.59
1738509483.737092,32.5,4.92,0.00,2.92,0.60
1738509483.836844,32.5,4.92,0.00,2.94,0.60
1738509483.936755,32.5,4.92,0.00,2.94,0.60
1738509484.036873,32.5,4.92,0.00,2.94,0.60
1738509484.137169,32.5,4.92,0.00,2.94,0.59
1738509484.237023,31.6,4.92,0.00,2.94,0.60
1738509484.337016,31.6,4.92,0.00,2.92,0.60
1738509484.437085,31.6,4.92,0.00,2.94,0.60
