timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509553.708822,34.2,4.96,0.00,2.62,0.52
1738509553.808800,31.6,4.96,0.00,2.58,0.53
1738509553.908808,31.6,4.96,0.00,2.58,0.53
1738509554.008811,31.6,4.96,0.00,2.62,0.53
1738509554.110115,31.6,4.96,0.00,2.62,0.52
1738509554.208697,31.6,4.96,0.00,2.62,0.52
1738509554.308564,31.6,4.96,0.00,2.62,0.53
1738509554.408863,31.6,4.96,0.00,2.58,0.53
1738509554.508772,31.6,4.96,0.00,2.58,0.52
1738509554.608841,30.7,4.96,0.00,2.58,0.54
1738509554.708776,30.7,4.96,0.00,2.58,0.52
1738509554.808706,30.7,4.96,0.00,2.58,0.53
1738509554.908796,30.7,4.96,0.00,2.58,0.53
1738509555.008651,30.7,4.96,0.00,2.62,0.52
1738509555.108768,30.7,4.96,0.00,2.62,0.53
1738509555.208709,30.7,4.96,0.00,2.58,0.52
1738509555.308759,30.7,4.96,0.00,2.58,0.52
1738509555.408775,30.7,4.96,0.00,2.58,0.52
1738509555.508779,29.8,4.96,0.00,2.58,0.52
1738509555.608861,29.8,4.96,0.00,2.62,0.53
1738509555.708623,29.8,4.96,0.00,2.58,0.52
1738509555.808698,29.8,4.96,0.00,2.58,0.52
1738509555.908551,29.8,4.96,0.00,2.58,0.53
1738509556.008798,29.8,4.96,0.00,2.62,0.52
1738509556.108814,29.8,4.96,0.00,2.58,0.53
1738509556.208746,29.8,4.96,0.00,2.58,0.52
1738509556.308788,28.9,4.96,0.00,2.62,0.52
1738509556.408772,28.9,4.96,0.00,2.58,0.52
1738509556.508681,28.9,4.96,0.00,2.62,0.53
1738509556.608604,28.9,4.96,0.00,2.58,0.53
1738509556.708672,28.9,4.96,0.00,2.62,0.52
1738509556.808796,28.9,4.96,0.00,2.58,0.53
1738509556.908772,28.9,4.96,0.00,2.58,0.53
1738509557.008752,28.9,4.96,0.00,2.58,0.52
1738509557.108823,28.9,4.96,0.00,2.58,0.52
1738509557.208806,28.9,4.96,0.00,2.58,0.52
1738509557.308721,28.9,4.96,0.00,2.58,0.52
1738509557.408811,28.9,4.96,0.00,2.58,0.53
1738509557.508777,28.9,4.96,0.00,2.58,0.53
1738509557.608614,28.9,4.96,0.00,2.58,0.53
1738509557.708773,28.9,4.96,0.00,2.58,0.52
1738509557.808765,28.9,4.96,0.00,2.62,0.53
1738509557.908789,28.9,4.96,0.00,2.58,0.52
1738509558.008745,28.1,4.96,0.00,2.62,0.52
1738509558.108781,28.1,4.96,0.00,2.62,0.52
1738509558.208825,28.1,4.96,0.00,2.58,0.52
1738509558.308760,28.1,4.96,0.00,2.58,0.53
1738509558.408807,28.1,4.96,0.00,2.62,0.53
1738509558.508741,28.1,4.96,0.00,2.58,0.52
1738509558.608732,28.1,4.96,0.00,2.58,0.53
1738509558.708770,28.1,4.96,0.00,2.58,0.53
1738509558.808781,27.2,4.96,0.00,2.62,0.53
1738509558.908768,27.2,4.96,0.00,2.58,0.52
1738509559.008652,27.2,4.96,0.00,2.58,0.53
1738509559.108797,27.2,4.96,0.00,2.58,0.52
1738509559.208598,27.2,4.96,0.00,2.58,0.52
1738509559.308792,27.2,4.96,0.00,2.62,0.53
1738509559.408719,27.2,4.96,0.00,2.58,0.52
1738509559.508853,27.2,4.96,0.00,2.58,0.52
1738509559.608437,27.2,4.96,0.00,2.62,0.53
1738509559.708712,27.2,4.96,0.00,2.62,0.52
1738509559.808717,27.2,4.96,0.00,2.58,0.52
1738509559.908766,27.2,4.96,0.00,2.58,0.53
1738509560.008814,27.2,4.96,0.00,2.58,0.52
1738509560.108766,27.2,4.96,0.00,2.58,0.53
1738509560.208802,27.2,4.96,0.00,2.58,0.53
1738509560.308788,27.2,4.96,0.00,2.58,0.53
1738509560.408763,27.2,4.96,0.00,2.58,0.52
1738509560.508753,27.2,4.96,0.00,2.58,0.52
1738509560.608791,27.2,4.96,0.00,2.58,0.53
1738509560.708771,27.2,4.96,0.00,2.62,0.53
1738509560.808791,27.2,4.96,0.00,2.58,0.52
1738509560.908771,27.2,4.96,0.00,2.58,0.53
1738509561.008776,27.2,4.96,0.00,2.58,0.53
1738509561.108786,27.2,4.96,0.00,2.62,0.53
1738509561.208791,27.2,4.96,0.00,2.58,0.52
1738509561.308732,27.2,4.96,0.00,2.62,0.53
1738509561.408739,27.2,4.96,0.00,2.58,0.52
1738509561.508796,27.2,4.96,0.00,2.58,0.52
1738509561.608711,27.2,4.96,0.00,2.62,0.52
1738509561.708760,27.2,4.96,0.00,2.62,0.53
1738509561.808830,27.2,4.96,0.00,2.62,0.53
1738509561.908748,27.2,4.96,0.00,2.58,0.53
1738509562.008786,27.2,4.96,0.00,2.58,0.52
1738509562.108800,27.2,4.96,0.00,2.58,0.52
1738509562.208808,27.2,4.96,0.00,2.62,0.53
1738509562.308714,27.2,4.96,0.00,2.58,0.52
1738509562.408700,27.2,4.96,0.00,2.62,0.52
1738509562.508835,27.2,4.96,0.00,2.58,0.53
1738509562.608712,27.2,4.96,0.00,2.58,0.53
1738509562.708775,27.2,4.96,0.00,2.58,0.52
1738509562.808640,27.2,4.96,0.00,2.58,0.52
1738509562.908784,27.2,4.96,0.00,2.58,0.52
1738509563.008742,27.2,4.96,0.00,2.62,0.53
1738509563.108730,27.2,4.96,0.00,2.58,0.52
1738509563.208738,27.2,4.96,0.00,2.62,0.53
1738509563.308737,27.2,4.96,0.00,2.58,0.52
1738509563.409809,27.2,4.96,0.00,2.62,0.53
1738509563.508768,27.2,4.96,0.00,2.58,0.52
