timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508440.364198,32.5,4.93,0.00,2.92,0.59
1738508440.464132,32.5,4.92,0.00,2.92,0.60
1738508440.564223,32.5,4.92,0.00,2.92,0.59
1738508440.664212,31.6,4.92,0.00,2.94,0.59
1738508440.763965,31.6,4.92,0.00,2.94,0.59
1738508440.864177,31.6,4.92,0.00,2.92,0.59
1738508440.964034,31.6,4.92,0.00,2.92,0.60
1738508441.064230,31.6,4.93,0.00,2.92,0.59
1738508441.164155,31.6,4.92,0.00,2.92,0.60
1738508441.264131,31.6,4.92,0.00,2.92,0.60
1738508441.364147,31.6,4.92,0.00,2.94,0.60
1738508441.464185,32.5,4.92,0.00,2.92,0.59
1738508441.564167,32.5,4.92,0.00,2.92,0.59
1738508441.664109,32.5,4.92,0.00,2.92,0.59
1738508441.764171,32.5,4.92,0.00,2.92,0.59
1738508441.864186,32.5,4.93,0.00,2.92,0.60
1738508441.964093,32.5,4.92,0.00,2.92,0.60
1738508442.064187,32.5,4.92,0.00,2.92,0.60
1738508442.164091,32.5,4.92,0.00,2.92,0.59
1738508442.264162,32.5,4.92,0.00,2.92,0.59
1738508442.364223,31.6,4.93,0.00,2.92,0.60
1738508442.464225,31.6,4.92,0.00,2.92,0.59
1738508442.564178,31.6,4.92,0.00,2.92,0.59
1738508442.664157,31.6,4.92,0.00,2.92,0.59
1738508442.764210,31.6,4.92,0.00,2.92,0.59
1738508442.865880,31.6,4.92,0.00,2.92,0.59
1738508442.964308,31.6,4.92,0.00,2.94,0.60
1738508443.064280,31.6,4.93,0.00,2.92,0.59
1738508443.164330,31.6,4.92,0.00,2.94,0.59
1738508443.264133,31.6,4.92,0.00,2.94,0.59
1738508443.364267,31.6,4.92,0.00,2.92,0.60
1738508443.464272,31.6,4.92,0.00,2.92,0.60
1738508443.564265,31.6,4.93,0.00,2.92,0.60
1738508443.664316,31.6,4.92,0.00,2.94,0.60
1738508443.764328,31.6,4.92,0.00,2.92,0.59
1738508443.864283,31.6,4.92,0.00,2.92,0.60
1738508443.964214,31.6,4.92,0.00,2.92,0.59
1738508444.064293,31.6,4.92,0.00,2.92,0.60
1738508444.164176,31.6,4.92,0.00,2.92,0.60
1738508444.264241,31.6,4.92,0.00,2.92,0.59
1738508444.364304,31.6,4.92,0.00,2.92,0.59
1738508444.464264,31.6,4.93,0.00,2.92,0.60
1738508444.564277,31.6,4.92,0.00,2.92,0.59
1738508444.664316,31.6,4.92,0.00,2.94,0.60
1738508444.764270,31.6,4.93,0.00,2.92,0.59
1738508444.864230,31.6,4.92,0.00,2.92,0.60
1738508444.964316,31.6,4.92,0.00,2.92,0.59
1738508445.064348,31.6,4.92,0.00,2.92,0.60
1738508445.164200,31.6,4.93,0.00,2.92,0.60
1738508445.264288,31.6,4.92,0.00,2.92,0.59
1738508445.364127,31.6,4.93,0.00,2.92,0.59
1738508445.464206,31.6,4.93,0.00,2.92,0.60
1738508445.564297,31.6,4.92,0.00,2.92,0.59
1738508445.664273,31.6,4.92,0.00,2.92,0.60
