timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508758.273351,34.2,4.92,0.00,2.94,0.59
1738508758.373486,34.2,4.92,0.00,2.94,0.59
1738508758.473428,34.2,4.92,0.00,2.92,0.60
1738508758.573156,32.5,4.92,0.00,2.92,0.59
1738508758.673448,32.5,4.92,0.00,2.92,0.60
1738508758.773320,32.5,4.92,0.00,2.92,0.59
1738508758.873384,32.5,4.92,0.00,2.94,0.59
1738508758.973564,32.5,4.92,0.00,2.92,0.59
1738508759.073350,32.5,4.92,0.00,2.92,0.59
1738508759.173461,32.5,4.92,0.00,2.92,0.59
1738508759.273448,32.5,4.92,0.00,2.92,0.60
1738508759.373421,32.5,4.92,0.00,2.92,0.60
1738508759.473385,32.5,4.92,0.00,2.92,0.60
1738508759.573229,32.5,4.92,0.00,2.92,0.59
1738508759.673398,32.5,4.92,0.00,2.94,0.60
1738508759.773405,32.5,4.92,0.00,2.92,0.60
1738508759.873374,32.5,4.92,0.00,2.92,0.60
1738508759.973478,32.5,4.93,0.00,2.92,0.60
1738508760.073413,32.5,4.92,0.00,2.92,0.59
1738508760.173418,32.5,4.92,0.00,2.92,0.60
1738508760.273351,32.5,4.92,0.00,2.92,0.60
1738508760.373404,32.5,4.92,0.00,2.92,0.60
1738508760.473402,32.5,4.92,0.00,2.92,0.60
1738508760.573304,32.5,4.92,0.00,2.92,0.59
1738508760.673467,32.5,4.92,0.00,2.94,0.60
1738508760.773410,32.5,4.92,0.00,2.94,0.60
1738508760.873480,32.5,4.92,0.00,2.94,0.59
1738508760.973343,32.5,4.92,0.00,2.92,0.60
1738508761.073397,32.5,4.92,0.00,2.94,0.59
1738508761.173418,32.5,4.92,0.00,2.92,0.60
1738508761.273517,32.5,4.92,0.00,2.94,0.60
1738508761.373408,32.5,4.92,0.00,2.94,0.60
1738508761.473035,32.5,4.92,0.00,2.92,0.60
1738508761.573295,32.5,4.92,0.00,2.94,0.60
1738508761.673435,32.5,4.92,0.00,2.92,0.59
1738508761.773569,32.5,4.92,0.00,2.92,0.60
1738508761.873440,32.5,4.92,0.00,2.94,0.60
1738508761.973473,32.5,4.92,0.00,2.94,0.60
1738508762.073411,32.5,4.92,0.00,2.92,0.60
1738508762.173456,32.5,4.92,0.00,2.92,0.59
1738508762.273388,32.5,4.92,0.00,2.94,0.59
1738508762.373443,32.5,4.92,0.00,2.92,0.59
1738508762.473435,32.5,4.92,0.00,2.92,0.60
1738508762.573380,32.5,4.92,0.00,2.92,0.60
1738508762.673464,32.5,4.92,0.00,2.92,0.59
1738508762.773473,31.6,4.92,0.00,2.94,0.60
1738508762.873055,31.6,4.92,0.00,2.92,0.59
1738508762.973418,31.6,4.92,0.00,2.92,0.59
1738508763.073415,31.6,4.92,0.00,2.92,0.59
1738508763.173460,31.6,4.92,0.00,2.92,0.59
1738508763.276667,31.6,4.92,0.00,2.92,0.59
1738508763.373481,31.6,4.92,0.00,2.92,0.60
1738508763.473396,31.6,4.92,0.00,2.94,0.59
1738508763.573450,31.6,4.92,0.00,2.92,0.59
1738508763.673448,32.5,4.92,0.00,2.92,0.60
1738508763.773480,32.5,4.92,0.00,2.92,0.59
1738508763.873404,32.5,4.92,0.00,2.94,0.59
1738508763.973424,32.5,4.92,0.00,2.94,0.59
1738508764.073427,32.5,4.92,0.00,2.92,0.60
1738508764.173473,32.5,4.92,0.00,2.92,0.60
1738508764.273423,32.5,4.92,0.00,2.94,0.60
