timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509486.479458,34.2,4.92,0.00,2.94,0.60
1738509486.579447,34.2,4.92,0.00,2.92,0.60
1738509486.679374,32.5,4.92,0.00,2.92,0.60
1738509486.779346,32.5,4.92,0.00,2.92,0.59
1738509486.879359,32.5,4.92,0.00,2.92,0.59
1738509486.979392,32.5,4.92,0.00,2.92,0.60
1738509487.079379,32.5,4.92,0.00,2.94,0.59
1738509487.179114,32.5,4.92,0.00,2.94,0.60
1738509487.279046,32.5,4.92,0.00,2.92,0.59
1738509487.379066,32.5,4.92,0.00,2.94,0.59
1738509487.479224,32.5,4.92,0.00,2.92,0.60
1738509487.579338,32.5,4.92,0.00,2.94,0.60
1738509487.679475,32.5,4.92,0.00,2.94,0.60
1738509487.779368,32.5,4.92,0.00,2.92,0.60
1738509487.879342,32.5,4.92,0.00,2.92,0.59
1738509487.979383,32.5,4.92,0.00,2.94,0.60
1738509488.079317,32.5,4.92,0.00,2.92,0.60
1738509488.179075,32.5,4.92,0.00,2.94,0.60
1738509488.279441,32.5,4.92,0.00,2.92,0.59
1738509488.379377,32.5,4.92,0.00,2.92,0.59
1738509488.479348,32.5,4.92,0.00,2.92,0.59
1738509488.579385,32.5,4.92,0.00,2.92,0.59
1738509488.679458,32.5,4.92,0.00,2.94,0.60
1738509488.779444,32.5,4.92,0.00,2.94,0.60
1738509488.879387,32.5,4.92,0.00,2.92,0.59
1738509488.979408,32.5,4.92,0.00,2.92,0.59
1738509489.079193,32.5,4.92,0.00,2.92,0.60
1738509489.179158,31.6,4.92,0.00,2.92,0.59
1738509489.279413,31.6,4.92,0.00,2.94,0.60
1738509489.379445,31.6,4.92,0.00,2.92,0.59
1738509489.479334,31.6,4.92,0.00,2.92,0.60
1738509489.579379,31.6,4.92,0.00,2.94,0.59
1738509489.679410,31.6,4.92,0.00,2.92,0.60
1738509489.779391,31.6,4.92,0.00,2.94,0.59
1738509489.879387,31.6,4.92,0.00,2.94,0.60
1738509489.979374,31.6,4.92,0.00,2.92,0.60
1738509490.079396,31.6,4.92,0.00,2.92,0.60
1738509490.179161,31.6,4.92,0.00,2.92,0.60
1738509490.279311,31.6,4.92,0.00,2.92,0.60
1738509490.379368,31.6,4.92,0.00,2.94,0.60
1738509490.479374,31.6,4.92,0.00,2.92,0.60
1738509490.579435,31.6,4.92,0.00,2.92,0.59
1738509490.679457,31.6,4.92,0.00,2.94,0.60
1738509490.779423,31.6,4.92,0.00,2.92,0.60
1738509490.879415,32.5,4.92,0.00,2.94,0.60
1738509490.979440,32.5,4.92,0.00,2.94,0.60
1738509491.079475,32.5,4.92,0.00,2.94,0.60
1738509491.179082,32.5,4.92,0.00,2.94,0.60
1738509491.279401,32.5,4.92,0.00,2.94,0.60
1738509491.379275,32.5,4.92,0.00,2.92,0.59
1738509491.482045,32.5,4.92,0.00,2.92,0.60
1738509491.579924,32.5,4.92,0.00,2.92,0.60
1738509491.679220,32.5,4.92,0.00,2.92,0.60
1738509491.779075,32.5,4.92,0.00,2.94,0.60
1738509491.879325,32.5,4.92,0.00,2.92,0.59
1738509492.022679,32.5,4.92,0.00,2.94,0.60
1738509492.094119,32.5,4.92,0.00,2.94,0.60
