timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738510268.985548,36.8,4.91,0.00,3.04,0.62
1738510269.085512,36.8,4.91,0.00,3.04,0.63
1738510269.185377,36.8,4.91,0.00,3.04,0.63
1738510269.285148,36.8,4.91,0.00,3.04,0.63
1738510269.385476,35.1,4.91,0.00,3.08,0.62
1738510269.485388,35.1,4.91,0.00,3.08,0.63
1738510269.585514,35.1,4.91,0.00,3.04,0.62
1738510269.685257,35.1,4.91,0.00,3.08,0.62
1738510269.785406,35.1,4.91,0.00,3.04,0.62
1738510269.885470,35.1,4.91,0.00,3.08,0.62
1738510269.985266,35.1,4.91,0.00,3.04,0.62
1738510270.085478,35.1,4.91,0.00,3.04,0.63
1738510270.185484,34.2,4.91,0.00,3.04,0.63
1738510270.285451,34.2,4.91,0.00,3.08,0.63
1738510270.385497,34.2,4.91,0.00,3.04,0.63
1738510270.485493,34.2,4.91,0.00,3.04,0.63
1738510270.585500,34.2,4.91,0.00,3.08,0.62
1738510270.685428,34.2,4.91,0.00,3.04,0.63
1738510270.785364,34.2,4.91,0.00,3.04,0.63
1738510270.885484,34.2,4.91,0.00,3.08,0.63
1738510270.985187,34.2,4.91,0.00,3.08,0.62
1738510271.085534,34.2,4.91,0.00,3.08,0.63
1738510271.185493,34.2,4.91,0.00,3.04,0.63
1738510271.285373,34.2,4.91,0.00,3.08,0.62
1738510271.385345,34.2,4.91,0.00,3.04,0.63
1738510271.485540,34.2,4.91,0.00,3.08,0.63
1738510271.585521,34.2,4.91,0.00,3.04,0.63
1738510271.685425,34.2,4.91,0.00,3.04,0.62
1738510271.785387,34.2,4.91,0.00,3.08,0.62
1738510271.885521,35.1,4.91,0.00,3.04,0.63
1738510271.985436,35.1,4.91,0.00,3.08,0.63
1738510272.085157,35.1,4.91,0.00,3.04,0.62
1738510272.185380,35.1,4.91,0.00,3.08,0.63
1738510272.285219,35.1,4.91,0.00,3.08,0.62
1738510272.385441,35.1,4.91,0.00,3.04,0.63
1738510272.485574,35.1,4.91,0.00,3.08,0.63
1738510272.585438,35.1,4.91,0.00,3.08,0.63
1738510272.685441,35.1,4.91,0.00,3.04,0.62
1738510272.785414,35.1,4.91,0.00,3.08,0.63
1738510272.885331,35.1,4.91,0.00,3.08,0.63
1738510272.985556,35.1,4.91,0.00,3.08,0.63
1738510273.085421,35.1,4.91,0.00,3.04,0.63
1738510273.185233,35.1,4.90,0.00,3.04,0.62
1738510273.285393,35.1,4.91,0.00,3.04,0.63
1738510273.385532,35.1,4.91,0.00,3.04,0.63
1738510273.485396,35.1,4.91,0.00,3.04,0.62
1738510273.585484,34.2,4.91,0.00,3.04,0.62
1738510273.685471,34.2,4.91,0.00,3.04,0.63
1738510273.785471,34.2,4.90,0.00,3.04,0.63
1738510273.885426,34.2,4.91,0.00,3.08,0.63
1738510273.985359,34.2,4.91,0.00,3.04,0.63
1738510274.085524,34.2,4.91,0.00,3.04,0.63
1738510274.185298,34.2,4.90,0.00,3.08,0.63
1738510274.285541,34.2,4.91,0.00,3.08,0.62
1738510274.385470,35.1,4.91,0.00,3.08,0.63
1738510274.485444,35.1,4.91,0.00,3.04,0.63
1738510274.585463,35.1,4.91,0.00,3.08,0.63
1738510274.685131,35.1,4.91,0.00,3.08,0.63
1738510274.785489,35.1,4.91,0.00,3.04,0.63
1738510274.885474,35.1,4.91,0.00,3.04,0.62
1738510274.985513,35.1,4.91,0.00,3.04,0.62
1738510275.085174,35.1,4.91,0.00,3.04,0.63
1738510275.185510,34.2,4.91,0.00,3.04,0.63
1738510275.285533,34.2,4.91,0.00,3.08,0.62
1738510275.385477,34.2,4.91,0.00,3.08,0.63
1738510275.485518,34.2,4.91,0.00,3.04,0.63
1738510275.585372,34.2,4.91,0.00,3.04,0.62
1738510275.685495,34.2,4.91,0.00,3.04,0.63
1738510275.785519,34.2,4.91,0.00,3.04,0.62
1738510275.885437,34.2,4.91,0.00,3.08,0.63
1738510275.985339,34.2,4.91,0.00,3.04,0.62
1738510276.085459,34.2,4.91,0.00,3.08,0.62
1738510276.185342,34.2,4.91,0.00,3.08,0.63
1738510276.285548,34.2,4.91,0.00,3.04,0.62
1738510276.385370,34.2,4.91,0.00,3.08,0.63
1738510276.485478,34.2,4.91,0.00,3.08,0.63
1738510276.585527,34.2,4.91,0.00,3.04,0.62
1738510276.685540,34.2,4.91,0.00,3.08,0.63
1738510276.785500,34.2,4.91,0.00,3.04,0.62
1738510276.885480,35.1,4.91,0.00,3.08,0.63
1738510276.985519,35.1,4.91,0.00,3.04,0.63
1738510277.085496,35.1,4.91,0.00,3.04,0.63
1738510277.185098,35.1,4.91,0.00,3.08,0.63
1738510277.285387,35.1,4.91,0.00,3.04,0.62
1738510277.385447,35.1,4.91,0.00,3.04,0.63
1738510277.485477,35.1,4.91,0.00,3.04,0.62
1738510277.585397,35.1,4.91,0.00,3.08,0.63
1738510277.685417,35.1,4.91,0.00,3.04,0.62
1738510277.785441,34.2,4.91,0.00,3.04,0.62
1738510277.885567,34.2,4.91,0.00,3.04,0.63
1738510277.985448,34.2,4.91,0.00,3.04,0.62
1738510278.085466,34.2,4.91,0.00,3.04,0.63
1738510278.185184,34.2,4.91,0.00,3.04,0.62
1738510278.285450,34.2,4.91,0.00,3.04,0.63
1738510278.385399,34.2,4.91,0.00,3.04,0.63
1738510278.485543,34.2,4.91,0.00,3.04,0.63
1738510278.585415,35.1,4.91,0.00,3.04,0.63
1738510278.685266,35.1,4.91,0.00,3.08,0.62
1738510278.785402,35.1,4.91,0.00,3.04,0.62
1738510278.885498,35.1,4.91,0.00,3.08,0.62
1738510278.985170,35.1,4.91,0.00,3.08,0.63
1738510279.085350,35.1,4.91,0.00,3.04,0.63
1738510279.185442,35.1,4.91,0.00,3.08,0.63
1738510279.285465,35.1,4.91,0.00,3.08,0.62
1738510279.385249,34.2,4.91,0.00,3.04,0.62
1738510279.485451,34.2,4.91,0.00,3.08,0.62
1738510279.585336,34.2,4.91,0.00,3.04,0.63
1738510279.685444,34.2,4.91,0.00,3.08,0.63
1738510279.785500,34.2,4.91,0.00,3.04,0.63
1738510279.885430,34.2,4.91,0.00,3.08,0.62
1738510279.985420,34.2,4.91,0.00,3.04,0.62
1738510280.085328,34.2,4.91,0.00,3.04,0.63
1738510280.185568,34.2,4.91,0.00,3.04,0.62
1738510280.285512,35.1,4.91,0.00,3.08,0.63
1738510280.385554,35.1,4.91,0.00,3.04,0.63
1738510280.485487,35.1,4.91,0.00,3.04,0.63
1738510280.585438,35.1,4.91,0.00,3.04,0.63
1738510280.685508,35.1,4.91,0.00,3.08,0.62
1738510280.785509,35.1,4.91,0.00,3.04,0.62
1738510280.885164,35.1,4.91,0.00,3.08,0.63
1738510280.985528,35.1,4.91,0.00,3.08,0.62
1738510281.085383,34.2,4.91,0.00,3.08,0.63
1738510281.185383,34.2,4.91,0.00,3.08,0.63
1738510281.285153,34.2,4.91,0.00,3.04,0.63
1738510281.385447,34.2,4.91,0.00,3.04,0.63
1738510281.485484,34.2,4.91,0.00,3.04,0.63
1738510281.585324,34.2,4.91,0.00,3.04,0.62
1738510281.685551,34.2,4.91,0.00,3.04,0.62
1738510281.785496,34.2,4.91,0.00,3.04,0.63
1738510281.885516,34.2,4.91,0.00,3.04,0.62
1738510281.985300,35.1,4.91,0.00,3.04,0.62
1738510282.085484,35.1,4.91,0.00,3.04,0.62
1738510282.185493,35.1,4.91,0.00,3.04,0.62
1738510282.285573,35.1,4.91,0.00,3.04,0.62
1738510282.385546,35.1,4.91,0.00,3.08,0.63
1738510282.485512,35.1,4.91,0.00,3.04,0.62
1738510282.585374,35.1,4.90,0.00,3.08,0.63
1738510282.685265,35.1,4.91,0.00,3.04,0.63
1738510282.785164,35.1,4.91,0.00,3.08,0.63
1738510282.885411,35.1,4.91,0.00,3.04,0.63
1738510282.985490,35.1,4.91,0.00,3.04,0.63
1738510283.085264,35.1,4.91,0.00,3.04,0.63
1738510283.185468,35.1,4.91,0.00,3.08,0.62
1738510283.285521,35.1,4.91,0.00,3.04,0.63
1738510283.385449,35.1,4.91,0.00,3.04,0.62
1738510283.485336,35.1,4.91,0.00,3.04,0.62
1738510283.585192,35.1,4.91,0.00,3.08,0.63
