timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508544.966985,33.3,4.93,0.00,2.92,0.59
1738508545.068638,33.3,4.93,0.00,2.86,0.59
1738508545.170275,33.3,4.93,0.00,2.92,0.59
1738508545.271997,33.3,4.93,0.00,2.92,0.59
1738508545.373361,33.3,4.93,0.00,2.92,0.59
1738508545.474979,33.3,4.93,0.00,2.92,0.59
1738508545.576567,32.5,4.93,0.00,2.92,0.59
1738508545.678237,32.5,4.93,0.00,2.92,0.59
1738508545.779757,32.5,4.93,0.00,2.92,0.59
1738508545.881348,32.5,4.93,0.00,2.92,0.59
1738508545.982948,32.5,4.93,0.00,2.86,0.58
1738508546.084543,32.5,4.93,0.00,2.92,0.59
1738508546.186048,32.5,4.93,0.00,2.92,0.59
1738508546.287677,32.5,4.93,0.00,2.92,0.59
1738508546.389034,32.5,4.93,0.00,2.86,0.59
1738508546.490799,32.5,4.93,0.00,2.92,0.59
1738508546.592366,32.5,4.93,0.00,2.92,0.59
1738508546.693986,32.5,4.93,0.00,2.86,0.59
1738508546.795534,32.5,4.93,0.00,2.92,0.59
1738508546.897172,32.5,4.93,0.00,2.92,0.59
1738508546.998748,32.5,4.93,0.00,2.92,0.59
1738508547.100265,32.5,4.93,0.00,2.92,0.59
1738508547.201908,32.5,4.93,0.00,2.92,0.59
1738508547.303468,32.5,4.93,0.00,2.86,0.59
1738508547.405066,32.5,4.93,0.00,2.92,0.59
1738508547.506638,32.5,4.93,0.00,2.92,0.59
1738508547.608219,32.5,4.93,0.00,2.86,0.58
1738508547.709816,32.5,4.93,0.00,2.92,0.58
1738508547.811170,32.5,4.93,0.00,2.92,0.59
1738508547.912966,32.5,4.93,0.00,2.92,0.59
1738508548.014512,31.6,4.93,0.00,2.92,0.59
1738508548.116064,31.6,4.93,0.00,2.86,0.59
1738508548.217710,31.6,4.93,0.00,2.92,0.59
1738508548.319275,31.6,4.93,0.00,2.92,0.59
1738508548.420834,31.6,4.93,0.00,2.92,0.59
1738508548.522438,31.6,4.93,0.00,2.92,0.59
1738508548.623981,31.6,4.93,0.00,2.92,0.59
1738508548.725582,31.6,4.93,0.00,2.92,0.59
1738508548.827206,31.6,4.93,0.00,2.92,0.59
1738508548.928810,32.5,4.93,0.00,2.92,0.59
1738508549.030278,32.5,4.93,0.00,2.92,0.59
1738508549.131907,32.5,4.93,0.00,2.92,0.59
1738508549.233541,32.5,4.93,0.00,2.92,0.59
1738508549.335055,32.5,4.93,0.00,2.92,0.59
1738508549.436603,32.5,4.93,0.00,2.92,0.58
1738508549.538225,32.5,4.93,0.00,2.86,0.59
1738508549.639851,32.5,4.93,0.00,2.92,0.59
1738508549.741433,31.6,4.93,0.00,2.92,0.59
1738508549.842705,31.6,4.93,0.00,2.92,0.58
1738508549.944477,31.6,4.93,0.00,2.86,0.59
1738508550.046219,31.6,4.93,0.00,2.86,0.59
1738508550.147697,31.6,4.93,0.00,2.92,0.59
1738508550.249330,31.6,4.93,0.00,2.92,0.59
1738508550.350883,31.6,4.93,0.00,2.86,0.59
1738508550.452476,31.6,4.93,0.00,2.92,0.59
1738508550.554035,31.6,4.93,0.00,2.92,0.59
1738508550.655653,31.6,4.93,0.00,2.92,0.59
1738508550.757185,31.6,4.93,0.00,2.92,0.59
1738508550.858813,31.6,4.93,0.00,2.92,0.58
