timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508825.281798,28.9,4.94,0.00,2.82,0.57
1738508825.383506,28.9,4.94,0.00,2.86,0.57
1738508825.485360,28.9,4.94,0.00,2.82,0.58
1738508825.586897,28.9,4.94,0.00,2.82,0.57
1738508825.688351,31.6,4.94,0.00,2.82,0.58
1738508825.790053,31.6,4.94,0.00,2.82,0.57
1738508825.891651,31.6,4.94,0.00,2.82,0.57
1738508825.993249,31.6,4.94,0.00,2.82,0.57
1738508826.094837,31.6,4.94,0.00,2.86,0.58
1738508826.196437,31.6,4.94,0.00,2.82,0.57
1738508826.298179,31.6,4.94,0.00,2.86,0.58
1738508826.399547,31.6,4.94,0.00,2.82,0.57
1738508826.501064,30.7,4.94,0.00,2.86,0.57
1738508826.602738,30.7,4.94,0.00,2.82,0.57
1738508826.704259,30.7,4.94,0.00,2.82,0.57
1738508826.805915,30.7,4.94,0.00,2.82,0.57
1738508826.907137,30.7,4.94,0.00,2.86,0.58
1738508827.008809,30.7,4.94,0.00,2.82,0.58
1738508827.110571,30.7,4.94,0.00,2.82,0.57
1738508827.212174,30.7,4.94,0.00,2.82,0.57
1738508827.313607,30.7,4.94,0.00,2.82,0.57
1738508827.415343,30.7,4.94,0.00,2.86,0.57
1738508827.517023,30.7,4.94,0.00,2.82,0.57
1738508827.618521,30.7,4.94,0.00,2.82,0.58
1738508827.720114,30.7,4.94,0.00,2.82,0.57
1738508827.821749,30.7,4.94,0.00,2.82,0.58
1738508827.923301,30.7,4.94,0.00,2.82,0.57
1738508828.024800,30.7,4.94,0.00,2.82,0.57
1738508828.126446,30.7,4.94,0.00,2.82,0.57
1738508828.228019,30.7,4.94,0.00,2.82,0.58
1738508828.329610,30.7,4.94,0.00,2.82,0.57
1738508828.431230,30.7,4.94,0.00,2.82,0.58
1738508828.532819,30.7,4.94,0.00,2.82,0.57
1738508828.634412,30.7,4.94,0.00,2.82,0.58
1738508828.735917,30.7,4.94,0.00,2.82,0.57
1738508828.837504,30.7,4.94,0.00,2.86,0.57
1738508828.938961,30.7,4.94,0.00,2.82,0.58
1738508829.040629,30.7,4.94,0.00,2.82,0.57
1738508829.142136,30.7,4.94,0.00,2.82,0.57
1738508829.243834,30.7,4.94,0.00,2.82,0.57
1738508829.345405,30.7,4.94,0.00,2.82,0.58
1738508829.447078,30.7,4.94,0.00,2.86,0.58
1738508829.548527,30.7,4.94,0.00,2.82,0.57
1738508829.650133,30.7,4.94,0.00,2.82,0.57
1738508829.751757,30.7,4.94,0.00,2.82,0.57
1738508829.853321,30.7,4.94,0.00,2.82,0.57
1738508829.954884,30.7,4.94,0.00,2.82,0.58
1738508830.056428,30.7,4.94,0.00,2.82,0.57
1738508830.158060,30.7,4.94,0.00,2.82,0.57
1738508830.259648,30.7,4.94,0.00,2.86,0.57
1738508830.361286,30.7,4.94,0.00,2.82,0.57
1738508830.462790,30.7,4.94,0.00,2.82,0.57
1738508830.564171,30.7,4.94,0.00,2.82,0.57
1738508830.665937,30.7,4.94,0.00,2.82,0.58
1738508830.767546,30.7,4.94,0.00,2.82,0.57
1738508830.869086,30.7,4.94,0.00,2.86,0.57
1738508830.970667,30.7,4.94,0.00,2.76,0.57
1738508831.072290,30.7,4.94,0.00,2.82,0.58
1738508831.173861,30.7,4.94,0.00,2.82,0.58
1738508831.275463,30.7,4.94,0.00,2.82,0.57
1738508831.377040,30.7,4.94,0.00,2.82,0.57
1738508831.478670,30.7,4.94,0.00,2.82,0.57
1738508831.580245,30.7,4.94,0.00,2.82,0.57
1738508831.681762,30.7,4.94,0.00,2.82,0.57
1738508831.783319,30.7,4.94,0.00,2.86,0.58
1738508831.884955,30.7,4.94,0.00,2.82,0.57
1738508831.986511,30.7,4.94,0.00,2.86,0.58
1738508832.088130,30.7,4.94,0.00,2.82,0.57
1738508832.189703,30.7,4.94,0.00,2.82,0.57
1738508832.290969,30.7,4.94,0.00,2.82,0.58
1738508832.392682,30.7,4.94,0.00,2.82,0.58
1738508832.494436,30.7,4.94,0.00,2.82,0.57
1738508832.595991,30.7,4.94,0.00,2.82,0.58
1738508832.697599,30.7,4.94,0.00,2.82,0.57
1738508832.799193,30.7,4.94,0.00,2.82,0.57
1738508832.900780,30.7,4.94,0.00,2.82,0.57
1738508833.002354,30.7,4.94,0.00,2.82,0.57
1738508833.103758,30.7,4.94,0.00,2.82,0.57
1738508833.205385,30.7,4.94,0.00,2.82,0.57
1738508833.307169,30.7,4.94,0.00,2.82,0.57
1738508833.408611,30.7,4.94,0.00,2.82,0.57
1738508833.510304,30.7,4.94,0.00,2.82,0.57
1738508833.611810,30.7,4.94,0.00,2.82,0.57
1738508833.713408,30.7,4.94,0.00,2.82,0.57
1738508833.815003,30.7,4.94,0.00,2.82,0.57
1738508833.916594,30.7,4.94,0.00,2.82,0.57
1738508834.018168,30.7,4.94,0.00,2.82,0.57
1738508834.119748,30.7,4.94,0.00,2.82,0.57
1738508834.221244,30.7,4.94,0.00,2.82,0.58
1738508834.322938,30.7,4.94,0.00,2.82,0.58
1738508834.424484,30.7,4.94,0.00,2.82,0.58
1738508834.526123,30.7,4.94,0.00,2.82,0.57
1738508834.627654,30.7,4.94,0.00,2.82,0.58
1738508834.729230,30.7,4.94,0.00,2.82,0.57
1738508834.830797,30.7,4.94,0.00,2.82,0.57
1738508834.932377,30.7,4.94,0.00,2.82,0.57
1738508835.033973,30.7,4.94,0.00,2.82,0.57
1738508835.135546,30.7,4.94,0.00,2.82,0.57
1738508835.237158,30.7,4.94,0.00,2.82,0.57
1738508835.338773,30.7,4.94,0.00,2.82,0.57
1738508835.440302,30.7,4.94,0.00,2.82,0.57
1738508835.541923,30.7,4.94,0.00,2.82,0.57
