timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509976.461737,32.5,4.92,0.00,2.94,0.59
1738509976.563537,33.3,4.92,0.00,2.94,0.59
1738509976.665355,33.3,4.92,0.00,2.94,0.59
1738509976.766713,33.3,4.92,0.00,2.94,0.60
1738509976.868568,33.3,4.92,0.00,2.92,0.59
1738509976.970067,33.3,4.92,0.00,2.94,0.60
1738509977.071542,33.3,4.92,0.00,2.92,0.59
1738509977.173197,33.3,4.92,0.00,2.92,0.59
1738509977.274873,33.3,4.92,0.00,2.94,0.59
1738509977.376431,33.3,4.92,0.00,2.94,0.60
1738509977.478080,33.3,4.92,0.00,2.92,0.59
1738509977.579463,33.3,4.92,0.00,2.92,0.59
1738509977.681183,33.3,4.92,0.00,2.94,0.59
1738509977.782632,33.3,4.92,0.00,2.94,0.60
1738509977.884131,33.3,4.92,0.00,2.92,0.60
1738509977.985942,33.3,4.92,0.00,2.94,0.60
1738509978.087453,33.3,4.92,0.00,2.92,0.60
1738509978.189014,33.3,4.92,0.00,2.94,0.60
1738509978.290394,33.3,4.92,0.00,2.94,0.60
1738509978.392314,33.3,4.92,0.00,2.94,0.60
1738509978.493844,33.3,4.92,0.00,2.92,0.60
1738509978.595357,33.3,4.92,0.00,2.92,0.59
1738509978.696866,33.3,4.92,0.00,2.92,0.60
1738509978.798505,33.3,4.92,0.00,2.94,0.60
1738509978.900095,33.3,4.92,0.00,2.92,0.59
1738509979.001634,33.3,4.92,0.00,2.92,0.59
1738509979.103278,32.5,4.92,0.00,2.92,0.60
1738509979.204587,32.5,4.92,0.00,2.92,0.60
1738509979.306375,32.5,4.92,0.00,2.94,0.60
1738509979.407903,32.5,4.92,0.00,2.92,0.60
1738509979.509584,32.5,4.92,0.00,2.92,0.59
1738509979.611107,32.5,4.92,0.00,2.94,0.59
1738509979.712708,32.5,4.92,0.00,2.92,0.59
1738509979.814392,32.5,4.92,0.00,2.92,0.60
1738509979.915942,32.5,4.92,0.00,2.94,0.60
1738509980.017529,32.5,4.92,0.00,2.92,0.59
1738509980.119052,32.5,4.92,0.00,2.94,0.59
1738509980.220662,32.5,4.92,0.00,2.94,0.60
1738509980.322266,32.5,4.92,0.00,2.94,0.60
1738509980.423832,32.5,4.92,0.00,2.92,0.59
1738509980.525415,32.5,4.92,0.00,2.94,0.60
1738509980.626935,32.5,4.92,0.00,2.94,0.59
1738509980.728582,32.5,4.92,0.00,2.92,0.59
