timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509781.108484,32.5,4.92,0.00,2.94,0.60
1738509781.208363,32.5,4.92,0.00,2.94,0.60
1738509781.308347,32.5,4.92,0.00,2.94,0.60
1738509781.408553,32.5,4.92,0.00,2.94,0.60
1738509781.508441,32.5,4.92,0.00,2.94,0.60
1738509781.608537,32.5,4.92,0.00,2.94,0.60
1738509781.708480,32.5,4.92,0.00,2.94,0.61
1738509781.808414,32.5,4.92,0.00,2.94,0.60
1738509781.908385,32.5,4.92,0.00,2.94,0.60
1738509782.008479,32.5,4.92,0.00,2.94,0.60
1738509782.108422,32.5,4.92,0.00,2.94,0.60
1738509782.209632,32.5,4.92,0.00,2.94,0.60
1738509782.308440,32.5,4.92,0.00,2.94,0.60
1738509782.408293,32.5,4.92,0.00,2.94,0.60
1738509782.508225,32.5,4.92,0.00,2.94,0.60
1738509782.608256,32.5,4.92,0.00,2.94,0.60
1738509782.708243,32.5,4.92,0.00,2.94,0.60
1738509782.808344,32.5,4.92,0.00,2.94,0.61
1738509782.908391,32.5,4.92,0.00,2.94,0.60
1738509783.008578,32.5,4.92,0.00,2.94,0.60
1738509783.108525,32.5,4.92,0.00,2.94,0.60
1738509783.208693,32.5,4.92,0.00,2.92,0.60
1738509783.308504,32.5,4.92,0.00,2.94,0.60
1738509783.408513,32.5,4.92,0.00,2.94,0.60
1738509783.508666,32.5,4.92,0.00,2.94,0.60
1738509783.608550,32.5,4.92,0.00,3.02,0.61
1738509783.708571,32.5,4.92,0.00,2.94,0.60
1738509783.808561,32.5,4.92,0.00,2.92,0.60
1738509783.908578,32.5,4.92,0.00,2.92,0.60
1738509784.008510,32.5,4.92,0.00,2.94,0.61
1738509784.108726,32.5,4.92,0.00,2.92,0.60
1738509784.208626,32.5,4.92,0.00,2.94,0.60
1738509784.308462,32.5,4.92,0.00,2.94,0.60
1738509784.408546,32.5,4.92,0.00,2.94,0.60
1738509784.508624,32.5,4.92,0.00,2.94,0.60
1738509784.608611,32.5,4.92,0.00,2.94,0.60
1738509784.708543,32.5,4.92,0.00,2.92,0.60
1738509784.808577,32.5,4.92,0.00,2.94,0.60
1738509784.908617,32.5,4.92,0.00,2.94,0.61
1738509785.008548,32.5,4.92,0.00,2.94,0.60
1738509785.108377,32.5,4.92,0.00,2.94,0.60
1738509785.208514,32.5,4.92,0.00,2.94,0.60
1738509785.308671,32.5,4.92,0.00,2.94,0.60
1738509785.408562,32.5,4.92,0.00,2.92,0.60
1738509785.508602,32.5,4.92,0.00,2.94,0.60
1738509785.608625,32.5,4.92,0.00,2.94,0.60
1738509785.708194,32.5,4.92,0.00,2.94,0.60
1738509785.808563,32.5,4.92,0.00,2.94,0.60
1738509785.910765,32.5,4.92,0.00,2.94,0.59
1738509786.008498,32.5,4.92,0.00,2.94,0.60
1738509786.108496,32.5,4.92,0.00,2.94,0.60
1738509786.208607,32.5,4.92,0.00,2.94,0.60
1738509786.308510,32.5,4.92,0.00,2.94,0.60
1738509786.408620,32.5,4.92,0.00,2.94,0.60
1738509786.508588,32.5,4.92,0.00,2.94,0.60
1738509786.608534,32.5,4.92,0.00,2.94,0.60
1738509786.708547,32.5,4.92,0.00,2.94,0.60
1738509786.808485,32.5,4.92,0.00,2.92,0.60
1738509786.908361,32.5,4.92,0.00,2.94,0.60
1738509787.008414,32.5,4.92,0.00,2.94,0.60
1738509787.114923,32.5,4.92,0.00,2.94,0.60
1738509787.208593,32.5,4.92,0.00,2.94,0.60
1738509787.308325,32.5,4.92,0.00,2.94,0.60
1738509787.408558,32.5,4.92,0.00,2.94,0.60
1738509787.508552,32.5,4.92,0.00,2.94,0.60
1738509787.608675,32.5,4.92,0.00,2.94,0.60
1738509787.708531,32.5,4.92,0.00,2.94,0.60
1738509787.808324,32.5,4.92,0.00,2.92,0.60
1738509787.908565,32.5,4.92,0.00,2.94,0.60
1738509788.008576,32.5,4.92,0.00,2.94,0.60
1738509788.108634,32.5,4.92,0.00,2.94,0.60
1738509788.208590,32.5,4.92,0.00,2.94,0.60
1738509788.308572,32.5,4.92,0.00,2.94,0.60
1738509788.408631,32.5,4.92,0.00,2.94,0.60
1738509788.508604,32.5,4.92,0.00,2.94,0.60
1738509788.608573,32.5,4.92,0.00,2.94,0.60
1738509788.708608,32.5,4.92,0.00,2.94,0.60
1738509788.808494,32.5,4.92,0.00,2.94,0.61
