timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508298.144432,32.5,4.92,0.00,2.92,0.59
1738508298.244543,32.5,4.92,0.00,2.92,0.59
1738508298.344249,32.5,4.92,0.00,2.92,0.59
1738508298.444513,32.5,4.92,0.00,2.92,0.59
1738508298.544588,32.5,4.92,0.00,2.92,0.59
1738508298.644629,32.5,4.92,0.00,2.94,0.60
1738508298.744531,32.5,4.92,0.00,2.92,0.59
1738508298.844507,32.5,4.92,0.00,2.94,0.60
1738508298.944534,31.6,4.92,0.00,2.94,0.59
1738508299.044506,31.6,4.92,0.00,2.92,0.59
1738508299.145814,31.6,4.92,0.00,2.92,0.59
1738508299.244564,31.6,4.92,0.00,2.94,0.59
1738508299.344543,31.6,4.92,0.00,2.92,0.60
1738508299.444567,31.6,4.92,0.00,2.94,0.60
1738508299.544450,31.6,4.92,0.00,2.92,0.59
1738508299.644545,31.6,4.92,0.00,2.92,0.59
1738508299.744525,31.6,4.92,0.00,2.92,0.60
1738508299.844475,31.6,4.92,0.00,2.92,0.59
1738508299.944576,31.6,4.92,0.00,2.92,0.59
1738508300.044554,31.6,4.92,0.00,2.94,0.59
1738508300.144611,31.6,4.92,0.00,2.92,0.60
1738508300.244560,31.6,4.92,0.00,2.92,0.60
1738508300.344619,31.6,4.92,0.00,2.94,0.60
1738508300.444541,31.6,4.92,0.00,2.92,0.60
1738508300.544586,31.6,4.92,0.00,2.92,0.59
1738508300.644630,31.6,4.92,0.00,2.92,0.59
1738508300.744587,31.6,4.92,0.00,2.92,0.60
1738508300.844468,31.6,4.93,0.00,2.92,0.59
1738508300.944648,31.6,4.92,0.00,2.92,0.59
1738508301.044564,31.6,4.92,0.00,2.94,0.60
1738508301.144539,31.6,4.92,0.00,2.92,0.59
1738508301.244552,31.6,4.93,0.00,2.92,0.59
1738508301.344467,31.6,4.92,0.00,2.94,0.60
1738508301.444467,30.7,4.92,0.00,2.94,0.59
1738508301.544596,30.7,4.92,0.00,2.92,0.59
1738508301.644586,30.7,4.92,0.00,2.92,0.60
1738508301.744555,30.7,4.92,0.00,2.92,0.59
1738508301.844469,30.7,4.92,0.00,2.94,0.60
1738508301.944605,30.7,4.92,0.00,2.94,0.59
1738508302.044491,30.7,4.92,0.00,2.92,0.59
1738508302.144581,30.7,4.92,0.00,2.92,0.60
1738508302.244492,30.7,4.92,0.00,2.92,0.59
1738508302.344554,30.7,4.92,0.00,2.92,0.60
1738508302.444627,30.7,4.93,0.00,2.92,0.59
1738508302.544607,30.7,4.92,0.00,2.92,0.60
1738508302.644548,30.7,4.92,0.00,2.92,0.59
1738508302.744535,30.7,4.92,0.00,2.92,0.60
1738508302.844521,30.7,4.92,0.00,2.92,0.60
1738508302.944523,30.7,4.92,0.00,2.92,0.59
1738508303.044565,30.7,4.92,0.00,2.92,0.60
1738508303.144577,30.7,4.92,0.00,2.92,0.59
1738508303.244513,30.7,4.92,0.00,2.94,0.60
1738508303.344555,30.7,4.92,0.00,2.92,0.59
1738508303.444567,30.7,4.92,0.00,2.94,0.60
1738508303.544596,30.7,4.92,0.00,2.92,0.60
1738508303.644683,30.7,4.92,0.00,2.94,0.59
1738508303.744610,30.7,4.93,0.00,2.92,0.60
1738508303.844552,30.7,4.92,0.00,2.92,0.60
1738508303.944535,30.7,4.92,0.00,2.94,0.59
1738508304.044367,30.7,4.92,0.00,2.92,0.59
1738508304.144678,30.7,4.92,0.00,2.92,0.59
1738508304.244523,30.7,4.92,0.00,2.94,0.60
1738508304.344597,30.7,4.92,0.00,2.92,0.60
1738508304.444608,30.7,4.92,0.00,2.92,0.60
1738508304.544559,30.7,4.92,0.00,2.94,0.60
1738508304.644526,30.7,4.93,0.00,2.94,0.59
1738508304.744317,30.7,4.93,0.00,2.92,0.59
1738508304.844438,30.7,4.92,0.00,2.92,0.59
1738508304.944463,30.7,4.92,0.00,2.92,0.60
1738508305.044508,30.7,4.92,0.00,2.92,0.60
1738508305.144376,30.7,4.92,0.00,2.92,0.60
1738508305.244473,30.7,4.92,0.00,2.94,0.60
1738508305.344454,30.7,4.92,0.00,2.94,0.60
1738508305.444465,30.7,4.92,0.00,2.92,0.59
1738508305.544554,30.7,4.92,0.00,2.92,0.60
1738508305.644601,31.6,4.92,0.00,2.92,0.60
1738508305.744611,31.6,4.92,0.00,2.92,0.59
1738508305.844510,31.6,4.92,0.00,2.92,0.60
1738508305.944619,31.6,4.92,0.00,2.92,0.60
1738508306.044547,31.6,4.92,0.00,2.92,0.59
1738508306.144624,31.6,4.92,0.00,2.92,0.59
1738508306.244599,31.6,4.92,0.00,2.94,0.59
1738508306.344532,31.6,4.92,0.00,2.94,0.60
1738508306.444545,31.6,4.92,0.00,2.92,0.59
1738508306.544653,31.6,4.92,0.00,2.94,0.60
1738508306.644620,31.6,4.92,0.00,2.94,0.59
1738508306.744584,31.6,4.92,0.00,2.92,0.59
1738508306.844440,31.6,4.92,0.00,2.94,0.60
1738508306.944607,31.6,4.92,0.00,2.92,0.60
1738508307.044648,31.6,4.92,0.00,2.94,0.60
1738508307.144530,31.6,4.92,0.00,2.92,0.59
1738508307.244630,30.7,4.92,0.00,2.92,0.60
1738508307.344526,30.7,4.92,0.00,2.92,0.59
1738508307.444609,30.7,4.93,0.00,2.92,0.60
1738508307.544581,30.7,4.92,0.00,2.92,0.60
1738508307.644619,30.7,4.92,0.00,2.94,0.59
1738508307.744537,30.7,4.92,0.00,2.92,0.59
1738508307.844507,30.7,4.92,0.00,2.94,0.59
1738508307.944610,30.7,4.92,0.00,2.92,0.59
1738508308.044549,30.7,4.92,0.00,2.92,0.60
1738508308.144579,30.7,4.92,0.00,2.92,0.59
1738508308.244619,30.7,4.93,0.00,2.92,0.59
1738508308.344603,30.7,4.92,0.00,2.92,0.59
1738508308.444547,30.7,4.92,0.00,2.92,0.59
1738508308.544538,30.7,4.92,0.00,2.94,0.60
1738508308.644544,30.7,4.92,0.00,2.92,0.59
1738508308.744603,30.7,4.92,0.00,2.92,0.60
1738508308.844665,30.7,4.92,0.00,2.92,0.59
1738508308.944577,31.6,4.92,0.00,2.92,0.60
1738508309.044519,31.6,4.92,0.00,2.94,0.60
1738508309.144603,31.6,4.92,0.00,2.92,0.60
1738508309.244601,31.6,4.92,0.00,2.92,0.59
1738508309.344593,31.6,4.92,0.00,2.92,0.59
1738508309.444610,31.6,4.92,0.00,2.94,0.60
1738508309.544540,31.6,4.93,0.00,2.94,0.59
1738508309.644640,31.6,4.92,0.00,2.92,0.59
1738508309.744504,31.6,4.93,0.00,2.92,0.60
1738508309.844354,30.7,4.92,0.00,2.92,0.60
1738508309.944646,30.7,4.92,0.00,2.92,0.59
1738508310.044634,30.7,4.92,0.00,2.92,0.60
1738508310.144509,30.7,4.92,0.00,2.94,0.59
1738508310.244663,30.7,4.92,0.00,2.92,0.59
1738508310.344693,30.7,4.92,0.00,2.94,0.60
1738508310.444518,30.7,4.92,0.00,2.92,0.59
1738508310.544667,30.7,4.92,0.00,2.92,0.60
1738508310.644568,30.7,4.93,0.00,2.94,0.59
1738508310.744597,30.7,4.92,0.00,2.92,0.60
1738508310.844442,30.7,4.92,0.00,2.92,0.59
1738508310.944333,30.7,4.92,0.00,2.92,0.59
1738508311.044527,30.7,4.92,0.00,2.92,0.60
1738508311.144428,30.7,4.92,0.00,2.92,0.60
1738508311.244567,30.7,4.92,0.00,2.92,0.59
1738508311.344517,30.7,4.92,0.00,2.92,0.60
1738508311.444633,31.6,4.92,0.00,2.92,0.59
1738508311.544603,31.6,4.92,0.00,2.94,0.60
1738508311.644601,31.6,4.92,0.00,2.94,0.59
1738508311.744635,31.6,4.92,0.00,2.94,0.60
1738508311.844597,31.6,4.92,0.00,2.92,0.60
1738508311.944587,31.6,4.92,0.00,2.92,0.59
1738508312.044571,31.6,4.92,0.00,2.92,0.59
1738508312.144628,31.6,4.92,0.00,2.92,0.59
1738508312.244598,31.6,4.92,0.00,2.92,0.59
1738508312.344505,30.7,4.92,0.00,2.94,0.60
1738508312.444500,30.7,4.92,0.00,2.92,0.59
1738508312.544532,30.7,4.92,0.00,2.92,0.60
1738508312.644557,30.7,4.92,0.00,2.94,0.59
1738508312.744580,30.7,4.93,0.00,2.92,0.59
1738508312.844653,30.7,4.92,0.00,2.94,0.59
1738508312.944393,30.7,4.93,0.00,2.92,0.59
