timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738507813.354011,29.8,4.92,0.00,2.92,0.59
1738507813.453947,29.8,4.93,0.00,2.92,0.59
1738507813.553963,29.8,4.93,0.00,2.92,0.59
1738507813.653945,29.8,4.92,0.00,2.92,0.59
1738507813.754031,29.8,4.93,0.00,2.92,0.59
1738507813.853972,29.8,4.93,0.00,2.92,0.59
1738507813.954014,29.8,4.93,0.00,2.94,0.59
1738507814.053973,28.9,4.92,0.00,2.92,0.59
1738507814.153986,28.9,4.93,0.00,2.92,0.59
1738507814.253978,28.9,4.93,0.00,2.92,0.59
1738507814.354008,28.9,4.93,0.00,2.92,0.59
1738507814.453905,28.9,4.93,0.00,2.92,0.59
1738507814.553961,28.9,4.93,0.00,2.92,0.59
1738507814.654154,28.9,4.92,0.00,2.92,0.59
1738507814.754034,28.9,4.93,0.00,2.92,0.59
1738507814.854049,28.9,4.93,0.00,2.92,0.59
1738507814.953993,28.9,4.93,0.00,2.92,0.59
1738507815.054028,28.9,4.92,0.00,2.92,0.59
1738507815.153909,28.9,4.93,0.00,2.92,0.59
1738507815.254075,28.9,4.93,0.00,2.92,0.59
1738507815.354061,28.9,4.93,0.00,2.92,0.59
1738507815.454087,28.9,4.93,0.00,2.92,0.59
1738507815.554029,28.9,4.93,0.00,2.86,0.59
1738507815.653939,28.9,4.93,0.00,2.92,0.59
1738507815.754027,29.8,4.92,0.00,2.92,0.60
1738507815.854014,29.8,4.93,0.00,2.92,0.59
1738507815.953961,29.8,4.93,0.00,2.92,0.59
1738507816.053987,29.8,4.93,0.00,2.92,0.59
1738507816.153921,29.8,4.93,0.00,2.92,0.59
1738507816.253989,29.8,4.93,0.00,2.92,0.59
1738507816.354057,29.8,4.93,0.00,2.92,0.59
1738507816.453989,29.8,4.93,0.00,2.92,0.59
1738507816.554038,28.9,4.93,0.00,2.92,0.59
1738507816.654029,28.9,4.93,0.00,2.92,0.59
1738507816.753990,28.9,4.93,0.00,2.92,0.59
1738507816.853968,28.9,4.93,0.00,2.92,0.59
1738507816.954039,28.9,4.92,0.00,2.92,0.59
1738507817.053954,28.9,4.93,0.00,2.92,0.59
1738507817.154117,28.9,4.93,0.00,2.92,0.59
1738507817.253896,28.9,4.93,0.00,2.92,0.59
1738507817.354032,29.8,4.93,0.00,2.92,0.59
1738507817.454025,29.8,4.93,0.00,2.92,0.59
1738507817.554011,29.8,4.92,0.00,2.92,0.59
1738507817.653924,29.8,4.93,0.00,2.92,0.59
1738507817.754020,29.8,4.93,0.00,2.92,0.59
1738507817.854009,29.8,4.93,0.00,2.94,0.60
1738507817.953976,29.8,4.93,0.00,2.92,0.59
1738507818.054063,29.8,4.93,0.00,2.92,0.59
1738507818.154093,29.8,4.93,0.00,2.92,0.59
1738507818.253982,29.8,4.93,0.00,2.92,0.59
1738507818.353969,29.8,4.93,0.00,2.94,0.59
1738507818.453931,29.8,4.93,0.00,2.92,0.59
1738507818.554118,29.8,4.93,0.00,2.92,0.59
1738507818.654043,29.8,4.93,0.00,2.92,0.59
1738507818.754052,29.8,4.93,0.00,2.92,0.59
1738507818.853939,29.8,4.93,0.00,2.92,0.59
1738507818.954041,29.8,4.93,0.00,2.92,0.59
1738507819.054083,29.8,4.93,0.00,2.92,0.59
1738507819.154064,29.8,4.93,0.00,2.92,0.59
1738507819.254020,29.8,4.93,0.00,2.92,0.60
1738507819.354023,29.8,4.93,0.00,2.92,0.59
1738507819.453946,29.8,4.92,0.00,2.92,0.59
1738507819.554005,29.8,4.93,0.00,2.92,0.59
1738507819.654029,29.8,4.92,0.00,2.92,0.59
1738507819.754026,29.8,4.93,0.00,2.92,0.59
1738507819.854036,29.8,4.93,0.00,2.92,0.60
1738507819.954059,28.9,4.93,0.00,2.92,0.59
1738507820.053964,28.9,4.92,0.00,2.92,0.59
1738507820.154073,28.9,4.93,0.00,2.92,0.59
1738507820.254122,28.9,4.93,0.00,2.92,0.59
1738507820.354106,28.9,4.93,0.00,2.92,0.59
1738507820.454035,28.9,4.93,0.00,2.92,0.59
1738507820.554091,28.9,4.93,0.00,2.92,0.59
1738507820.653946,28.9,4.93,0.00,2.94,0.59
1738507820.754087,28.9,4.93,0.00,2.92,0.59
1738507820.854080,28.9,4.93,0.00,2.92,0.59
1738507820.954018,28.9,4.93,0.00,2.92,0.59
1738507821.054077,28.9,4.93,0.00,2.92,0.59
1738507821.153935,28.9,4.92,0.00,2.92,0.59
1738507821.254051,28.9,4.93,0.00,2.92,0.59
1738507821.354072,28.9,4.93,0.00,2.92,0.59
1738507821.454122,28.9,4.93,0.00,2.86,0.59
1738507821.554008,28.9,4.93,0.00,2.92,0.59
1738507821.654091,28.9,4.93,0.00,2.92,0.59
1738507821.754059,28.9,4.93,0.00,2.92,0.59
1738507821.853952,28.9,4.93,0.00,2.92,0.59
1738507821.954039,28.9,4.92,0.00,2.92,0.59
1738507822.054099,28.9,4.93,0.00,2.92,0.59
1738507822.154109,28.9,4.93,0.00,2.94,0.60
1738507822.254112,28.9,4.93,0.00,2.92,0.59
1738507822.354078,28.9,4.93,0.00,2.92,0.59
1738507822.453974,28.9,4.93,0.00,2.92,0.59
1738507822.554046,28.9,4.92,0.00,2.92,0.59
1738507822.654048,28.9,4.92,0.00,2.92,0.59
1738507822.754064,28.9,4.92,0.00,2.94,0.60
1738507822.853993,28.9,4.93,0.00,2.92,0.59
1738507822.954032,28.9,4.93,0.00,2.92,0.59
1738507823.053983,28.9,4.92,0.00,2.92,0.59
1738507823.154064,28.9,4.93,0.00,2.92,0.59
1738507823.254049,29.8,4.93,0.00,2.92,0.60
1738507823.353968,29.8,4.93,0.00,2.86,0.59
1738507823.454006,29.8,4.93,0.00,2.92,0.59
1738507823.554067,29.8,4.93,0.00,2.92,0.59
1738507823.654050,29.8,4.93,0.00,2.92,0.59
1738507823.754100,29.8,4.93,0.00,2.92,0.59
1738507823.854038,29.8,4.93,0.00,2.92,0.59
1738507823.953958,29.8,4.93,0.00,2.92,0.59
1738507824.053999,29.8,4.92,0.00,2.92,0.59
1738507824.154066,29.8,4.93,0.00,2.92,0.59
1738507824.254039,29.8,4.93,0.00,2.92,0.59
1738507824.353833,29.8,4.93,0.00,2.92,0.60
1738507824.453990,29.8,4.93,0.00,2.92,0.60
1738507824.554072,29.8,4.93,0.00,2.92,0.59
1738507824.653988,29.8,4.93,0.00,2.92,0.59
1738507824.754090,29.8,4.93,0.00,2.86,0.59
1738507824.854097,29.8,4.93,0.00,2.92,0.59
1738507824.954035,29.8,4.93,0.00,2.92,0.59
