timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509119.275828,32.5,4.92,0.00,2.92,0.59
1738509119.377450,32.5,4.92,0.00,2.92,0.59
1738509119.479220,32.5,4.92,0.00,2.92,0.59
1738509119.580934,32.5,4.93,0.00,2.92,0.59
1738509119.682497,32.5,4.92,0.00,2.92,0.59
1738509119.784072,32.5,4.92,0.00,2.92,0.60
1738509119.885486,32.5,4.92,0.00,2.92,0.60
1738509119.987179,32.5,4.93,0.00,2.92,0.59
1738509120.088775,32.5,4.92,0.00,2.92,0.59
1738509120.190383,32.5,4.92,0.00,2.92,0.59
1738509120.291918,32.5,4.92,0.00,2.92,0.59
1738509120.393478,32.5,4.93,0.00,2.86,0.59
1738509120.495108,32.5,4.92,0.00,2.92,0.59
1738509120.596482,32.5,4.93,0.00,2.92,0.59
1738509120.698094,32.5,4.92,0.00,2.92,0.60
1738509120.799710,32.5,4.93,0.00,2.92,0.59
1738509120.901267,32.5,4.92,0.00,2.92,0.59
1738509121.002866,32.5,4.93,0.00,2.92,0.59
1738509121.104444,32.5,4.92,0.00,2.92,0.59
1738509121.206034,32.5,4.92,0.00,2.92,0.59
1738509121.307625,32.5,4.92,0.00,2.92,0.59
1738509121.409268,32.5,4.93,0.00,2.92,0.59
1738509121.510647,32.5,4.92,0.00,2.92,0.59
1738509121.612297,32.5,4.93,0.00,2.92,0.59
1738509121.713661,32.5,4.92,0.00,2.92,0.59
1738509121.815389,32.5,4.92,0.00,2.92,0.60
1738509121.916962,32.5,4.93,0.00,2.92,0.59
1738509122.018545,32.5,4.93,0.00,2.92,0.59
1738509122.120088,32.5,4.93,0.00,2.92,0.59
1738509122.221723,32.5,4.93,0.00,2.92,0.59
1738509122.323142,32.5,4.93,0.00,2.92,0.59
1738509122.424774,32.5,4.92,0.00,2.92,0.59
1738509122.526387,32.5,4.93,0.00,2.92,0.59
1738509122.628029,32.5,4.93,0.00,2.92,0.59
1738509122.729521,32.5,4.93,0.00,2.92,0.59
1738509122.831108,32.5,4.93,0.00,2.92,0.60
1738509122.932724,32.5,4.92,0.00,2.92,0.59
1738509123.034305,32.5,4.93,0.00,2.92,0.59
1738509123.135774,32.5,4.92,0.00,2.92,0.59
1738509123.237257,32.5,4.93,0.00,2.92,0.59
1738509123.338704,32.5,4.93,0.00,2.92,0.59
1738509123.440256,33.3,4.92,0.00,2.92,0.60
1738509123.541916,33.3,4.92,0.00,2.92,0.59
1738509123.643808,33.3,4.92,0.00,2.92,0.59
1738509123.744996,33.3,4.93,0.00,2.92,0.59
1738509123.846977,33.3,4.92,0.00,2.92,0.59
1738509123.948354,33.3,4.92,0.00,2.92,0.59
1738509124.049936,33.3,4.93,0.00,2.92,0.59
1738509124.151384,33.3,4.92,0.00,2.92,0.59
1738509124.253047,33.3,4.93,0.00,2.92,0.59
1738509124.354649,32.5,4.93,0.00,2.92,0.59
1738509124.456216,32.5,4.92,0.00,2.92,0.59
1738509124.557800,32.5,4.93,0.00,2.92,0.59
1738509124.659088,32.5,4.92,0.00,2.92,0.59
1738509124.760756,32.5,4.93,0.00,2.92,0.60
1738509124.862477,32.5,4.93,0.00,2.92,0.59
1738509124.964049,32.5,4.93,0.00,2.92,0.60
1738509125.065655,32.5,4.92,0.00,2.92,0.59
1738509125.167206,32.5,4.93,0.00,2.92,0.59
1738509125.268782,32.5,4.93,0.00,2.92,0.59
1738509125.370236,32.5,4.92,0.00,2.92,0.59
1738509125.471805,32.5,4.92,0.00,2.92,0.59
1738509125.573449,32.5,4.92,0.00,2.92,0.59
1738509125.675036,32.5,4.93,0.00,2.94,0.59
1738509125.776450,32.5,4.93,0.00,2.92,0.59
1738509125.878153,32.5,4.93,0.00,2.92,0.59
1738509125.979743,32.5,4.93,0.00,2.92,0.60
1738509126.081339,32.5,4.93,0.00,2.92,0.59
1738509126.182884,32.5,4.92,0.00,2.92,0.59
1738509126.284429,32.5,4.92,0.00,2.92,0.59
1738509126.385998,32.5,4.93,0.00,2.92,0.59
1738509126.487637,32.5,4.93,0.00,2.92,0.59
1738509126.589138,32.5,4.93,0.00,2.92,0.59
1738509126.690738,32.5,4.93,0.00,2.92,0.59
1738509126.792089,33.3,4.93,0.00,2.92,0.59
1738509126.893837,33.3,4.93,0.00,2.92,0.59
1738509126.995485,33.3,4.92,0.00,2.94,0.59
1738509127.097112,33.3,4.93,0.00,2.92,0.59
1738509127.198562,33.3,4.92,0.00,2.92,0.60
1738509127.300185,33.3,4.92,0.00,2.92,0.59
1738509127.401776,33.3,4.92,0.00,2.92,0.59
1738509127.503359,33.3,4.93,0.00,2.92,0.59
1738509127.604901,33.3,4.93,0.00,2.92,0.59
