timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508840.674898,30.7,4.92,0.00,2.94,0.59
1738508840.774993,30.7,4.92,0.00,2.92,0.59
1738508840.875325,30.7,4.92,0.00,2.92,0.60
1738508840.975375,30.7,4.92,0.00,2.94,0.59
1738508841.075402,30.7,4.92,0.00,2.92,0.59
1738508841.175403,30.7,4.92,0.00,2.94,0.60
1738508841.275295,30.7,4.92,0.00,2.92,0.59
1738508841.375329,30.7,4.92,0.00,2.94,0.60
1738508841.475277,30.7,4.92,0.00,2.94,0.60
1738508841.575368,30.7,4.92,0.00,2.94,0.60
1738508841.675378,30.7,4.92,0.00,2.92,0.60
1738508841.775319,30.7,4.92,0.00,2.94,0.59
1738508841.875347,30.7,4.92,0.00,2.92,0.60
1738508841.975356,30.7,4.92,0.00,2.94,0.59
1738508842.075297,30.7,4.92,0.00,2.94,0.60
1738508842.175346,30.7,4.92,0.00,2.94,0.60
1738508842.275388,30.7,4.92,0.00,2.94,0.59
1738508842.375369,30.7,4.92,0.00,2.94,0.59
1738508842.475275,30.7,4.92,0.00,2.94,0.60
1738508842.575283,30.7,4.92,0.00,2.94,0.60
1738508842.675361,30.7,4.92,0.00,2.92,0.59
1738508842.775367,30.7,4.92,0.00,2.94,0.59
1738508842.875302,30.7,4.92,0.00,2.94,0.60
1738508842.975375,30.7,4.92,0.00,2.92,0.60
1738508843.075366,30.7,4.92,0.00,2.92,0.60
1738508843.175363,30.7,4.92,0.00,2.94,0.60
1738508843.275368,31.6,4.92,0.00,2.94,0.60
1738508843.375359,31.6,4.92,0.00,2.92,0.60
1738508843.475333,31.6,4.92,0.00,2.94,0.60
1738508843.575314,31.6,4.92,0.00,2.92,0.59
1738508843.675312,31.6,4.92,0.00,2.92,0.60
1738508843.775484,31.6,4.92,0.00,2.92,0.59
1738508843.875312,31.6,4.92,0.00,2.92,0.60
1738508843.975368,31.6,4.92,0.00,2.94,0.59
1738508844.075323,31.6,4.92,0.00,2.92,0.59
1738508844.175348,31.6,4.92,0.00,2.94,0.59
1738508844.275309,31.6,4.92,0.00,2.94,0.59
1738508844.375309,31.6,4.92,0.00,2.92,0.60
1738508844.475344,31.6,4.92,0.00,2.92,0.59
1738508844.575346,31.6,4.92,0.00,2.94,0.60
1738508844.675300,31.6,4.92,0.00,2.92,0.59
1738508844.775378,31.6,4.92,0.00,2.92,0.60
1738508844.875351,31.6,4.92,0.00,2.94,0.60
1738508844.975375,31.6,4.92,0.00,2.92,0.60
1738508845.075382,31.6,4.92,0.00,2.94,0.60
1738508845.175288,31.6,4.92,0.00,2.94,0.60
1738508845.275363,31.6,4.92,0.00,2.94,0.60
1738508845.375416,31.6,4.92,0.00,2.92,0.60
1738508845.475446,31.6,4.92,0.00,2.94,0.60
1738508845.575390,31.6,4.92,0.00,2.92,0.60
1738508845.675285,31.6,4.92,0.00,2.92,0.60
1738508845.775307,31.6,4.92,0.00,2.92,0.60
1738508845.875346,31.6,4.93,0.00,2.92,0.60
1738508845.975329,31.6,4.92,0.00,2.94,0.60
1738508846.075275,31.6,4.92,0.00,2.94,0.60
1738508846.175261,31.6,4.92,0.00,2.92,0.60
1738508846.275359,31.6,4.92,0.00,2.92,0.59
1738508846.375368,31.6,4.92,0.00,2.92,0.59
1738508846.475386,31.6,4.92,0.00,2.92,0.60
1738508846.575395,31.6,4.92,0.00,2.92,0.60
1738508846.675339,31.6,4.92,0.00,2.94,0.60
1738508846.775364,31.6,4.92,0.00,2.94,0.60
1738508846.875324,31.6,4.92,0.00,2.92,0.60
1738508846.975365,31.6,4.92,0.00,2.92,0.60
1738508847.075293,31.6,4.92,0.00,2.92,0.60
1738508847.175424,31.6,4.92,0.00,2.94,0.59
1738508847.275319,31.6,4.92,0.00,2.92,0.59
