timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508114.707089,27.2,4.92,0.00,2.92,0.59
1738508114.808919,27.2,4.93,0.00,2.92,0.59
1738508114.910702,27.2,4.93,0.00,2.92,0.59
1738508115.012222,27.2,4.93,0.00,2.92,0.59
1738508115.113851,27.2,4.93,0.00,2.92,0.59
1738508115.217736,29.8,4.93,0.00,2.92,0.59
1738508115.316928,29.8,4.93,0.00,2.92,0.59
1738508115.418617,29.8,4.93,0.00,2.92,0.59
1738508115.520236,29.8,4.93,0.00,2.92,0.59
1738508115.621843,29.8,4.93,0.00,2.92,0.59
1738508115.723425,29.8,4.93,0.00,2.92,0.59
1738508115.824937,29.8,4.93,0.00,2.92,0.59
1738508115.926526,29.8,4.92,0.00,2.92,0.60
1738508116.028097,30.7,4.92,0.00,2.92,0.59
1738508116.129691,30.7,4.92,0.00,2.92,0.60
1738508116.231169,30.7,4.92,0.00,2.92,0.59
1738508116.332658,30.7,4.93,0.00,2.92,0.59
1738508116.434354,30.7,4.93,0.00,2.92,0.59
1738508116.536037,30.7,4.93,0.00,2.92,0.59
1738508116.637598,30.7,4.92,0.00,2.92,0.60
1738508116.739155,30.7,4.93,0.00,2.92,0.59
1738508116.840728,30.7,4.92,0.00,2.92,0.59
1738508116.942351,30.7,4.92,0.00,2.94,0.59
1738508117.043875,30.7,4.92,0.00,2.92,0.59
1738508117.145424,30.7,4.92,0.00,2.92,0.59
1738508117.247093,30.7,4.92,0.00,2.92,0.59
1738508117.348664,30.7,4.93,0.00,2.92,0.59
1738508117.450209,30.7,4.93,0.00,2.92,0.59
1738508117.551849,30.7,4.92,0.00,2.92,0.60
1738508117.653362,30.7,4.93,0.00,2.92,0.59
1738508117.755038,30.7,4.92,0.00,2.92,0.59
1738508117.856553,30.7,4.93,0.00,2.92,0.59
1738508117.958165,30.7,4.93,0.00,2.92,0.59
1738508118.059740,30.7,4.92,0.00,2.92,0.59
1738508118.161274,30.7,4.93,0.00,2.92,0.59
1738508118.262877,30.7,4.93,0.00,2.92,0.59
1738508118.364289,30.7,4.92,0.00,2.92,0.59
1738508118.465996,30.7,4.92,0.00,2.92,0.59
1738508118.567616,29.8,4.93,0.00,2.86,0.59
1738508118.669214,29.8,4.92,0.00,2.92,0.59
1738508118.770849,29.8,4.93,0.00,2.92,0.59
1738508118.872307,29.8,4.92,0.00,2.92,0.60
1738508118.973997,29.8,4.92,0.00,2.92,0.59
1738508119.075539,29.8,4.92,0.00,2.92,0.60
1738508119.177119,29.8,4.93,0.00,2.92,0.59
1738508119.278719,29.8,4.92,0.00,2.92,0.59
1738508119.380318,30.7,4.93,0.00,2.92,0.59
1738508119.481922,30.7,4.93,0.00,2.92,0.59
1738508119.583431,30.7,4.92,0.00,2.86,0.59
1738508119.684820,30.7,4.92,0.00,2.92,0.59
1738508119.786487,30.7,4.93,0.00,2.92,0.59
1738508119.888083,30.7,4.92,0.00,2.92,0.59
1738508119.989702,30.7,4.93,0.00,2.92,0.59
1738508120.091317,30.7,4.93,0.00,2.92,0.59
1738508120.192939,31.6,4.92,0.00,2.92,0.59
1738508120.294521,31.6,4.92,0.00,2.92,0.59
1738508120.396071,31.6,4.92,0.00,2.92,0.59
1738508120.497669,31.6,4.92,0.00,2.92,0.59
1738508120.599262,31.6,4.92,0.00,2.92,0.59
1738508120.700883,31.6,4.92,0.00,2.92,0.59
1738508120.802296,31.6,4.92,0.00,2.92,0.59
1738508120.904012,31.6,4.92,0.00,2.92,0.59
1738508121.005535,31.6,4.93,0.00,2.92,0.59
1738508121.107160,30.7,4.92,0.00,2.92,0.59
1738508121.208749,30.7,4.93,0.00,2.92,0.59
1738508121.310134,30.7,4.92,0.00,2.92,0.59
1738508121.411781,30.7,4.93,0.00,2.92,0.60
1738508121.513351,30.7,4.92,0.00,2.92,0.59
