timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738507781.042132,28.9,4.93,0.00,2.92,0.58
1738507781.142273,28.9,4.93,0.00,2.92,0.59
1738507781.242317,28.9,4.93,0.00,2.92,0.59
1738507781.342385,28.9,4.93,0.00,2.92,0.59
1738507781.442412,28.9,4.93,0.00,2.92,0.59
1738507781.542314,28.9,4.93,0.00,2.92,0.59
1738507781.642420,28.9,4.93,0.00,2.92,0.59
1738507781.742403,28.9,4.93,0.00,2.92,0.59
1738507781.842394,28.9,4.93,0.00,2.92,0.59
1738507781.942428,28.9,4.93,0.00,2.92,0.59
1738507782.042443,28.9,4.93,0.00,2.92,0.59
1738507782.142380,28.9,4.92,0.00,2.92,0.59
1738507782.242334,28.9,4.93,0.00,2.92,0.59
1738507782.342276,28.9,4.93,0.00,2.92,0.59
1738507782.442348,28.9,4.93,0.00,2.92,0.59
1738507782.542311,28.9,4.93,0.00,2.92,0.59
1738507782.642372,28.9,4.93,0.00,2.92,0.59
1738507782.742445,28.9,4.93,0.00,2.92,0.59
1738507782.842521,28.9,4.93,0.00,2.92,0.59
1738507782.942344,28.9,4.93,0.00,2.92,0.59
1738507783.042376,29.8,4.93,0.00,2.92,0.59
1738507783.142311,29.8,4.93,0.00,2.92,0.59
1738507783.242370,29.8,4.93,0.00,2.86,0.59
1738507783.342356,29.8,4.93,0.00,2.92,0.59
1738507783.442212,29.8,4.93,0.00,2.92,0.59
1738507783.542366,29.8,4.93,0.00,2.92,0.60
1738507783.642439,29.8,4.93,0.00,2.92,0.59
1738507783.742382,29.8,4.93,0.00,2.92,0.59
1738507783.842400,28.9,4.93,0.00,2.92,0.59
1738507783.942448,28.9,4.93,0.00,2.92,0.59
1738507784.042306,28.9,4.93,0.00,2.92,0.59
1738507784.142393,28.9,4.93,0.00,2.92,0.59
1738507784.242391,28.9,4.93,0.00,2.92,0.59
1738507784.342327,28.9,4.93,0.00,2.92,0.60
1738507784.442388,28.9,4.92,0.00,2.92,0.59
1738507784.542419,28.9,4.93,0.00,2.92,0.59
1738507784.642233,28.9,4.93,0.00,2.92,0.59
1738507784.742391,28.9,4.93,0.00,2.92,0.59
1738507784.842373,28.9,4.93,0.00,2.92,0.59
1738507784.942481,28.9,4.93,0.00,2.92,0.59
1738507785.042296,28.9,4.93,0.00,2.92,0.59
1738507785.142345,28.9,4.93,0.00,2.92,0.59
1738507785.242325,28.9,4.93,0.00,2.92,0.59
1738507785.342408,28.9,4.92,0.00,2.92,0.59
1738507785.442268,28.9,4.93,0.00,2.92,0.59
1738507785.542430,29.8,4.93,0.00,2.92,0.59
1738507785.642408,29.8,4.93,0.00,2.92,0.59
1738507785.742412,29.8,4.93,0.00,2.92,0.60
