timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509814.720966,34.2,4.96,0.00,2.68,0.54
1738509814.820991,34.2,4.96,0.00,2.62,0.54
1738509814.920791,34.2,4.96,0.00,2.62,0.53
1738509815.020893,34.2,4.96,0.00,2.62,0.54
1738509815.120932,34.2,4.96,0.00,2.68,0.54
1738509815.220793,34.2,4.96,0.00,2.68,0.54
1738509815.320837,34.2,4.96,0.00,2.68,0.54
1738509815.420938,34.2,4.96,0.00,2.68,0.54
1738509815.520971,30.7,4.96,0.00,2.68,0.53
1738509815.620791,30.7,4.96,0.00,2.62,0.53
1738509815.720957,30.7,4.96,0.00,2.68,0.54
1738509815.820984,30.7,4.96,0.00,2.62,0.53
1738509815.920941,30.7,4.96,0.00,2.68,0.54
1738509816.020933,30.7,4.96,0.00,2.62,0.53
1738509816.120980,30.7,4.96,0.00,2.68,0.54
1738509816.220970,30.7,4.96,0.00,2.62,0.53
1738509816.320973,30.7,4.96,0.00,2.62,0.54
1738509816.420942,29.8,4.96,0.00,2.62,0.54
1738509816.520960,29.8,4.96,0.00,2.68,0.54
1738509816.620938,29.8,4.96,0.00,2.68,0.54
1738509816.720972,29.8,4.96,0.00,2.68,0.54
1738509816.821050,29.8,4.96,0.00,2.62,0.53
1738509816.920942,29.8,4.96,0.00,2.62,0.54
1738509817.020993,29.8,4.96,0.00,2.62,0.54
1738509817.120955,29.8,4.96,0.00,2.68,0.54
1738509817.220940,29.8,4.96,0.00,2.68,0.54
1738509817.320873,29.8,4.96,0.00,2.68,0.54
1738509817.420905,29.8,4.96,0.00,2.68,0.54
1738509817.520892,29.8,4.96,0.00,2.68,0.54
1738509817.620842,29.8,4.96,0.00,2.68,0.54
1738509817.720950,29.8,4.96,0.00,2.62,0.54
1738509817.820958,29.8,4.96,0.00,2.68,0.54
1738509817.920662,29.8,4.96,0.00,2.62,0.54
1738509818.020933,29.8,4.96,0.00,2.68,0.54
1738509818.120942,29.8,4.96,0.00,2.68,0.54
1738509818.220969,29.8,4.96,0.00,2.68,0.54
1738509818.320890,29.8,4.96,0.00,2.62,0.54
