timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738510169.266921,35.1,4.91,0.00,3.08,0.63
1738510169.367160,35.1,4.91,0.00,3.04,0.62
1738510169.467148,35.1,4.91,0.00,3.04,0.63
1738510169.567191,34.2,4.91,0.00,3.04,0.62
1738510169.667135,34.2,4.91,0.00,3.04,0.62
1738510169.766951,34.2,4.91,0.00,3.04,0.63
1738510169.867001,34.2,4.91,0.00,3.04,0.62
1738510169.967095,34.2,4.91,0.00,3.04,0.62
1738510170.067251,34.2,4.91,0.00,3.04,0.62
1738510170.167107,34.2,4.91,0.00,3.04,0.62
1738510170.267158,34.2,4.91,0.00,3.08,0.62
1738510170.367158,34.2,4.91,0.00,3.04,0.62
1738510170.467200,34.2,4.91,0.00,3.04,0.62
1738510170.567152,34.2,4.91,0.00,3.04,0.62
1738510170.667221,34.2,4.91,0.00,3.04,0.62
1738510170.766934,34.2,4.91,0.00,3.04,0.62
1738510170.867039,34.2,4.91,0.00,3.04,0.63
1738510170.966917,34.2,4.91,0.00,3.04,0.62
1738510171.066961,34.2,4.91,0.00,3.04,0.63
1738510171.167122,33.3,4.91,0.00,3.08,0.62
1738510171.267059,33.3,4.91,0.00,3.04,0.62
1738510171.367097,33.3,4.91,0.00,3.04,0.62
1738510171.467047,33.3,4.91,0.00,3.04,0.62
1738510171.566955,33.3,4.91,0.00,3.04,0.62
1738510171.666989,33.3,4.91,0.00,3.04,0.62
1738510171.766884,33.3,4.91,0.00,3.04,0.63
1738510171.867122,33.3,4.91,0.00,3.08,0.63
1738510171.967051,33.3,4.91,0.00,3.04,0.63
1738510172.066932,34.2,4.91,0.00,3.04,0.63
1738510172.167213,34.2,4.91,0.00,3.04,0.62
1738510172.267212,34.2,4.91,0.00,3.04,0.63
1738510172.367212,34.2,4.91,0.00,3.04,0.62
1738510172.467148,34.2,4.91,0.00,3.04,0.62
1738510172.567166,34.2,4.91,0.00,3.04,0.62
1738510172.667167,34.2,4.91,0.00,3.04,0.62
1738510172.766859,34.2,4.91,0.00,3.04,0.62
1738510172.867189,34.2,4.91,0.00,3.04,0.63
1738510172.967192,34.2,4.91,0.00,3.04,0.62
1738510173.067070,34.2,4.91,0.00,3.04,0.62
1738510173.167237,34.2,4.91,0.00,3.04,0.62
1738510173.267069,34.2,4.91,0.00,3.04,0.62
1738510173.367254,34.2,4.91,0.00,3.04,0.63
1738510173.467216,34.2,4.91,0.00,3.04,0.62
1738510173.567108,34.2,4.91,0.00,3.04,0.63
1738510173.667206,34.2,4.91,0.00,3.04,0.63
1738510173.766969,34.2,4.91,0.00,3.04,0.62
1738510173.867233,34.2,4.91,0.00,3.04,0.62
1738510173.967138,34.2,4.91,0.00,3.04,0.62
1738510174.067182,34.2,4.91,0.00,3.04,0.63
1738510174.167152,34.2,4.91,0.00,3.04,0.62
1738510174.267140,34.2,4.91,0.00,3.04,0.62
1738510174.366993,34.2,4.91,0.00,2.98,0.62
1738510174.467206,34.2,4.91,0.00,3.04,0.63
