timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738510038.537229,33.3,4.91,0.00,3.04,0.62
1738510038.637230,33.3,4.91,0.00,3.04,0.62
1738510038.737589,33.3,4.91,0.00,3.04,0.62
1738510038.837476,33.3,4.91,0.00,3.04,0.62
1738510038.937702,33.3,4.91,0.00,3.04,0.62
1738510039.037617,33.3,4.91,0.00,3.04,0.62
1738510039.137682,33.3,4.91,0.00,3.04,0.62
1738510039.237746,33.3,4.91,0.00,3.04,0.62
1738510039.337739,33.3,4.91,0.00,3.04,0.62
1738510039.437665,33.3,4.91,0.00,3.04,0.63
1738510039.537688,33.3,4.91,0.00,3.04,0.62
1738510039.637362,33.3,4.91,0.00,3.08,0.62
1738510039.737753,33.3,4.91,0.00,3.04,0.63
1738510039.837585,33.3,4.91,0.00,3.04,0.62
1738510039.937710,33.3,4.91,0.00,3.04,0.62
1738510040.037689,33.3,4.91,0.00,3.04,0.63
1738510040.137718,33.3,4.91,0.00,3.04,0.62
1738510040.237618,33.3,4.91,0.00,3.04,0.63
1738510040.337720,34.2,4.91,0.00,3.04,0.62
1738510040.437305,34.2,4.91,0.00,3.04,0.63
1738510040.537410,34.2,4.91,0.00,3.04,0.62
1738510040.637836,34.2,4.91,0.00,3.08,0.62
1738510040.737619,34.2,4.91,0.00,3.04,0.62
1738510040.837421,34.2,4.91,0.00,3.04,0.61
1738510040.937683,34.2,4.91,0.00,3.04,0.63
1738510041.037624,34.2,4.91,0.00,3.04,0.62
1738510041.137700,34.2,4.91,0.00,3.04,0.62
1738510041.237403,34.2,4.91,0.00,3.04,0.62
1738510041.337769,34.2,4.91,0.00,3.08,0.63
1738510041.437808,34.2,4.91,0.00,3.04,0.62
1738510041.537696,34.2,4.91,0.00,3.04,0.62
1738510041.637681,34.2,4.91,0.00,3.04,0.62
1738510041.737723,34.2,4.91,0.00,3.04,0.62
1738510041.837651,34.2,4.91,0.00,3.04,0.62
1738510041.937551,34.2,4.91,0.00,3.04,0.63
1738510042.037700,33.3,4.91,0.00,3.04,0.63
1738510042.137651,33.3,4.91,0.00,3.04,0.62
1738510042.237696,33.3,4.91,0.00,3.04,0.62
1738510042.337733,33.3,4.91,0.00,3.04,0.63
1738510042.437712,33.3,4.91,0.00,3.08,0.62
1738510042.537470,33.3,4.91,0.00,3.04,0.62
1738510042.637756,33.3,4.91,0.00,3.04,0.62
1738510042.737644,33.3,4.91,0.00,3.04,0.62
1738510042.837524,33.3,4.91,0.00,3.04,0.62
1738510042.937761,33.3,4.91,0.00,3.04,0.62
1738510043.037811,33.3,4.91,0.00,3.04,0.62
1738510043.137737,33.3,4.91,0.00,3.04,0.62
1738510043.237730,33.3,4.91,0.00,3.04,0.62
1738510043.337719,33.3,4.91,0.00,3.04,0.62
1738510043.437774,33.3,4.91,0.00,3.04,0.62
1738510043.537751,33.3,4.91,0.00,3.04,0.62
1738510043.637684,33.3,4.91,0.00,3.04,0.62
1738510043.737725,34.2,4.91,0.00,3.04,0.62
1738510043.837743,34.2,4.91,0.00,3.04,0.62
1738510043.937496,34.2,4.91,0.00,3.04,0.62
1738510044.037569,34.2,4.91,0.00,3.08,0.63
1738510044.137695,34.2,4.91,0.00,3.04,0.62
1738510044.237463,34.2,4.91,0.00,3.04,0.62
1738510044.337415,34.2,4.91,0.00,3.04,0.62
1738510044.437416,34.2,4.91,0.00,3.04,0.63
1738510044.537798,34.2,4.91,0.00,3.04,0.62
1738510044.637659,34.2,4.91,0.00,3.04,0.62
1738510044.737491,34.2,4.91,0.00,3.04,0.62
1738510044.837743,34.2,4.91,0.00,3.04,0.62
1738510044.937769,34.2,4.91,0.00,3.04,0.63
1738510045.037732,34.2,4.91,0.00,3.04,0.62
1738510045.137756,34.2,4.91,0.00,2.98,0.62
1738510045.237687,34.2,4.91,0.00,3.08,0.62
1738510045.337469,34.2,4.91,0.00,3.08,0.63
1738510045.437580,34.2,4.91,0.00,3.04,0.62
1738510045.537705,34.2,4.91,0.00,3.04,0.62
1738510045.637418,34.2,4.91,0.00,3.04,0.63
1738510045.737709,34.2,4.91,0.00,3.04,0.62
1738510045.837717,34.2,4.91,0.00,3.04,0.62
1738510045.937427,34.2,4.91,0.00,3.04,0.63
1738510046.037759,34.2,4.91,0.00,3.04,0.62
1738510046.137749,34.2,4.91,0.00,3.04,0.63
1738510046.237653,34.2,4.91,0.00,3.04,0.62
1738510046.337730,34.2,4.91,0.00,3.04,0.63
1738510046.437781,34.2,4.91,0.00,3.08,0.62
1738510046.537703,34.2,4.91,0.00,3.04,0.62
1738510046.637476,34.2,4.91,0.00,3.04,0.62
1738510046.737697,34.2,4.91,0.00,3.04,0.62
1738510046.837772,34.2,4.91,0.00,3.04,0.62
1738510046.937870,34.2,4.91,0.00,3.08,0.63
1738510047.037691,34.2,4.91,0.00,3.04,0.62
1738510047.137812,34.2,4.91,0.00,3.08,0.63
1738510047.237416,34.2,4.91,0.00,3.04,0.63
1738510047.337436,34.2,4.91,0.00,3.08,0.62
1738510047.437773,34.2,4.91,0.00,3.04,0.62
1738510047.537421,34.2,4.91,0.00,3.04,0.63
1738510047.637681,34.2,4.91,0.00,3.08,0.62
1738510047.737425,34.2,4.90,0.00,3.04,0.62
1738510047.837775,34.2,4.91,0.00,3.04,0.63
1738510047.937724,33.3,4.91,0.00,3.04,0.63
1738510048.037429,33.3,4.91,0.00,3.04,0.62
1738510048.137803,33.3,4.91,0.00,3.04,0.62
1738510048.237731,33.3,4.91,0.00,3.04,0.62
1738510048.337774,33.3,4.91,0.00,3.04,0.63
1738510048.437654,33.3,4.91,0.00,3.04,0.63
1738510048.537503,33.3,4.91,0.00,3.04,0.62
1738510048.637670,33.3,4.91,0.00,3.08,0.63
1738510048.737789,34.2,4.91,0.00,3.04,0.62
1738510048.837691,34.2,4.91,0.00,3.04,0.62
1738510048.937540,34.2,4.91,0.00,3.04,0.62
1738510049.037717,34.2,4.91,0.00,3.04,0.62
1738510049.137769,34.2,4.91,0.00,3.04,0.62
1738510049.237793,34.2,4.91,0.00,3.04,0.62
1738510049.337745,34.2,4.91,0.00,3.04,0.62
1738510049.437713,34.2,4.91,0.00,3.04,0.63
1738510049.537716,34.2,4.91,0.00,3.04,0.62
1738510049.637772,34.2,4.91,0.00,3.04,0.63
1738510049.737884,34.2,4.91,0.00,3.04,0.63
1738510049.837801,34.2,4.91,0.00,3.04,0.62
1738510049.937778,34.2,4.91,0.00,3.04,0.62
1738510050.037752,34.2,4.91,0.00,3.04,0.63
1738510050.137692,34.2,4.91,0.00,3.04,0.62
1738510050.237629,34.2,4.91,0.00,3.04,0.63
1738510050.337738,34.2,4.91,0.00,3.04,0.62
1738510050.437804,33.3,4.91,0.00,3.04,0.62
1738510050.537655,33.3,4.91,0.00,3.08,0.62
1738510050.637713,33.3,4.91,0.00,3.04,0.62
1738510050.737793,33.3,4.91,0.00,3.04,0.63
1738510050.837661,33.3,4.91,0.00,3.04,0.62
1738510050.937684,33.3,4.91,0.00,3.04,0.63
1738510051.037633,33.3,4.91,0.00,3.04,0.63
1738510051.137720,33.3,4.91,0.00,3.04,0.62
1738510051.237706,34.2,4.91,0.00,3.04,0.63
1738510051.337510,34.2,4.91,0.00,3.04,0.63
1738510051.437780,34.2,4.91,0.00,3.04,0.62
1738510051.537857,34.2,4.91,0.00,3.04,0.62
1738510051.637676,34.2,4.91,0.00,3.04,0.62
1738510051.737719,34.2,4.91,0.00,3.04,0.62
1738510051.837753,34.2,4.91,0.00,3.04,0.62
1738510051.937693,34.2,4.91,0.00,3.04,0.62
1738510052.037745,34.2,4.91,0.00,3.04,0.62
1738510052.137744,33.3,4.91,0.00,3.08,0.62
1738510052.237705,33.3,4.91,0.00,3.04,0.63
1738510052.337774,33.3,4.91,0.00,3.04,0.63
1738510052.437748,33.3,4.91,0.00,3.04,0.62
1738510052.537634,33.3,4.91,0.00,3.04,0.62
1738510052.637745,33.3,4.91,0.00,3.04,0.62
1738510052.737786,33.3,4.91,0.00,3.04,0.62
1738510052.837772,33.3,4.91,0.00,3.04,0.62
1738510052.937714,33.3,4.91,0.00,3.04,0.62
1738510053.037740,33.3,4.91,0.00,3.04,0.62
1738510053.137723,33.3,4.91,0.00,3.04,0.62
1738510053.237694,33.3,4.91,0.00,3.04,0.63
1738510053.337729,33.3,4.91,0.00,3.04,0.63
