timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738507924.549819,29.8,4.93,0.00,2.86,0.58
1738507924.651443,29.8,4.93,0.00,2.92,0.59
1738507924.753392,29.8,4.93,0.00,2.86,0.59
1738507924.854922,29.8,4.93,0.00,2.92,0.59
1738507924.956502,29.8,4.93,0.00,2.92,0.58
1738507925.058121,29.8,4.93,0.00,2.92,0.58
1738507925.159676,29.8,4.93,0.00,2.86,0.58
1738507925.261266,29.8,4.93,0.00,2.86,0.59
1738507925.362891,29.8,4.93,0.00,2.86,0.59
1738507925.464463,29.8,4.93,0.00,2.86,0.58
1738507925.565967,29.8,4.93,0.00,2.86,0.59
1738507925.667637,29.8,4.93,0.00,2.92,0.58
1738507925.769167,29.8,4.93,0.00,2.86,0.59
1738507925.870750,29.8,4.93,0.00,2.86,0.58
1738507925.972273,29.8,4.93,0.00,2.86,0.58
1738507926.073948,29.8,4.93,0.00,2.86,0.59
1738507926.175507,29.8,4.93,0.00,2.92,0.59
1738507926.277053,29.8,4.93,0.00,2.86,0.59
1738507926.378656,29.8,4.93,0.00,2.86,0.59
1738507926.480198,30.7,4.93,0.00,2.86,0.58
1738507926.581750,30.7,4.93,0.00,2.92,0.59
1738507926.683326,30.7,4.93,0.00,2.86,0.59
1738507926.784991,30.7,4.93,0.00,2.86,0.59
1738507926.886572,30.7,4.93,0.00,2.92,0.59
1738507926.988111,30.7,4.93,0.00,2.92,0.59
1738507927.089597,30.7,4.93,0.00,2.92,0.58
1738507927.191350,30.7,4.93,0.00,2.86,0.59
1738507927.292848,30.7,4.93,0.00,2.86,0.58
1738507927.394394,30.7,4.93,0.00,2.86,0.59
1738507927.495975,30.7,4.93,0.00,2.86,0.58
1738507927.597647,30.7,4.93,0.00,2.86,0.58
1738507927.699260,30.7,4.93,0.00,2.86,0.58
1738507927.800792,30.7,4.93,0.00,2.92,0.59
1738507927.902367,30.7,4.93,0.00,2.86,0.59
1738507928.003970,30.7,4.93,0.00,2.86,0.58
1738507928.105545,30.7,4.93,0.00,2.86,0.58
1738507928.207144,30.7,4.93,0.00,2.92,0.58
1738507928.308716,30.7,4.93,0.00,2.86,0.59
1738507928.410222,30.7,4.93,0.00,2.92,0.59
1738507928.511861,30.7,4.93,0.00,2.92,0.59
1738507928.613378,30.7,4.93,0.00,2.92,0.59
1738507928.715025,30.7,4.93,0.00,2.86,0.59
1738507928.816365,30.7,4.93,0.00,2.86,0.58
1738507928.918147,30.7,4.93,0.00,2.92,0.59
1738507929.019733,30.7,4.93,0.00,2.86,0.59
1738507929.121343,30.7,4.93,0.00,2.86,0.58
1738507929.222902,30.7,4.93,0.00,2.92,0.59
1738507929.324539,30.7,4.93,0.00,2.92,0.58
1738507929.426044,30.7,4.93,0.00,2.92,0.58
1738507929.527679,30.7,4.93,0.00,2.86,0.58
1738507929.629218,30.7,4.93,0.00,2.86,0.58
1738507929.730859,30.7,4.93,0.00,2.86,0.59
1738507929.832360,30.7,4.93,0.00,2.86,0.59
1738507929.934008,30.7,4.93,0.00,2.86,0.59
1738507930.035591,30.7,4.93,0.00,2.86,0.59
1738507930.137104,30.7,4.93,0.00,2.86,0.59
1738507930.238764,30.7,4.93,0.00,2.92,0.59
1738507930.340257,30.7,4.93,0.00,2.92,0.59
1738507930.441851,30.7,4.93,0.00,2.92,0.58
1738507930.543426,30.7,4.93,0.00,2.92,0.59
1738507930.645082,30.7,4.93,0.00,2.86,0.58
1738507930.746645,30.7,4.93,0.00,2.86,0.59
1738507930.848096,30.7,4.93,0.00,2.92,0.58
1738507930.949741,30.7,4.93,0.00,2.86,0.58
1738507931.051374,30.7,4.93,0.00,2.86,0.58
1738507931.152963,30.7,4.93,0.00,2.86,0.59
1738507931.254516,30.7,4.93,0.00,2.86,0.58
1738507931.356089,30.7,4.93,0.00,2.92,0.59
1738507931.457700,30.7,4.93,0.00,2.86,0.58
1738507931.559212,30.7,4.93,0.00,2.92,0.58
1738507931.660878,30.7,4.93,0.00,2.86,0.58
1738507931.762426,30.7,4.93,0.00,2.86,0.59
1738507931.863903,30.7,4.93,0.00,2.86,0.58
1738507931.965630,30.7,4.93,0.00,2.92,0.58
1738507932.067180,30.7,4.93,0.00,2.86,0.59
1738507932.168765,30.7,4.93,0.00,2.92,0.59
1738507932.270341,30.7,4.93,0.00,2.86,0.58
1738507932.371825,30.7,4.93,0.00,2.92,0.58
1738507932.473501,30.7,4.93,0.00,2.86,0.58
1738507932.575080,30.7,4.93,0.00,2.86,0.58
1738507932.676601,30.7,4.93,0.00,2.92,0.58
1738507932.778045,30.7,4.93,0.00,2.86,0.59
1738507932.883216,30.7,4.93,0.00,2.86,0.58
1738507932.981366,30.7,4.93,0.00,2.86,0.59
1738507933.082820,30.7,4.93,0.00,2.92,0.59
1738507933.184606,30.7,4.93,0.00,2.92,0.59
1738507933.286038,30.7,4.93,0.00,2.86,0.58
1738507933.387640,30.7,4.93,0.00,2.86,0.58
1738507933.489247,30.7,4.93,0.00,2.86,0.58
1738507933.590857,30.7,4.93,0.00,2.86,0.59
1738507933.692424,30.7,4.93,0.00,2.86,0.58
1738507933.794087,30.7,4.93,0.00,2.86,0.59
1738507933.895569,30.7,4.93,0.00,2.86,0.58
1738507933.997160,30.7,4.93,0.00,2.86,0.58
1738507934.098780,30.7,4.93,0.00,2.92,0.59
1738507934.200398,30.7,4.93,0.00,2.86,0.59
