timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509386.969357,30.7,4.92,0.00,2.94,0.60
1738509387.069318,30.7,4.92,0.00,2.94,0.60
1738509387.169524,30.7,4.92,0.00,2.94,0.60
1738509387.270628,30.7,4.92,0.00,2.92,0.60
1738509387.369748,30.7,4.92,0.00,2.94,0.59
1738509387.469662,30.7,4.92,0.00,2.94,0.60
1738509387.569415,30.7,4.92,0.00,2.94,0.60
1738509387.669376,30.7,4.92,0.00,2.94,0.60
1738509387.769473,31.6,4.92,0.00,2.94,0.60
1738509387.869793,31.6,4.92,0.00,2.94,0.60
1738509387.969808,31.6,4.92,0.00,2.94,0.59
1738509388.069631,31.6,4.92,0.00,2.94,0.60
1738509388.169668,31.6,4.92,0.00,2.94,0.60
1738509388.269697,31.6,4.92,0.00,2.92,0.60
1738509388.369798,31.6,4.92,0.00,2.94,0.60
1738509388.469755,31.6,4.92,0.00,2.92,0.60
1738509388.569652,31.6,4.92,0.00,2.92,0.60
1738509388.669735,31.6,4.92,0.00,2.92,0.60
1738509388.769751,31.6,4.92,0.00,2.92,0.60
1738509388.869553,31.6,4.92,0.00,2.94,0.60
1738509388.969719,31.6,4.92,0.00,2.94,0.59
1738509389.069710,31.6,4.92,0.00,2.92,0.60
1738509389.169666,31.6,4.92,0.00,2.94,0.60
1738509389.269805,31.6,4.92,0.00,2.94,0.59
1738509389.369629,31.6,4.92,0.00,2.92,0.59
1738509389.469714,31.6,4.92,0.00,2.94,0.60
1738509389.569727,31.6,4.92,0.00,2.94,0.60
1738509389.669964,31.6,4.92,0.00,2.92,0.60
1738509389.769936,31.6,4.92,0.00,2.94,0.60
1738509389.869680,31.6,4.92,0.00,2.94,0.60
1738509389.969801,31.6,4.92,0.00,2.94,0.60
1738509390.069710,31.6,4.92,0.00,2.94,0.60
1738509390.169706,31.6,4.92,0.00,2.92,0.60
1738509390.269721,31.6,4.92,0.00,2.92,0.60
1738509390.369623,31.6,4.92,0.00,2.94,0.60
1738509390.469853,31.6,4.92,0.00,2.92,0.60
1738509390.569540,31.6,4.92,0.00,2.94,0.60
1738509390.669749,31.6,4.92,0.00,2.94,0.60
1738509390.769754,31.6,4.92,0.00,2.94,0.60
1738509390.869769,31.6,4.92,0.00,2.94,0.60
1738509390.969618,31.6,4.92,0.00,2.92,0.60
1738509391.069851,31.6,4.92,0.00,2.92,0.60
1738509391.169727,31.6,4.92,0.00,2.94,0.60
1738509391.269720,31.6,4.92,0.00,2.92,0.60
1738509391.369880,31.6,4.92,0.00,2.94,0.60
1738509391.469845,31.6,4.92,0.00,2.92,0.60
1738509391.569810,31.6,4.92,0.00,2.92,0.60
1738509391.669876,31.6,4.92,0.00,2.94,0.60
1738509391.769697,31.6,4.92,0.00,2.94,0.60
1738509391.869849,31.6,4.92,0.00,2.94,0.60
1738509391.969797,31.6,4.92,0.00,2.92,0.60
1738509392.069795,31.6,4.92,0.00,2.92,0.59
1738509392.169829,31.6,4.92,0.00,2.94,0.60
1738509392.269759,31.6,4.92,0.00,2.94,0.60
1738509392.369789,31.6,4.92,0.00,2.94,0.60
1738509392.469814,31.6,4.92,0.00,2.92,0.60
1738509392.569780,31.6,4.92,0.00,2.92,0.60
1738509392.669842,31.6,4.92,0.00,2.94,0.60
1738509392.769797,30.7,4.92,0.00,2.94,0.60
1738509392.869431,30.7,4.92,0.00,2.94,0.60
1738509392.970672,30.7,4.92,0.00,2.94,0.60
1738509393.069852,30.7,4.92,0.00,2.92,0.60
1738509393.169736,30.7,4.92,0.00,2.94,0.60
1738509393.269757,30.7,4.92,0.00,2.92,0.60
1738509393.369879,30.7,4.92,0.00,2.94,0.59
1738509393.469770,30.7,4.92,0.00,2.94,0.60
1738509393.569688,32.5,4.92,0.00,2.94,0.60
1738509393.669758,32.5,4.92,0.00,2.92,0.60
1738509393.769768,32.5,4.92,0.00,2.92,0.60
1738509393.869813,32.5,4.92,0.00,2.94,0.60
1738509393.969718,32.5,4.92,0.00,2.94,0.60
1738509394.069808,32.5,4.92,0.00,2.94,0.60
1738509394.169484,32.5,4.92,0.00,2.94,0.60
1738509394.269771,32.5,4.92,0.00,2.94,0.60
1738509394.369870,32.5,4.92,0.00,2.94,0.60
1738509394.469775,32.5,4.92,0.00,2.92,0.60
1738509394.569550,32.5,4.92,0.00,2.92,0.60
1738509394.669906,32.5,4.92,0.00,2.94,0.59
1738509394.769670,32.5,4.92,0.00,2.92,0.60
1738509394.869496,32.5,4.92,0.00,2.94,0.60
1738509394.969864,32.5,4.92,0.00,2.94,0.60
