timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509356.047084,29.8,4.92,0.00,2.94,0.60
1738509356.147103,29.8,4.92,0.00,2.94,0.60
1738509356.247366,29.8,4.92,0.00,2.92,0.60
1738509356.347348,29.8,4.92,0.00,2.94,0.60
1738509356.446991,29.8,4.92,0.00,2.92,0.60
1738509356.547017,29.8,4.92,0.00,2.94,0.59
1738509356.647336,31.6,4.92,0.00,2.92,0.59
1738509356.747370,31.6,4.92,0.00,2.92,0.60
1738509356.847412,31.6,4.92,0.00,2.92,0.59
1738509356.947380,31.6,4.92,0.00,2.94,0.60
1738509357.047003,31.6,4.92,0.00,2.92,0.60
1738509357.147156,31.6,4.92,0.00,2.94,0.60
1738509357.247301,31.6,4.92,0.00,2.92,0.60
1738509357.347416,31.6,4.92,0.00,2.94,0.60
1738509357.447384,31.6,4.92,0.00,2.92,0.59
1738509357.547371,31.6,4.92,0.00,2.94,0.59
1738509357.647382,31.6,4.92,0.00,2.92,0.60
1738509357.747121,31.6,4.92,0.00,2.92,0.60
1738509357.847367,31.6,4.92,0.00,2.94,0.60
1738509357.947386,31.6,4.92,0.00,2.94,0.60
1738509358.047382,31.6,4.92,0.00,2.92,0.60
1738509358.147366,31.6,4.92,0.00,2.94,0.60
1738509358.247384,31.6,4.92,0.00,2.94,0.59
1738509358.347318,31.6,4.92,0.00,2.94,0.60
1738509358.447337,31.6,4.92,0.00,2.92,0.60
1738509358.547341,31.6,4.92,0.00,2.94,0.60
1738509358.647403,31.6,4.92,0.00,2.92,0.60
1738509358.747170,31.6,4.92,0.00,2.92,0.60
1738509358.847262,31.6,4.92,0.00,2.92,0.60
1738509358.947267,31.6,4.92,0.00,2.92,0.60
1738509359.047375,31.6,4.92,0.00,2.94,0.60
1738509359.146930,31.6,4.92,0.00,2.94,0.60
1738509359.247383,31.6,4.92,0.00,2.94,0.60
1738509359.347194,31.6,4.92,0.00,2.94,0.60
1738509359.447343,31.6,4.92,0.00,2.94,0.60
1738509359.547305,31.6,4.92,0.00,2.94,0.60
1738509359.647092,31.6,4.92,0.00,2.94,0.59
1738509359.746995,31.6,4.92,0.00,2.92,0.60
1738509359.851302,31.6,4.92,0.00,2.94,0.60
1738509359.947018,31.6,4.92,0.00,2.94,0.60
1738509360.047346,32.5,4.92,0.00,2.92,0.60
1738509360.147305,32.5,4.92,0.00,2.94,0.60
1738509360.247419,32.5,4.92,0.00,2.92,0.60
1738509360.347070,32.5,4.92,0.00,2.94,0.60
1738509360.447363,32.5,4.92,0.00,2.94,0.60
1738509360.547315,32.5,4.92,0.00,2.94,0.60
1738509360.687072,32.5,4.92,0.00,2.92,0.60
1738509360.747190,32.5,4.92,0.00,2.94,0.60
1738509360.847280,31.6,4.92,0.00,2.94,0.59
1738509360.947301,31.6,4.92,0.00,2.92,0.60
1738509361.047447,31.6,4.92,0.00,2.92,0.60
1738509361.147295,31.6,4.92,0.00,2.94,0.60
1738509361.247431,31.6,4.92,0.00,2.92,0.60
1738509361.347372,31.6,4.92,0.00,2.94,0.60
