timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508475.234564,33.3,4.92,0.00,2.94,0.60
1738508475.334670,33.3,4.92,0.00,2.92,0.60
1738508475.434756,33.3,4.92,0.00,2.92,0.60
1738508475.534785,33.3,4.92,0.00,2.94,0.60
1738508475.634717,33.3,4.92,0.00,2.92,0.59
1738508475.734630,33.3,4.92,0.00,2.94,0.59
1738508475.834629,33.3,4.92,0.00,2.94,0.60
1738508475.934549,32.5,4.92,0.00,2.94,0.59
1738508476.034627,32.5,4.92,0.00,2.92,0.60
1738508476.134812,32.5,4.92,0.00,2.92,0.60
1738508476.234589,32.5,4.92,0.00,2.94,0.59
1738508476.334760,32.5,4.92,0.00,2.92,0.59
1738508476.434392,32.5,4.92,0.00,2.92,0.60
1738508476.534360,32.5,4.92,0.00,2.92,0.59
1738508476.634852,32.5,4.92,0.00,2.92,0.59
1738508476.734746,32.5,4.92,0.00,2.94,0.60
1738508476.834830,32.5,4.92,0.00,2.92,0.59
1738508476.934824,32.5,4.92,0.00,2.92,0.59
1738508477.034692,32.5,4.92,0.00,2.92,0.60
1738508477.134851,32.5,4.92,0.00,2.92,0.60
1738508477.234803,32.5,4.92,0.00,2.92,0.59
1738508477.334767,32.5,4.92,0.00,2.92,0.59
1738508477.434743,32.5,4.92,0.00,2.94,0.60
1738508477.534751,31.6,4.92,0.00,2.92,0.60
1738508477.634750,31.6,4.92,0.00,2.92,0.59
1738508477.734730,31.6,4.92,0.00,2.94,0.59
1738508477.834786,31.6,4.92,0.00,2.92,0.59
1738508477.934779,31.6,4.92,0.00,2.92,0.59
1738508478.034820,31.6,4.92,0.00,2.94,0.59
1738508478.134921,31.6,4.92,0.00,2.92,0.59
1738508478.234715,31.6,4.92,0.00,2.92,0.60
1738508478.334628,31.6,4.92,0.00,2.92,0.60
1738508478.434743,31.6,4.92,0.00,2.92,0.59
1738508478.534759,31.6,4.93,0.00,2.92,0.60
1738508478.634811,31.6,4.92,0.00,2.92,0.60
1738508478.734826,31.6,4.93,0.00,2.92,0.59
1738508478.834874,31.6,4.92,0.00,2.92,0.60
1738508478.934803,31.6,4.92,0.00,2.92,0.59
1738508479.034675,31.6,4.92,0.00,2.92,0.59
1738508479.134645,31.6,4.92,0.00,2.92,0.59
1738508479.234628,31.6,4.92,0.00,2.94,0.60
1738508479.334818,31.6,4.92,0.00,2.92,0.60
1738508479.434805,31.6,4.92,0.00,2.94,0.60
1738508479.534744,31.6,4.92,0.00,2.92,0.59
1738508479.634538,31.6,4.92,0.00,2.92,0.60
1738508479.734442,31.6,4.92,0.00,2.92,0.59
1738508479.834389,31.6,4.92,0.00,2.94,0.60
1738508479.934487,31.6,4.92,0.00,2.92,0.59
1738508480.034447,31.6,4.92,0.00,2.92,0.59
1738508480.134742,31.6,4.92,0.00,2.94,0.60
1738508480.234688,31.6,4.92,0.00,2.92,0.59
1738508480.334859,31.6,4.92,0.00,2.92,0.59
1738508480.434821,31.6,4.92,0.00,2.92,0.59
1738508480.534793,31.6,4.92,0.00,2.94,0.60
1738508480.634783,31.6,4.92,0.00,2.92,0.60
1738508480.734819,31.6,4.92,0.00,2.92,0.59
1738508480.834685,31.6,4.92,0.00,2.92,0.59
1738508480.934729,31.6,4.92,0.00,2.94,0.60
1738508481.034741,31.6,4.93,0.00,2.94,0.60
1738508481.134784,31.6,4.92,0.00,2.94,0.60
1738508481.234824,31.6,4.92,0.00,2.92,0.60
1738508481.334857,31.6,4.92,0.00,2.92,0.60
1738508481.434794,31.6,4.92,0.00,2.92,0.60
1738508481.534847,31.6,4.92,0.00,2.94,0.60
1738508481.634816,31.6,4.92,0.00,2.92,0.59
1738508481.735126,31.6,4.92,0.00,2.94,0.60
1738508481.834796,31.6,4.92,0.00,2.92,0.59
1738508481.934780,31.6,4.92,0.00,2.92,0.60
1738508482.034768,31.6,4.92,0.00,2.94,0.59
1738508482.134843,31.6,4.92,0.00,2.94,0.59
1738508482.234769,31.6,4.92,0.00,2.94,0.59
1738508482.334427,31.6,4.92,0.00,2.92,0.60
1738508482.434737,31.6,4.92,0.00,2.92,0.60
