timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509618.306304,32.5,4.92,0.00,2.94,0.60
1738509618.406376,32.5,4.92,0.00,2.94,0.60
1738509618.506648,32.5,4.92,0.00,2.92,0.60
1738509618.606662,32.5,4.92,0.00,3.02,0.60
1738509618.706174,32.5,4.92,0.00,2.92,0.60
1738509618.806691,32.5,4.92,0.00,2.94,0.60
1738509618.906560,32.5,4.92,0.00,2.94,0.60
1738509619.006625,32.5,4.92,0.00,2.94,0.60
1738509619.106638,32.5,4.92,0.00,2.94,0.60
1738509619.206623,32.5,4.92,0.00,2.94,0.60
1738509619.306653,32.5,4.92,0.00,2.94,0.60
1738509619.406686,32.5,4.92,0.00,2.94,0.60
1738509619.506625,32.5,4.92,0.00,2.94,0.60
1738509619.606683,32.5,4.92,0.00,2.94,0.60
1738509619.706760,32.5,4.92,0.00,2.94,0.59
1738509619.806666,32.5,4.92,0.00,2.94,0.60
1738509619.906621,32.5,4.92,0.00,2.94,0.60
1738509620.008033,32.5,4.92,0.00,2.94,0.61
1738509620.106669,32.5,4.92,0.00,2.92,0.60
1738509620.206628,32.5,4.92,0.00,2.92,0.60
1738509620.306589,32.5,4.92,0.00,2.94,0.60
1738509620.406644,32.5,4.92,0.00,2.94,0.60
1738509620.506700,32.5,4.92,0.00,2.94,0.60
1738509620.606433,32.5,4.92,0.00,2.94,0.60
1738509620.706533,32.5,4.92,0.00,2.94,0.60
1738509620.806610,32.5,4.92,0.00,2.94,0.60
1738509620.906659,32.5,4.92,0.00,2.94,0.60
1738509621.006624,32.5,4.92,0.00,2.94,0.60
1738509621.106701,32.5,4.92,0.00,2.92,0.60
1738509621.206601,32.5,4.92,0.00,2.94,0.59
1738509621.306678,32.5,4.92,0.00,2.94,0.60
1738509621.406621,32.5,4.92,0.00,2.94,0.60
1738509621.506628,32.5,4.92,0.00,2.92,0.60
1738509621.606706,32.5,4.92,0.00,2.94,0.60
1738509621.706371,32.5,4.92,0.00,3.02,0.60
1738509621.806651,31.6,4.92,0.00,2.94,0.60
1738509621.906664,31.6,4.92,0.00,2.94,0.61
1738509622.006699,31.6,4.92,0.00,2.94,0.60
1738509622.106577,31.6,4.92,0.00,2.94,0.60
1738509622.206665,31.6,4.92,0.00,2.94,0.59
1738509622.306673,31.6,4.92,0.00,2.94,0.60
1738509622.406595,31.6,4.92,0.00,2.92,0.61
1738509622.506677,31.6,4.92,0.00,2.94,0.60
1738509622.606660,32.5,4.92,0.00,2.94,0.60
1738509622.706643,32.5,4.92,0.00,2.94,0.60
1738509622.806677,32.5,4.92,0.00,2.94,0.59
1738509622.906627,32.5,4.92,0.00,2.94,0.60
1738509623.006659,32.5,4.92,0.00,2.94,0.59
1738509623.106669,32.5,4.92,0.00,2.94,0.60
1738509623.206650,32.5,4.92,0.00,2.94,0.60
1738509623.306637,32.5,4.92,0.00,2.94,0.60
1738509623.406665,31.6,4.92,0.00,2.94,0.61
1738509623.506616,31.6,4.92,0.00,2.94,0.60
1738509623.606665,31.6,4.92,0.00,2.94,0.60
1738509623.706612,31.6,4.92,0.00,2.94,0.60
1738509623.806723,31.6,4.92,0.00,2.94,0.60
1738509623.906648,31.6,4.92,0.00,2.94,0.60
1738509624.006773,31.6,4.92,0.00,2.92,0.60
1738509624.106667,31.6,4.92,0.00,2.94,0.60
1738509624.206650,31.6,4.92,0.00,2.94,0.60
1738509624.306697,32.5,4.92,0.00,2.94,0.60
1738509624.406581,32.5,4.92,0.00,2.94,0.60
1738509624.506641,32.5,4.92,0.00,2.94,0.60
1738509624.606676,32.5,4.92,0.00,2.94,0.60
1738509624.706589,32.5,4.92,0.00,2.92,0.60
1738509624.806690,32.5,4.92,0.00,2.94,0.60
1738509624.906661,32.5,4.92,0.00,2.94,0.60
1738509625.006677,32.5,4.92,0.00,2.94,0.60
1738509625.106623,32.5,4.92,0.00,2.94,0.60
1738509625.206763,32.5,4.92,0.00,2.92,0.60
1738509625.306580,32.5,4.92,0.00,2.94,0.60
1738509625.406699,32.5,4.92,0.00,2.92,0.60
1738509625.506655,32.5,4.92,0.00,2.94,0.60
1738509625.606572,32.5,4.92,0.00,2.92,0.59
1738509625.706492,32.5,4.92,0.00,2.94,0.60
1738509625.806676,32.5,4.92,0.00,2.94,0.60
1738509625.906613,32.5,4.92,0.00,2.94,0.60
1738509626.006706,31.6,4.92,0.00,2.92,0.60
1738509626.106613,31.6,4.92,0.00,2.94,0.60
1738509626.206651,31.6,4.92,0.00,2.94,0.60
1738509626.306607,31.6,4.92,0.00,2.94,0.60
1738509626.406653,31.6,4.92,0.00,2.94,0.60
1738509626.506573,31.6,4.92,0.00,2.94,0.60
1738509626.606704,31.6,4.92,0.00,2.94,0.60
1738509626.706577,31.6,4.92,0.00,2.92,0.60
1738509626.806606,32.5,4.92,0.00,2.94,0.59
1738509626.906548,32.5,4.92,0.00,2.92,0.60
1738509627.006494,32.5,4.92,0.00,2.94,0.61
1738509627.106593,32.5,4.92,0.00,2.94,0.60
1738509627.206613,32.5,4.92,0.00,2.94,0.60
1738509627.306648,32.5,4.92,0.00,2.92,0.60
1738509627.406655,32.5,4.92,0.00,2.92,0.60
1738509627.506723,32.5,4.92,0.00,2.94,0.60
1738509627.606686,31.6,4.92,0.00,2.92,0.60
1738509627.706618,31.6,4.92,0.00,2.94,0.60
1738509627.806578,31.6,4.92,0.00,2.94,0.60
1738509627.906654,31.6,4.92,0.00,2.94,0.60
1738509628.006619,31.6,4.92,0.00,2.94,0.60
1738509628.106676,31.6,4.92,0.00,2.94,0.60
1738509628.206696,31.6,4.92,0.00,2.92,0.60
