timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508666.381295,31.6,4.92,0.00,2.92,0.59
1738508666.482924,31.6,4.92,0.00,2.92,0.60
1738508666.584486,31.6,4.92,0.00,2.94,0.60
1738508666.686081,31.6,4.92,0.00,2.94,0.60
1738508666.787649,31.6,4.92,0.00,2.92,0.60
1738508666.889223,31.6,4.92,0.00,2.94,0.59
1738508666.990554,31.6,4.92,0.00,2.92,0.60
1738508667.092358,31.6,4.92,0.00,2.94,0.59
1738508667.193979,33.3,4.92,0.00,2.94,0.60
1738508667.295520,33.3,4.92,0.00,2.94,0.60
1738508667.397308,33.3,4.92,0.00,2.94,0.59
1738508667.498429,33.3,4.92,0.00,2.92,0.60
1738508667.600287,33.3,4.92,0.00,2.92,0.60
1738508667.701864,33.3,4.92,0.00,2.92,0.60
1738508667.803477,33.3,4.92,0.00,2.94,0.60
1738508667.905075,33.3,4.92,0.00,2.92,0.59
1738508668.006561,32.5,4.92,0.00,2.92,0.60
1738508668.108158,32.5,4.92,0.00,2.92,0.59
1738508668.209789,32.5,4.92,0.00,2.94,0.60
1738508668.311334,32.5,4.92,0.00,2.92,0.59
1738508668.412911,32.5,4.92,0.00,2.94,0.60
1738508668.514494,32.5,4.92,0.00,2.94,0.59
1738508668.616110,32.5,4.92,0.00,2.94,0.60
1738508668.717702,32.5,4.92,0.00,2.94,0.60
1738508668.819271,32.5,4.92,0.00,2.92,0.60
1738508668.920806,32.5,4.92,0.00,2.94,0.60
1738508669.022388,32.5,4.92,0.00,2.92,0.60
1738508669.123968,32.5,4.92,0.00,2.92,0.60
1738508669.225558,32.5,4.92,0.00,2.94,0.59
1738508669.327123,32.5,4.92,0.00,2.94,0.59
1738508669.428719,32.5,4.92,0.00,2.94,0.60
1738508669.530356,32.5,4.92,0.00,2.92,0.60
1738508669.631881,32.5,4.92,0.00,2.92,0.60
1738508669.733455,32.5,4.92,0.00,2.94,0.60
1738508669.835093,32.5,4.92,0.00,2.94,0.60
1738508669.936554,32.5,4.92,0.00,2.94,0.60
1738508670.038196,32.5,4.92,0.00,2.94,0.59
1738508670.139766,32.5,4.92,0.00,2.92,0.60
1738508670.241337,32.5,4.92,0.00,2.94,0.60
1738508670.342957,32.5,4.92,0.00,2.94,0.60
1738508670.444552,32.5,4.92,0.00,2.94,0.60
1738508670.546140,31.6,4.92,0.00,2.94,0.60
1738508670.647730,31.6,4.92,0.00,2.92,0.60
1738508670.749270,31.6,4.92,0.00,2.94,0.59
1738508670.850926,31.6,4.92,0.00,2.92,0.59
1738508670.952452,31.6,4.92,0.00,2.94,0.60
1738508671.054049,31.6,4.92,0.00,2.92,0.60
1738508671.155634,31.6,4.92,0.00,2.92,0.60
1738508671.257207,31.6,4.92,0.00,2.92,0.59
1738508671.358765,32.5,4.92,0.00,2.92,0.60
1738508671.460400,32.5,4.92,0.00,2.94,0.59
1738508671.561963,32.5,4.92,0.00,2.94,0.60
1738508671.663536,32.5,4.92,0.00,2.94,0.60
1738508671.765069,32.5,4.92,0.00,2.94,0.60
1738508671.866700,32.5,4.92,0.00,2.94,0.60
1738508671.968249,32.5,4.92,0.00,2.94,0.60
1738508672.069830,32.5,4.92,0.00,2.92,0.60
1738508672.171413,32.5,4.92,0.00,2.92,0.60
1738508672.273071,32.5,4.92,0.00,2.92,0.60
1738508672.374595,32.5,4.92,0.00,2.94,0.60
1738508672.476178,32.5,4.92,0.00,2.94,0.60
1738508672.577768,32.5,4.92,0.00,2.94,0.60
1738508672.679392,32.5,4.92,0.00,2.94,0.60
1738508672.780950,32.5,4.92,0.00,2.92,0.60
1738508672.882491,32.5,4.92,0.00,2.92,0.60
1738508672.984074,32.5,4.92,0.00,2.94,0.60
1738508673.085587,32.5,4.92,0.00,2.92,0.60
1738508673.187188,32.5,4.92,0.00,2.94,0.60
1738508673.288789,32.5,4.92,0.00,2.94,0.60
1738508673.390368,32.5,4.92,0.00,2.92,0.59
1738508673.491725,32.5,4.92,0.00,2.94,0.60
1738508673.593576,32.5,4.92,0.00,2.94,0.60
1738508673.695150,32.5,4.92,0.00,2.94,0.60
1738508673.796728,32.5,4.92,0.00,2.94,0.60
1738508673.898278,32.5,4.92,0.00,2.92,0.60
1738508673.999880,32.5,4.92,0.00,2.94,0.60
1738508674.101523,32.5,4.92,0.00,2.94,0.60
1738508674.203014,32.5,4.92,0.00,2.92,0.59
1738508674.304636,32.5,4.92,0.00,2.94,0.60
1738508674.406153,32.5,4.92,0.00,2.94,0.59
1738508674.507592,32.5,4.92,0.00,2.94,0.59
1738508674.609293,32.5,4.92,0.00,2.94,0.60
1738508674.710889,32.5,4.92,0.00,2.94,0.59
1738508674.812586,32.5,4.92,0.00,2.94,0.59
1738508674.914115,32.5,4.92,0.00,2.94,0.59
1738508675.015663,32.5,4.93,0.00,2.94,0.60
1738508675.117193,32.5,4.92,0.00,2.94,0.60
1738508675.218837,32.5,4.92,0.00,2.92,0.59
1738508675.320411,32.5,4.92,0.00,2.92,0.60
1738508675.422029,32.5,4.92,0.00,2.94,0.59
1738508675.523628,32.5,4.92,0.00,2.94,0.59
1738508675.625166,32.5,4.92,0.00,2.92,0.59
1738508675.726692,32.5,4.92,0.00,2.92,0.60
1738508675.828272,32.5,4.92,0.00,2.92,0.59
1738508675.929907,32.5,4.92,0.00,2.92,0.60
1738508676.031531,32.5,4.92,0.00,2.94,0.60
1738508676.133112,32.5,4.92,0.00,2.94,0.59
1738508676.234646,32.5,4.92,0.00,2.94,0.60
1738508676.336219,32.5,4.92,0.00,2.94,0.60
1738508676.437844,32.5,4.92,0.00,2.92,0.60
1738508676.539453,32.5,4.92,0.00,2.94,0.60
