timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509340.570746,30.7,4.92,0.00,2.92,0.60
1738509340.670935,30.7,4.92,0.00,2.94,0.60
1738509340.771113,29.8,4.92,0.00,2.94,0.59
1738509340.871137,29.8,4.92,0.00,2.92,0.60
1738509340.971170,29.8,4.92,0.00,2.92,0.60
1738509341.071138,29.8,4.92,0.00,2.94,0.60
1738509341.171077,29.8,4.92,0.00,2.94,0.59
1738509341.271127,29.8,4.92,0.00,2.94,0.60
1738509341.371041,29.8,4.92,0.00,2.94,0.60
1738509341.470935,29.8,4.92,0.00,2.94,0.60
1738509341.570880,31.6,4.92,0.00,2.94,0.59
1738509341.671125,31.6,4.92,0.00,2.94,0.59
1738509341.771043,31.6,4.92,0.00,2.94,0.60
1738509341.871152,31.6,4.92,0.00,2.94,0.60
1738509341.971081,31.6,4.92,0.00,2.92,0.60
1738509342.071029,31.6,4.92,0.00,2.92,0.60
1738509342.171131,31.6,4.92,0.00,2.94,0.60
1738509342.271135,31.6,4.92,0.00,2.92,0.59
1738509342.371103,31.6,4.92,0.00,2.94,0.60
1738509342.471028,30.7,4.92,0.00,2.92,0.60
1738509342.571087,30.7,4.92,0.00,2.94,0.60
1738509342.671147,30.7,4.92,0.00,2.92,0.60
1738509342.771099,30.7,4.92,0.00,2.94,0.60
1738509342.871087,30.7,4.92,0.00,2.94,0.60
1738509342.971043,30.7,4.92,0.00,2.94,0.60
1738509343.071080,30.7,4.92,0.00,2.92,0.60
1738509343.171075,30.7,4.92,0.00,2.94,0.60
1738509343.270979,31.6,4.92,0.00,2.94,0.60
1738509343.371027,31.6,4.92,0.00,2.92,0.60
1738509343.471040,31.6,4.92,0.00,2.92,0.60
1738509343.570895,31.6,4.92,0.00,2.94,0.60
1738509343.671131,31.6,4.92,0.00,2.94,0.60
1738509343.771211,31.6,4.92,0.00,2.94,0.60
1738509343.871082,31.6,4.92,0.00,2.94,0.60
1738509343.970870,31.6,4.92,0.00,2.94,0.60
1738509344.071090,31.6,4.92,0.00,2.94,0.60
1738509344.171054,31.6,4.92,0.00,2.94,0.59
1738509344.271128,31.6,4.92,0.00,2.92,0.60
1738509344.371185,31.6,4.92,0.00,2.92,0.60
1738509344.471069,31.6,4.92,0.00,2.92,0.60
1738509344.571061,31.6,4.92,0.00,2.92,0.59
1738509344.671123,31.6,4.92,0.00,2.94,0.60
1738509344.770766,31.6,4.92,0.00,2.94,0.60
1738509344.871043,31.6,4.92,0.00,2.94,0.60
1738509344.971067,31.6,4.92,0.00,2.92,0.60
1738509345.071028,31.6,4.92,0.00,2.94,0.60
1738509345.171063,31.6,4.92,0.00,2.94,0.60
1738509345.271057,31.6,4.92,0.00,2.92,0.59
1738509345.371161,31.6,4.92,0.00,2.94,0.60
1738509345.471120,31.6,4.92,0.00,2.94,0.60
1738509345.571084,31.6,4.92,0.00,2.92,0.60
1738509345.671068,31.6,4.92,0.00,2.94,0.60
1738509345.771119,31.6,4.92,0.00,2.92,0.60
1738509345.871103,31.6,4.92,0.00,2.94,0.60
1738509345.971068,31.6,4.92,0.00,2.92,0.60
1738509346.070973,31.6,4.92,0.00,2.92,0.60
1738509346.171142,31.6,4.92,0.00,2.92,0.60
1738509346.271162,31.6,4.92,0.00,2.94,0.60
1738509346.371032,31.6,4.92,0.00,2.94,0.60
1738509346.470987,31.6,4.92,0.00,2.92,0.59
1738509346.571055,31.6,4.92,0.00,2.94,0.60
1738509346.671127,31.6,4.92,0.00,2.92,0.60
1738509346.771106,31.6,4.92,0.00,2.94,0.60
1738509346.871147,31.6,4.92,0.00,2.94,0.60
1738509346.971077,31.6,4.92,0.00,2.94,0.60
1738509347.071084,31.6,4.92,0.00,2.92,0.59
1738509347.171113,31.6,4.92,0.00,2.94,0.60
1738509347.270990,31.6,4.92,0.00,2.92,0.60
1738509347.371099,31.6,4.92,0.00,2.92,0.60
1738509347.471125,31.6,4.92,0.00,2.92,0.60
1738509347.571059,31.6,4.92,0.00,2.94,0.60
1738509347.671040,31.6,4.92,0.00,2.94,0.60
1738509347.771059,31.6,4.92,0.00,2.94,0.60
1738509347.870996,31.6,4.92,0.00,2.94,0.59
1738509347.971370,31.6,4.92,0.00,2.92,0.60
1738509348.071021,31.6,4.92,0.00,2.94,0.60
1738509348.171050,31.6,4.92,0.00,2.94,0.60
1738509348.271096,32.5,4.92,0.00,2.94,0.59
1738509348.371098,32.5,4.92,0.00,2.92,0.60
1738509348.471023,32.5,4.92,0.00,2.94,0.60
1738509348.571035,32.5,4.92,0.00,2.94,0.60
1738509348.671073,32.5,4.92,0.00,2.94,0.60
1738509348.770966,32.5,4.92,0.00,2.92,0.60
1738509348.871180,32.5,4.92,0.00,2.94,0.60
1738509348.971066,32.5,4.92,0.00,2.92,0.60
1738509349.071002,32.5,4.92,0.00,2.94,0.60
1738509349.171008,31.6,4.92,0.00,2.92,0.60
1738509349.271562,31.6,4.92,0.00,2.94,0.60
1738509349.371007,31.6,4.92,0.00,2.92,0.59
1738509349.471022,31.6,4.92,0.00,2.92,0.60
1738509349.570991,31.6,4.92,0.00,2.92,0.59
1738509349.671097,31.6,4.92,0.00,2.92,0.60
1738509349.771073,31.6,4.92,0.00,2.92,0.59
1738509349.871085,31.6,4.92,0.00,2.92,0.60
