timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509042.242124,32.5,4.96,0.00,2.62,0.53
1738509042.342369,32.5,4.96,0.00,2.62,0.53
1738509042.442351,32.5,4.96,0.00,2.68,0.54
1738509042.542360,32.5,4.96,0.00,2.68,0.54
1738509042.642361,32.5,4.96,0.00,2.62,0.53
1738509042.742372,32.5,4.96,0.00,2.62,0.53
1738509042.842278,32.5,4.96,0.00,2.62,0.54
1738509042.942408,30.7,4.96,0.00,2.68,0.54
1738509043.042331,30.7,4.96,0.00,2.62,0.54
1738509043.142286,30.7,4.96,0.00,2.62,0.53
1738509043.242359,30.7,4.96,0.00,2.68,0.54
1738509043.342286,30.7,4.96,0.00,2.62,0.53
1738509043.442128,30.7,4.96,0.00,2.68,0.53
1738509043.542394,30.7,4.96,0.00,2.62,0.53
1738509043.642399,30.7,4.96,0.00,2.62,0.54
1738509043.742340,30.7,4.96,0.00,2.68,0.53
1738509043.842314,29.8,4.96,0.00,2.68,0.54
1738509043.942365,29.8,4.96,0.00,2.62,0.53
1738509044.042103,29.8,4.96,0.00,2.62,0.54
1738509044.142377,29.8,4.96,0.00,2.62,0.53
1738509044.242334,29.8,4.96,0.00,2.68,0.54
1738509044.342233,29.8,4.96,0.00,2.62,0.54
1738509044.442291,29.8,4.96,0.00,2.68,0.53
1738509044.542356,29.8,4.96,0.00,2.68,0.53
1738509044.642269,28.9,4.96,0.00,2.62,0.54
1738509044.742377,28.9,4.96,0.00,2.62,0.54
1738509044.842209,28.9,4.96,0.00,2.62,0.54
1738509044.942361,28.9,4.96,0.00,2.62,0.53
1738509045.042364,28.9,4.96,0.00,2.62,0.54
1738509045.142371,28.9,4.96,0.00,2.62,0.53
1738509045.242358,28.9,4.96,0.00,2.62,0.53
1738509045.342331,28.9,4.96,0.00,2.68,0.53
1738509045.442372,28.1,4.96,0.00,2.62,0.53
1738509045.542256,28.1,4.96,0.00,2.62,0.53
1738509045.642346,28.1,4.96,0.00,2.62,0.54
1738509045.742419,28.1,4.96,0.00,2.62,0.53
1738509045.842176,28.1,4.96,0.00,2.68,0.53
1738509045.942353,28.1,4.96,0.00,2.68,0.54
1738509046.042418,28.1,4.96,0.00,2.62,0.53
1738509046.142340,28.1,4.96,0.00,2.68,0.54
1738509046.242301,28.1,4.96,0.00,2.68,0.54
1738509046.342348,28.1,4.96,0.00,2.62,0.54
1738509046.442250,28.1,4.96,0.00,2.68,0.54
1738509046.542357,28.1,4.96,0.00,2.62,0.54
1738509046.642402,28.1,4.96,0.00,2.62,0.53
1738509046.742368,28.1,4.96,0.00,2.62,0.54
1738509046.842202,28.1,4.96,0.00,2.62,0.54
1738509046.942388,28.1,4.96,0.00,2.62,0.53
1738509047.042372,28.1,4.96,0.00,2.62,0.53
1738509047.142425,28.9,4.96,0.00,2.68,0.54
1738509047.242418,28.9,4.96,0.00,2.62,0.54
1738509047.342361,28.9,4.96,0.00,2.62,0.53
1738509047.442173,28.9,4.96,0.00,2.62,0.53
1738509047.542305,28.9,4.96,0.00,2.62,0.53
1738509047.642221,28.9,4.96,0.00,2.68,0.53
1738509047.742250,28.9,4.96,0.00,2.62,0.53
1738509047.842279,28.9,4.96,0.00,2.62,0.54
1738509047.942391,28.9,4.96,0.00,2.62,0.53
1738509048.042184,28.1,4.96,0.00,2.62,0.54
1738509048.142155,28.1,4.96,0.00,2.62,0.53
1738509048.244898,28.1,4.96,0.00,2.62,0.54
1738509048.342257,28.1,4.96,0.00,2.62,0.53
1738509048.442381,28.1,4.96,0.00,2.62,0.53
1738509048.542377,28.1,4.96,0.00,2.62,0.53
1738509048.642371,28.1,4.96,0.00,2.62,0.54
1738509048.742309,28.1,4.96,0.00,2.62,0.54
1738509048.842267,27.2,4.96,0.00,2.68,0.54
1738509048.942315,27.2,4.96,0.00,2.68,0.54
1738509049.047184,27.2,4.96,0.00,2.62,0.54
1738509049.142440,27.2,4.96,0.00,2.62,0.54
1738509049.242360,27.2,4.96,0.00,2.62,0.53
1738509049.342281,27.2,4.96,0.00,2.62,0.53
1738509049.442256,27.2,4.96,0.00,2.62,0.53
1738509049.542225,27.2,4.96,0.00,2.68,0.53
1738509049.642330,28.1,4.96,0.00,2.62,0.53
1738509049.742318,28.1,4.96,0.00,2.62,0.53
1738509049.842224,28.1,4.96,0.00,2.68,0.54
1738509049.942352,28.1,4.96,0.00,2.62,0.53
1738509050.042271,28.1,4.96,0.00,2.62,0.54
1738509050.142335,28.1,4.96,0.00,2.62,0.53
1738509050.242108,28.1,4.96,0.00,2.62,0.53
1738509050.342334,28.1,4.96,0.00,2.62,0.54
1738509050.442313,28.1,4.96,0.00,2.62,0.53
1738509050.542444,28.1,4.96,0.00,2.62,0.53
1738509050.642314,28.1,4.96,0.00,2.62,0.54
1738509050.742294,28.1,4.96,0.00,2.62,0.54
1738509050.842180,28.1,4.96,0.00,2.62,0.53
1738509050.942371,28.1,4.96,0.00,2.62,0.54
1738509051.042361,28.1,4.96,0.00,2.62,0.53
1738509051.142428,28.1,4.96,0.00,2.62,0.54
1738509051.242349,28.1,4.96,0.00,2.68,0.53
1738509051.342379,27.2,4.96,0.00,2.68,0.54
1738509051.442193,27.2,4.96,0.00,2.62,0.53
1738509051.542345,27.2,4.96,0.00,2.68,0.54
1738509051.642338,27.2,4.96,0.00,2.62,0.53
1738509051.742220,27.2,4.96,0.00,2.62,0.54
1738509051.842361,27.2,4.96,0.00,2.62,0.54
1738509051.942373,27.2,4.96,0.00,2.62,0.54
1738509052.042305,27.2,4.96,0.00,2.62,0.53
1738509052.142255,27.2,4.96,0.00,2.68,0.54
1738509052.242383,27.2,4.96,0.00,2.62,0.54
1738509052.342404,27.2,4.96,0.00,2.68,0.53
1738509052.442302,27.2,4.96,0.00,2.62,0.54
1738509052.542227,27.2,4.96,0.00,2.62,0.53
