timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509242.508117,31.6,4.92,0.00,2.92,0.60
1738509242.609667,32.5,4.92,0.00,2.94,0.60
1738509242.710172,32.5,4.92,0.00,2.94,0.60
1738509242.811588,32.5,4.92,0.00,2.94,0.60
1738509242.913240,32.5,4.92,0.00,2.94,0.59
1738509243.014822,32.5,4.92,0.00,2.94,0.60
1738509243.116438,32.5,4.92,0.00,2.94,0.60
1738509243.217996,32.5,4.92,0.00,2.94,0.60
1738509243.319405,32.5,4.92,0.00,2.94,0.60
1738509243.419382,32.5,4.92,0.00,2.94,0.60
1738509243.520964,32.5,4.92,0.00,2.94,0.60
1738509243.622648,32.5,4.92,0.00,2.94,0.60
1738509243.724103,32.5,4.92,0.00,2.94,0.60
1738509243.825782,32.5,4.92,0.00,2.94,0.60
1738509243.927266,32.5,4.92,0.00,2.94,0.60
1738509244.028871,32.5,4.92,0.00,2.94,0.60
1738509244.130445,32.5,4.92,0.00,2.94,0.61
1738509244.231857,32.5,4.92,0.00,2.94,0.60
1738509244.333758,32.5,4.92,0.00,2.94,0.60
1738509244.435141,32.5,4.92,0.00,2.94,0.60
1738509244.536882,32.5,4.92,0.00,2.94,0.60
1738509244.638448,32.5,4.92,0.00,2.94,0.60
1738509244.740076,32.5,4.92,0.00,2.94,0.60
1738509244.841505,32.5,4.92,0.00,2.94,0.60
1738509244.943103,32.5,4.92,0.00,2.94,0.60
1738509245.044788,32.5,4.92,0.00,2.94,0.60
1738509245.146374,32.5,4.92,0.00,2.94,0.60
1738509245.247805,32.5,4.92,0.00,2.94,0.60
1738509245.349630,32.5,4.92,0.00,3.02,0.60
1738509245.451066,32.5,4.92,0.00,2.94,0.60
1738509245.552665,32.5,4.92,0.00,2.94,0.60
1738509245.654291,32.5,4.92,0.00,2.94,0.60
1738509245.755828,32.5,4.92,0.00,2.94,0.61
1738509245.857480,32.5,4.92,0.00,2.94,0.60
1738509245.958964,32.5,4.92,0.00,2.94,0.60
1738509246.060518,32.5,4.92,0.00,2.94,0.60
