timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509633.757450,30.7,4.93,0.00,2.86,0.58
1738509633.858906,30.7,4.93,0.00,2.86,0.58
1738509633.960933,30.7,4.93,0.00,2.86,0.58
1738509634.062516,30.7,4.93,0.00,2.92,0.58
1738509634.164130,30.7,4.93,0.00,2.86,0.58
1738509634.265625,30.7,4.93,0.00,2.86,0.58
1738509634.373897,32.5,4.93,0.00,2.92,0.58
1738509634.470371,32.5,4.93,0.00,2.92,0.58
1738509634.572000,32.5,4.93,0.00,2.86,0.59
1738509634.672416,32.5,4.93,0.00,2.86,0.59
1738509634.773341,32.5,4.93,0.00,2.86,0.58
1738509634.877789,32.5,4.93,0.00,2.92,0.59
1738509634.974878,32.5,4.93,0.00,2.86,0.58
1738509635.076586,32.5,4.93,0.00,2.86,0.58
1738509635.178277,32.5,4.93,0.00,2.86,0.58
1738509635.279848,32.5,4.93,0.00,2.86,0.58
1738509635.381406,32.5,4.93,0.00,2.86,0.58
1738509635.482971,32.5,4.93,0.00,2.86,0.59
1738509635.584662,32.5,4.93,0.00,2.86,0.59
1738509635.686209,32.5,4.93,0.00,2.92,0.59
1738509635.787737,32.5,4.93,0.00,2.86,0.58
1738509635.889323,32.5,4.93,0.00,2.86,0.58
1738509635.990910,31.6,4.93,0.00,2.92,0.59
1738509636.092453,31.6,4.93,0.00,2.92,0.59
1738509636.194056,31.6,4.93,0.00,2.86,0.58
1738509636.295661,31.6,4.93,0.00,2.86,0.58
1738509636.397245,31.6,4.93,0.00,2.86,0.59
1738509636.498768,31.6,4.93,0.00,2.86,0.59
1738509636.600406,31.6,4.93,0.00,2.92,0.58
1738509636.701887,31.6,4.93,0.00,2.86,0.58
1738509636.803477,31.6,4.93,0.00,2.92,0.58
1738509636.905101,32.5,4.93,0.00,2.86,0.59
1738509637.006652,32.5,4.93,0.00,2.86,0.58
1738509637.108313,32.5,4.93,0.00,2.86,0.58
1738509637.209933,32.5,4.93,0.00,2.86,0.59
1738509637.311438,32.5,4.93,0.00,2.92,0.59
1738509637.412988,32.5,4.93,0.00,2.86,0.59
1738509637.514559,32.5,4.93,0.00,2.86,0.58
1738509637.616192,32.5,4.93,0.00,2.86,0.59
1738509637.717771,32.5,4.93,0.00,2.86,0.59
1738509637.819194,32.5,4.93,0.00,2.86,0.59
1738509637.920892,32.5,4.93,0.00,2.86,0.59
1738509638.022515,32.5,4.93,0.00,2.86,0.59
1738509638.124101,32.5,4.93,0.00,2.92,0.59
1738509638.225782,32.5,4.93,0.00,2.86,0.59
1738509638.327242,32.5,4.93,0.00,2.92,0.59
1738509638.428752,32.5,4.93,0.00,2.92,0.59
1738509638.530371,32.5,4.93,0.00,2.86,0.58
1738509638.631896,32.5,4.93,0.00,2.86,0.59
1738509638.733571,32.5,4.93,0.00,2.92,0.59
1738509638.835182,32.5,4.93,0.00,2.86,0.59
1738509638.936692,32.5,4.93,0.00,2.86,0.58
1738509639.038271,32.5,4.93,0.00,2.92,0.59
1738509639.139895,32.5,4.93,0.00,2.86,0.59
1738509639.241460,32.5,4.93,0.00,2.86,0.58
1738509639.343077,32.5,4.93,0.00,2.92,0.59
1738509639.444312,32.5,4.93,0.00,2.86,0.58
1738509639.545835,32.5,4.93,0.00,2.86,0.58
1738509639.647633,32.5,4.93,0.00,2.86,0.58
1738509639.749355,32.5,4.93,0.00,2.86,0.58
1738509639.850959,32.5,4.93,0.00,2.92,0.58
1738509639.952418,32.5,4.93,0.00,2.86,0.58
1738509640.054090,32.5,4.93,0.00,2.86,0.58
1738509640.155721,32.5,4.93,0.00,2.92,0.58
1738509640.257218,32.5,4.93,0.00,2.86,0.59
1738509640.358764,32.5,4.93,0.00,2.86,0.58
1738509640.460417,32.5,4.93,0.00,2.92,0.59
1738509640.562040,32.5,4.93,0.00,2.92,0.58
1738509640.663534,32.5,4.93,0.00,2.86,0.59
1738509640.765160,32.5,4.93,0.00,2.92,0.58
1738509640.866774,32.5,4.93,0.00,2.92,0.59
1738509640.968296,32.5,4.93,0.00,2.86,0.58
1738509641.069921,32.5,4.93,0.00,2.86,0.59
1738509641.171441,32.5,4.93,0.00,2.86,0.58
1738509641.273071,32.5,4.93,0.00,2.86,0.59
1738509641.374737,32.5,4.93,0.00,2.86,0.58
1738509641.476347,32.5,4.93,0.00,2.86,0.58
1738509641.577807,32.5,4.93,0.00,2.86,0.58
1738509641.679406,32.5,4.93,0.00,2.92,0.59
1738509641.781004,32.5,4.93,0.00,2.86,0.58
1738509641.882539,32.5,4.93,0.00,2.86,0.59
1738509641.984093,32.5,4.93,0.00,2.86,0.58
1738509642.085715,32.5,4.93,0.00,2.86,0.59
1738509642.187289,32.5,4.93,0.00,2.86,0.59
1738509642.289012,32.5,4.93,0.00,2.92,0.59
1738509642.390504,32.5,4.93,0.00,2.92,0.59
1738509642.492052,32.5,4.93,0.00,2.92,0.59
1738509642.593800,32.5,4.93,0.00,2.92,0.59
1738509642.695174,32.5,4.93,0.00,2.86,0.58
1738509642.796685,32.5,4.93,0.00,2.86,0.59
1738509642.898327,32.5,4.93,0.00,2.86,0.59
1738509642.999896,32.5,4.93,0.00,2.92,0.58
1738509643.101480,32.5,4.93,0.00,2.86,0.59
1738509643.203083,32.5,4.93,0.00,2.86,0.59
1738509643.304461,32.5,4.93,0.00,2.86,0.59
1738509643.406104,32.5,4.93,0.00,2.92,0.59
1738509643.507818,32.5,4.93,0.00,2.86,0.58
1738509643.609380,31.6,4.93,0.00,2.86,0.59
1738509643.711066,31.6,4.93,0.00,2.86,0.58
1738509643.812140,31.6,4.93,0.00,2.92,0.59
1738509643.912540,31.6,4.93,0.00,2.92,0.58
1738509644.014065,31.6,4.93,0.00,2.86,0.59
1738509644.115702,31.6,4.93,0.00,2.86,0.58
1738509644.217235,31.6,4.93,0.00,2.92,0.59
1738509644.318621,31.6,4.93,0.00,2.86,0.58
1738509644.420381,31.6,4.93,0.00,2.86,0.58
1738509644.521959,31.6,4.93,0.00,2.92,0.59
1738509644.623465,31.6,4.93,0.00,2.86,0.59
1738509644.725177,31.6,4.93,0.00,2.86,0.58
1738509644.826703,31.6,4.93,0.00,2.92,0.59
1738509644.928194,31.6,4.93,0.00,2.86,0.58
1738509645.029549,31.6,4.93,0.00,2.86,0.58
1738509645.131170,31.6,4.93,0.00,2.86,0.58
1738509645.232958,32.5,4.93,0.00,2.86,0.58
1738509645.342790,32.5,4.93,0.00,2.86,0.59
1738509645.437676,32.5,4.93,0.00,2.92,0.59
1738509645.539347,32.5,4.93,0.00,2.92,0.59
1738509645.640904,32.5,4.93,0.00,2.92,0.59
1738509645.742373,32.5,4.93,0.00,2.92,0.58
1738509645.844177,32.5,4.93,0.00,2.86,0.58
1738509645.945696,32.5,4.93,0.00,2.86,0.59
1738509646.047114,31.6,4.93,0.00,2.92,0.59
1738509646.148851,31.6,4.93,0.00,2.86,0.58
1738509646.250383,31.6,4.93,0.00,2.86,0.58
1738509646.351834,31.6,4.93,0.00,2.86,0.58
1738509646.453389,31.6,4.93,0.00,2.86,0.58
1738509646.555029,31.6,4.93,0.00,2.92,0.58
1738509646.656769,31.6,4.93,0.00,2.86,0.58
1738509646.758167,31.6,4.93,0.00,2.86,0.59
1738509646.859743,31.6,4.93,0.00,2.86,0.59
1738509646.961557,32.5,4.93,0.00,2.92,0.59
1738509647.063123,32.5,4.93,0.00,2.86,0.59
1738509647.164793,32.5,4.93,0.00,2.92,0.58
1738509647.266015,32.5,4.93,0.00,2.86,0.58
1738509647.367583,32.5,4.93,0.00,2.86,0.59
1738509647.469233,32.5,4.93,0.00,2.86,0.58
1738509647.570976,32.5,4.93,0.00,2.92,0.59
1738509647.673716,32.5,4.93,0.00,2.86,0.58
1738509647.774198,31.6,4.93,0.00,2.86,0.59
1738509647.875811,31.6,4.93,0.00,2.92,0.59
1738509647.977356,31.6,4.93,0.00,2.86,0.59
1738509648.078933,31.6,4.93,0.00,2.92,0.58
1738509648.180520,31.6,4.93,0.00,2.86,0.58
1738509648.281765,31.6,4.93,0.00,2.86,0.58
1738509648.382282,31.6,4.93,0.00,2.86,0.58
1738509648.483693,31.6,4.93,0.00,2.86,0.59
1738509648.585261,32.5,4.93,0.00,2.86,0.58
