timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738510023.033047,32.5,4.92,0.00,2.94,0.60
1738510023.134636,32.5,4.92,0.00,2.94,0.60
1738510023.236568,32.5,4.92,0.00,2.92,0.59
1738510023.338265,32.5,4.92,0.00,2.94,0.60
1738510023.439783,32.5,4.92,0.00,2.94,0.60
1738510023.541564,34.2,4.92,0.00,2.94,0.60
1738510023.642779,34.2,4.92,0.00,2.94,0.60
1738510023.744604,34.2,4.92,0.00,2.94,0.60
1738510023.846198,34.2,4.92,0.00,2.94,0.60
1738510023.947715,34.2,4.92,0.00,2.94,0.60
1738510024.049102,34.2,4.92,0.00,2.94,0.60
1738510024.150878,34.2,4.92,0.00,2.92,0.60
1738510024.252450,34.2,4.92,0.00,2.94,0.60
1738510024.354064,34.2,4.92,0.00,2.92,0.59
1738510024.455612,33.3,4.92,0.00,2.94,0.60
1738510024.557206,33.3,4.92,0.00,2.92,0.60
1738510024.658654,33.3,4.92,0.00,2.94,0.60
1738510024.760168,33.3,4.92,0.00,2.92,0.59
1738510024.861867,33.3,4.92,0.00,2.94,0.60
1738510024.963527,33.3,4.92,0.00,2.92,0.60
1738510025.065137,33.3,4.92,0.00,2.94,0.60
1738510025.166616,33.3,4.92,0.00,2.94,0.60
1738510025.268194,34.2,4.92,0.00,2.94,0.60
1738510025.369652,34.2,4.92,0.00,2.94,0.60
1738510025.471405,34.2,4.92,0.00,2.94,0.59
1738510025.573051,34.2,4.92,0.00,2.94,0.60
1738510025.674373,34.2,4.92,0.00,2.92,0.60
1738510025.776138,34.2,4.92,0.00,2.94,0.59
1738510025.877776,34.2,4.92,0.00,2.94,0.60
1738510025.979311,34.2,4.92,0.00,2.94,0.59
1738510026.080916,34.2,4.92,0.00,2.92,0.60
1738510026.182499,34.2,4.92,0.00,2.94,0.60
1738510026.284061,34.2,4.92,0.00,2.94,0.60
1738510026.385495,34.2,4.92,0.00,2.94,0.60
1738510026.486965,34.2,4.92,0.00,2.94,0.60
1738510026.588522,34.2,4.92,0.00,2.92,0.60
1738510026.689220,34.2,4.92,0.00,2.94,0.59
1738510026.790113,34.2,4.92,0.00,2.94,0.60
1738510026.891711,33.3,4.92,0.00,2.94,0.60
1738510026.993190,33.3,4.92,0.00,2.92,0.60
1738510027.094892,33.3,4.92,0.00,2.92,0.60
1738510027.196384,33.3,4.92,0.00,2.92,0.60
1738510027.297937,33.3,4.92,0.00,2.92,0.60
1738510027.399635,33.3,4.92,0.00,2.94,0.60
1738510027.501338,33.3,4.92,0.00,2.94,0.60
1738510027.602976,33.3,4.92,0.00,2.94,0.60
1738510027.704554,33.3,4.92,0.00,2.94,0.60
1738510027.806126,33.3,4.92,0.00,2.94,0.60
1738510027.907671,33.3,4.92,0.00,2.94,0.60
1738510028.009281,33.3,4.92,0.00,2.94,0.60
1738510028.110826,33.3,4.92,0.00,2.94,0.60
1738510028.212461,33.3,4.92,0.00,2.94,0.60
1738510028.313778,33.3,4.92,0.00,2.94,0.59
1738510028.415589,33.3,4.92,0.00,2.94,0.60
1738510028.517056,33.3,4.92,0.00,2.94,0.60
1738510028.618632,33.3,4.92,0.00,2.94,0.59
1738510028.720368,33.3,4.92,0.00,2.94,0.60
1738510028.821896,33.3,4.92,0.00,2.94,0.60
1738510028.923472,33.3,4.92,0.00,2.94,0.60
1738510029.024986,33.3,4.92,0.00,2.94,0.60
