timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508422.295380,33.3,4.92,0.00,2.92,0.59
1738508422.395324,33.3,4.92,0.00,2.92,0.59
1738508422.495389,33.3,4.92,0.00,2.94,0.59
1738508422.595241,33.3,4.92,0.00,2.92,0.60
1738508422.695323,33.3,4.92,0.00,2.92,0.60
1738508422.795327,33.3,4.92,0.00,2.94,0.60
1738508422.895283,33.3,4.93,0.00,2.92,0.59
1738508422.995316,33.3,4.92,0.00,2.92,0.60
1738508423.095233,32.5,4.92,0.00,2.92,0.59
1738508423.195389,32.5,4.92,0.00,2.92,0.59
1738508423.295323,32.5,4.92,0.00,2.92,0.60
1738508423.395301,32.5,4.92,0.00,2.92,0.60
1738508423.495364,32.5,4.92,0.00,2.92,0.59
1738508423.595298,32.5,4.92,0.00,2.92,0.59
1738508423.695402,32.5,4.92,0.00,2.92,0.59
1738508423.795379,32.5,4.92,0.00,2.94,0.60
1738508423.895089,31.6,4.92,0.00,2.94,0.60
1738508423.995317,31.6,4.92,0.00,2.94,0.59
1738508424.095287,31.6,4.92,0.00,2.92,0.59
1738508424.195421,31.6,4.92,0.00,2.92,0.60
1738508424.295321,31.6,4.92,0.00,2.92,0.59
1738508424.395390,31.6,4.92,0.00,2.92,0.60
1738508424.495429,31.6,4.92,0.00,2.92,0.60
1738508424.595366,31.6,4.92,0.00,2.92,0.59
1738508424.695162,32.5,4.92,0.00,2.94,0.60
1738508424.795399,32.5,4.93,0.00,2.92,0.59
1738508424.895462,32.5,4.92,0.00,2.92,0.59
1738508424.995442,32.5,4.92,0.00,2.92,0.59
1738508425.095431,32.5,4.92,0.00,2.92,0.60
1738508425.195260,32.5,4.92,0.00,2.92,0.59
1738508425.295394,32.5,4.92,0.00,2.92,0.59
1738508425.395433,32.5,4.92,0.00,2.92,0.59
1738508425.495445,32.5,4.92,0.00,2.92,0.59
1738508425.595450,31.6,4.92,0.00,2.92,0.59
1738508425.695450,31.6,4.92,0.00,2.94,0.60
1738508425.795377,31.6,4.92,0.00,2.92,0.59
1738508425.895396,31.6,4.92,0.00,2.92,0.59
1738508425.995395,31.6,4.92,0.00,2.92,0.59
1738508426.095436,31.6,4.92,0.00,2.94,0.60
1738508426.195394,31.6,4.92,0.00,2.92,0.59
1738508426.295375,31.6,4.92,0.00,2.92,0.60
1738508426.395399,31.6,4.92,0.00,2.92,0.60
1738508426.495400,31.6,4.92,0.00,2.92,0.60
1738508426.595504,31.6,4.93,0.00,2.92,0.59
1738508426.695312,31.6,4.93,0.00,2.92,0.59
1738508426.795386,31.6,4.92,0.00,2.92,0.59
1738508426.895368,31.6,4.92,0.00,2.92,0.59
1738508426.995419,31.6,4.93,0.00,2.92,0.59
1738508427.095286,31.6,4.92,0.00,2.92,0.59
1738508427.195053,31.6,4.92,0.00,2.92,0.59
