timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509881.998234,33.3,4.91,0.00,3.08,0.63
1738509882.098227,33.3,4.91,0.00,3.04,0.62
1738509882.198257,33.3,4.90,0.00,3.04,0.63
1738509882.298705,33.3,4.91,0.00,2.98,0.62
1738509882.398491,33.3,4.90,0.00,3.08,0.63
1738509882.498681,33.3,4.91,0.00,3.08,0.62
1738509882.598565,34.2,4.91,0.00,3.08,0.63
1738509882.698523,34.2,4.91,0.00,3.04,0.62
1738509882.798564,34.2,4.91,0.00,3.08,0.62
1738509882.898789,34.2,4.91,0.00,3.08,0.62
1738509882.998318,34.2,4.91,0.00,3.04,0.63
1738509883.098617,34.2,4.91,0.00,3.04,0.63
1738509883.198448,34.2,4.90,0.00,3.08,0.63
1738509883.298595,34.2,4.91,0.00,3.08,0.63
1738509883.398539,34.2,4.91,0.00,3.04,0.63
1738509883.498488,34.2,4.91,0.00,3.04,0.62
1738509883.598670,34.2,4.91,0.00,3.08,0.62
1738509883.698614,34.2,4.90,0.00,3.04,0.62
1738509883.798243,34.2,4.90,0.00,3.08,0.63
1738509883.898496,34.2,4.90,0.00,3.04,0.62
1738509883.998269,34.2,4.91,0.00,3.04,0.63
1738509884.098526,34.2,4.91,0.00,3.04,0.62
1738509884.198618,34.2,4.90,0.00,3.04,0.62
1738509884.298614,34.2,4.91,0.00,3.04,0.62
1738509884.398465,34.2,4.91,0.00,3.08,0.63
1738509884.498605,34.2,4.91,0.00,3.04,0.63
1738509884.598692,34.2,4.91,0.00,3.04,0.63
1738509884.698619,34.2,4.90,0.00,3.08,0.62
1738509884.798369,34.2,4.91,0.00,3.08,0.63
1738509884.898576,34.2,4.91,0.00,3.08,0.63
1738509884.998463,34.2,4.91,0.00,3.04,0.62
1738509885.098653,34.2,4.91,0.00,3.08,0.63
1738509885.198349,34.2,4.91,0.00,3.08,0.63
1738509885.298444,34.2,4.91,0.00,3.04,0.63
1738509885.398620,34.2,4.91,0.00,3.08,0.63
1738509885.498539,34.2,4.90,0.00,3.04,0.63
1738509885.598298,34.2,4.91,0.00,3.04,0.63
1738509885.698512,34.2,4.91,0.00,3.08,0.62
1738509885.798406,34.2,4.91,0.00,3.04,0.62
1738509885.898353,34.2,4.91,0.00,3.04,0.63
1738509885.998475,34.2,4.91,0.00,3.04,0.62
1738509886.098223,34.2,4.91,0.00,3.04,0.63
1738509886.198330,34.2,4.90,0.00,3.04,0.63
1738509886.298500,34.2,4.91,0.00,3.04,0.63
1738509886.398391,34.2,4.91,0.00,3.08,0.63
1738509886.498531,34.2,4.90,0.00,3.08,0.62
1738509886.598620,34.2,4.91,0.00,3.04,0.63
1738509886.698331,34.2,4.91,0.00,3.04,0.63
1738509886.798421,34.2,4.91,0.00,3.04,0.63
1738509886.898570,34.2,4.91,0.00,3.08,0.63
1738509886.998507,34.2,4.91,0.00,3.08,0.62
1738509887.098635,34.2,4.91,0.00,3.04,0.62
1738509887.198619,34.2,4.91,0.00,3.08,0.62
1738509887.298223,34.2,4.91,0.00,3.04,0.62
1738509887.398556,34.2,4.91,0.00,3.04,0.62
1738509887.498636,34.2,4.91,0.00,3.08,0.62
1738509887.598626,34.2,4.91,0.00,3.08,0.63
1738509887.698362,34.2,4.91,0.00,3.04,0.62
1738509887.798627,34.2,4.91,0.00,3.08,0.63
1738509887.898584,34.2,4.91,0.00,3.04,0.63
1738509887.998605,34.2,4.90,0.00,3.04,0.62
