timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738508334.354100,33.3,4.92,0.00,2.94,0.59
1738508334.454038,33.3,4.92,0.00,2.94,0.60
1738508334.554143,33.3,4.92,0.00,2.94,0.60
1738508334.654055,33.3,4.92,0.00,2.92,0.59
1738508334.754068,33.3,4.92,0.00,2.94,0.59
1738508334.854165,33.3,4.92,0.00,2.94,0.60
1738508334.953887,31.6,4.92,0.00,2.94,0.59
1738508335.054020,31.6,4.92,0.00,2.94,0.60
1738508335.154089,31.6,4.92,0.00,2.92,0.60
1738508335.254164,31.6,4.92,0.00,2.94,0.60
1738508335.354029,31.6,4.92,0.00,2.94,0.59
1738508335.454071,31.6,4.92,0.00,2.94,0.59
1738508335.554155,31.6,4.92,0.00,2.94,0.60
1738508335.654069,31.6,4.92,0.00,2.92,0.60
1738508335.754104,31.6,4.92,0.00,2.92,0.60
1738508335.854099,31.6,4.92,0.00,2.94,0.59
1738508335.954194,31.6,4.92,0.00,2.94,0.59
1738508336.053969,31.6,4.92,0.00,2.94,0.59
1738508336.154053,31.6,4.92,0.00,2.94,0.60
1738508336.254132,31.6,4.92,0.00,2.94,0.60
1738508336.353996,31.6,4.92,0.00,2.92,0.60
1738508336.454109,31.6,4.92,0.00,2.92,0.59
1738508336.554074,31.6,4.92,0.00,2.94,0.60
1738508336.654105,31.6,4.92,0.00,2.92,0.59
1738508336.754151,31.6,4.92,0.00,2.94,0.59
1738508336.854003,31.6,4.92,0.00,2.94,0.60
1738508336.954142,31.6,4.92,0.00,2.92,0.60
1738508337.054123,31.6,4.92,0.00,2.94,0.60
1738508337.154138,31.6,4.92,0.00,2.94,0.60
1738508337.254105,31.6,4.92,0.00,2.92,0.59
1738508337.354069,31.6,4.92,0.00,2.94,0.59
1738508337.454155,31.6,4.92,0.00,2.92,0.59
1738508337.554169,31.6,4.92,0.00,2.92,0.60
1738508337.654055,31.6,4.92,0.00,2.94,0.59
1738508337.753915,31.6,4.92,0.00,2.92,0.59
1738508337.853685,31.6,4.92,0.00,2.92,0.60
1738508337.953690,31.6,4.92,0.00,2.92,0.60
1738508338.053947,31.6,4.92,0.00,2.92,0.60
1738508338.154154,31.6,4.92,0.00,2.92,0.59
1738508338.254123,31.6,4.92,0.00,2.94,0.60
1738508338.354150,31.6,4.92,0.00,2.92,0.59
1738508338.454061,31.6,4.92,0.00,2.94,0.60
1738508338.553696,31.6,4.92,0.00,2.92,0.60
1738508338.654118,31.6,4.92,0.00,2.94,0.60
1738508338.754067,31.6,4.92,0.00,2.92,0.60
1738508338.854172,31.6,4.92,0.00,2.94,0.60
1738508338.954127,31.6,4.92,0.00,2.92,0.60
1738508339.054157,31.6,4.92,0.00,2.92,0.59
1738508339.154146,31.6,4.92,0.00,2.92,0.59
1738508339.254134,31.6,4.92,0.00,2.92,0.60
1738508339.353976,31.6,4.92,0.00,2.92,0.60
1738508339.454119,31.6,4.92,0.00,2.94,0.59
1738508339.554100,31.6,4.92,0.00,2.92,0.60
1738508339.654144,31.6,4.92,0.00,2.94,0.60
1738508339.754075,31.6,4.92,0.00,2.92,0.59
1738508339.854029,31.6,4.92,0.00,2.94,0.60
1738508339.954126,31.6,4.92,0.00,2.92,0.59
1738508340.054030,30.7,4.92,0.00,2.92,0.60
1738508340.154205,30.7,4.92,0.00,2.92,0.59
1738508340.254152,30.7,4.92,0.00,2.92,0.60
1738508340.354155,30.7,4.92,0.00,2.94,0.60
1738508340.454086,30.7,4.92,0.00,2.92,0.60
1738508340.554022,30.7,4.92,0.00,2.94,0.60
1738508340.654135,30.7,4.92,0.00,2.92,0.60
1738508340.754116,30.7,4.92,0.00,2.94,0.60
1738508340.854207,31.6,4.92,0.00,2.92,0.60
1738508340.954166,31.6,4.92,0.00,2.94,0.60
1738508341.054093,31.6,4.92,0.00,2.94,0.59
1738508341.154119,31.6,4.92,0.00,2.92,0.60
1738508341.254082,31.6,4.92,0.00,2.92,0.60
1738508341.354171,31.6,4.92,0.00,2.94,0.60
1738508341.454037,31.6,4.92,0.00,2.92,0.59
1738508341.554088,31.6,4.92,0.00,2.94,0.60
