timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509520.120683,32.5,4.92,0.00,2.94,0.60
1738509520.220698,33.3,4.92,0.00,2.92,0.60
1738509520.320778,33.3,4.92,0.00,2.92,0.60
1738509520.420633,33.3,4.92,0.00,2.92,0.60
1738509520.520702,33.3,4.92,0.00,2.94,0.60
1738509520.620570,33.3,4.92,0.00,2.92,0.60
1738509520.722689,33.3,4.92,0.00,2.94,0.60
1738509520.820676,33.3,4.92,0.00,2.92,0.60
1738509520.920638,33.3,4.92,0.00,2.94,0.60
1738509521.020586,33.3,4.92,0.00,2.94,0.60
1738509521.120614,32.5,4.92,0.00,2.94,0.60
1738509521.220672,32.5,4.92,0.00,2.92,0.60
1738509521.320604,32.5,4.92,0.00,2.94,0.60
1738509521.420484,32.5,4.92,0.00,2.94,0.60
1738509521.520477,32.5,4.92,0.00,2.94,0.60
1738509521.620367,32.5,4.92,0.00,2.92,0.60
1738509521.720646,32.5,4.92,0.00,2.94,0.60
1738509521.820650,32.5,4.92,0.00,2.94,0.60
1738509521.920424,32.5,4.92,0.00,2.92,0.60
1738509522.020731,32.5,4.92,0.00,2.94,0.60
1738509522.120671,32.5,4.92,0.00,2.92,0.60
1738509522.220641,32.5,4.92,0.00,2.94,0.60
1738509522.320480,32.5,4.92,0.00,2.92,0.60
1738509522.420600,32.5,4.92,0.00,2.94,0.59
1738509522.520427,32.5,4.92,0.00,2.94,0.60
1738509522.620677,32.5,4.92,0.00,2.94,0.60
1738509522.720326,32.5,4.92,0.00,2.94,0.60
1738509522.820516,32.5,4.92,0.00,2.94,0.60
1738509522.920629,32.5,4.92,0.00,2.94,0.60
1738509523.020683,32.5,4.92,0.00,2.94,0.60
1738509523.120758,32.5,4.92,0.00,2.94,0.60
1738509523.220473,32.5,4.92,0.00,2.92,0.60
1738509523.320627,32.5,4.92,0.00,2.92,0.60
1738509523.420629,32.5,4.92,0.00,2.92,0.60
1738509523.520556,32.5,4.92,0.00,2.92,0.59
1738509523.620614,31.6,4.92,0.00,2.92,0.59
1738509523.720546,31.6,4.92,0.00,2.94,0.60
1738509523.820730,31.6,4.92,0.00,2.94,0.60
1738509523.920584,31.6,4.92,0.00,2.92,0.60
1738509524.020649,31.6,4.92,0.00,2.94,0.60
1738509524.120659,31.6,4.92,0.00,2.94,0.60
1738509524.220663,31.6,4.92,0.00,2.94,0.60
1738509524.320640,31.6,4.92,0.00,2.92,0.59
1738509524.420553,32.5,4.92,0.00,2.94,0.60
1738509524.520660,32.5,4.92,0.00,2.92,0.60
1738509524.622481,32.5,4.92,0.00,2.94,0.60
1738509524.720710,32.5,4.92,0.00,2.94,0.60
1738509524.820791,32.5,4.92,0.00,2.94,0.60
1738509524.920927,32.5,4.92,0.00,2.92,0.60
1738509525.020919,32.5,4.92,0.00,2.94,0.60
1738509525.120903,32.5,4.92,0.00,2.94,0.60
1738509525.220710,32.5,4.92,0.00,2.94,0.60
1738509525.320911,32.5,4.92,0.00,2.94,0.60
1738509525.420934,32.5,4.92,0.00,2.92,0.59
1738509525.520896,32.5,4.92,0.00,2.94,0.60
1738509525.620927,32.5,4.92,0.00,2.94,0.60
1738509525.720904,32.5,4.92,0.00,2.94,0.60
1738509525.820897,32.5,4.92,0.00,2.94,0.59
1738509525.920537,32.5,4.92,0.00,2.94,0.60
1738509526.020753,32.5,4.92,0.00,2.94,0.59
1738509526.120945,31.6,4.92,0.00,2.94,0.60
1738509526.220832,31.6,4.92,0.00,2.94,0.60
1738509526.320762,31.6,4.92,0.00,2.92,0.60
1738509526.420881,31.6,4.92,0.00,2.94,0.60
