timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509405.094617,33.3,4.90,0.00,3.14,0.64
1738509405.194321,33.3,4.90,0.00,3.14,0.64
1738509405.294459,35.1,4.90,0.00,3.14,0.64
1738509405.396209,35.1,4.90,0.00,3.14,0.64
1738509405.497505,35.1,4.90,0.00,3.14,0.65
1738509405.599472,35.1,4.90,0.00,3.14,0.64
1738509405.701022,35.1,4.90,0.00,3.14,0.64
1738509405.802628,35.1,4.90,0.00,3.14,0.64
1738509405.903880,35.1,4.90,0.00,3.14,0.64
1738509406.005508,35.1,4.90,0.00,3.08,0.64
1738509406.107132,35.1,4.90,0.00,3.14,0.64
1738509406.208748,35.1,4.90,0.00,3.14,0.64
1738509406.310198,35.1,4.90,0.00,3.14,0.64
1738509406.411690,35.1,4.90,0.00,3.14,0.64
1738509406.513158,35.1,4.90,0.00,3.14,0.65
1738509406.614872,35.1,4.90,0.00,3.14,0.64
1738509406.716407,35.1,4.90,0.00,3.14,0.64
1738509406.818503,35.1,4.90,0.00,3.14,0.64
1738509406.919203,35.1,4.90,0.00,3.14,0.64
1738509407.019717,36.0,4.90,0.00,3.08,0.64
1738509407.121213,36.0,4.90,0.00,3.14,0.64
1738509407.222403,36.0,4.90,0.00,3.14,0.64
1738509407.325020,36.0,4.90,0.00,3.14,0.65
1738509407.425563,36.0,4.90,0.00,3.08,0.64
1738509407.527395,36.0,4.90,0.00,3.14,0.64
1738509407.637605,36.0,4.90,0.00,3.14,0.64
1738509407.735808,36.0,4.90,0.00,3.18,0.65
1738509407.837076,36.0,4.90,0.00,3.14,0.64
1738509407.938958,36.0,4.90,0.00,3.14,0.64
1738509408.039977,36.0,4.90,0.00,3.14,0.64
1738509408.141946,36.0,4.90,0.00,3.14,0.64
1738509408.243661,36.0,4.90,0.00,3.18,0.64
1738509408.345127,36.0,4.90,0.00,3.14,0.64
1738509408.446489,36.0,4.90,0.00,3.14,0.64
1738509408.547359,36.0,4.90,0.00,3.14,0.64
1738509408.648550,35.1,4.90,0.00,3.14,0.64
1738509408.749626,35.1,4.90,0.00,3.14,0.64
1738509408.851727,35.1,4.90,0.00,3.14,0.64
1738509408.953366,35.1,4.90,0.00,3.14,0.64
1738509409.055014,35.1,4.90,0.00,3.14,0.65
1738509409.156407,35.1,4.90,0.00,3.14,0.64
1738509409.257890,35.1,4.90,0.00,3.14,0.65
1738509409.359559,35.1,4.90,0.00,3.14,0.64
1738509409.461395,35.1,4.90,0.00,3.14,0.64
1738509409.562736,35.1,4.90,0.00,3.14,0.64
1738509409.664174,35.1,4.90,0.00,3.14,0.64
1738509409.765708,35.1,4.90,0.00,3.14,0.64
1738509409.867678,35.1,4.90,0.00,3.14,0.64
1738509409.968659,35.1,4.90,0.00,3.14,0.64
1738509410.070529,35.1,4.90,0.00,3.14,0.64
1738509410.172287,35.1,4.90,0.00,3.14,0.64
1738509410.273914,35.1,4.90,0.00,3.14,0.65
1738509410.375346,35.1,4.90,0.00,3.14,0.65
1738509410.476934,35.1,4.90,0.00,3.14,0.64
1738509410.578641,35.1,4.90,0.00,3.14,0.64
1738509410.680016,35.1,4.90,0.00,3.14,0.64
1738509410.781271,35.1,4.90,0.00,3.14,0.64
1738509410.883166,35.1,4.90,0.00,3.14,0.64
1738509410.984773,35.1,4.90,0.00,3.14,0.64
1738509411.086328,35.1,4.90,0.00,3.14,0.65
1738509411.188075,35.1,4.90,0.00,3.14,0.64
1738509411.288679,35.1,4.90,0.00,3.14,0.65
1738509411.388879,35.1,4.90,0.00,3.14,0.65
1738509411.490284,35.1,4.90,0.00,3.14,0.64
1738509411.591941,35.1,4.90,0.00,3.14,0.64
1738509411.693766,35.1,4.90,0.00,3.14,0.64
1738509411.795158,35.1,4.90,0.00,3.14,0.65
1738509411.897215,35.1,4.90,0.00,3.14,0.64
1738509411.998539,35.1,4.90,0.00,3.14,0.64
1738509412.100686,35.1,4.90,0.00,3.14,0.64
1738509412.202203,35.1,4.90,0.00,3.14,0.64
1738509412.303740,35.1,4.90,0.00,3.14,0.64
1738509412.409099,35.1,4.90,0.00,3.14,0.64
1738509412.506431,35.1,4.90,0.00,3.08,0.64
1738509412.608225,35.1,4.90,0.00,3.14,0.64
1738509412.709536,35.1,4.90,0.00,3.14,0.64
1738509412.811351,35.1,4.90,0.00,3.08,0.65
1738509412.912916,36.0,4.90,0.00,3.14,0.64
1738509413.014884,36.0,4.90,0.00,3.14,0.65
1738509413.115700,36.0,4.90,0.00,3.14,0.65
1738509413.216311,36.0,4.90,0.00,3.14,0.64
1738509413.317896,36.0,4.90,0.00,3.14,0.64
1738509413.419382,36.0,4.90,0.00,3.14,0.64
1738509413.520787,36.0,4.90,0.00,3.14,0.64
1738509413.622633,36.0,4.90,0.00,3.14,0.64
1738509413.724433,36.0,4.90,0.00,3.14,0.64
1738509413.825842,36.0,4.90,0.00,3.14,0.64
1738509413.926675,36.0,4.90,0.00,3.14,0.64
1738509414.033607,36.0,4.90,0.00,3.14,0.64
1738509414.132178,36.0,4.90,0.00,3.14,0.64
1738509414.233825,36.0,4.90,0.00,3.14,0.65
1738509414.335403,36.0,4.90,0.00,3.14,0.64
1738509414.436816,36.0,4.90,0.00,3.18,0.64
1738509414.538656,35.1,4.90,0.00,3.18,0.65
1738509414.640313,35.1,4.90,0.00,3.14,0.65
1738509414.741588,35.1,4.90,0.00,3.14,0.64
1738509414.843285,35.1,4.90,0.00,3.18,0.64
1738509414.944912,35.1,4.90,0.00,3.14,0.64
1738509415.046579,35.1,4.90,0.00,3.14,0.64
1738509415.148081,35.1,4.90,0.00,3.14,0.64
1738509415.249665,35.1,4.90,0.00,3.14,0.64
1738509415.351243,35.1,4.90,0.00,3.14,0.64
1738509415.452863,36.0,4.90,0.00,3.14,0.64
1738509415.554271,36.0,4.90,0.00,3.14,0.64
1738509415.655879,36.0,4.90,0.00,3.14,0.64
1738509415.757631,36.0,4.90,0.00,3.18,0.64
1738509415.859220,36.0,4.90,0.00,3.18,0.65
1738509415.960562,36.0,4.90,0.00,3.14,0.64
1738509416.061955,36.0,4.90,0.00,3.14,0.64
1738509416.163769,36.0,4.90,0.00,3.14,0.64
1738509416.265527,36.0,4.90,0.00,3.14,0.64
1738509416.365752,36.0,4.90,0.00,3.14,0.64
1738509416.478157,36.0,4.90,0.00,3.14,0.64
1738509416.569120,36.0,4.90,0.00,3.14,0.65
1738509416.670161,36.0,4.90,0.00,3.14,0.65
1738509416.772399,36.0,4.90,0.00,3.18,0.65
1738509416.892476,36.0,4.90,0.00,3.14,0.64
1738509416.976295,36.0,4.90,0.00,3.18,0.64
1738509417.078650,35.1,4.90,0.00,3.14,0.64
1738509417.179392,35.1,4.90,0.00,3.14,0.64
1738509417.281649,35.1,4.90,0.00,3.14,0.64
1738509417.383090,35.1,4.90,0.00,3.14,0.65
1738509417.484731,35.1,4.90,0.00,3.14,0.64
1738509417.584888,35.1,4.90,0.00,3.18,0.65
1738509417.686021,35.1,4.90,0.00,3.14,0.64
1738509417.787836,35.1,4.90,0.00,3.18,0.64
1738509417.896473,36.0,4.90,0.00,3.14,0.64
1738509417.989242,36.0,4.90,0.00,3.14,0.64
1738509418.090862,36.0,4.90,0.00,3.18,0.64
1738509418.192571,36.0,4.90,0.00,3.14,0.64
1738509418.293816,36.0,4.90,0.00,3.14,0.64
1738509418.396487,36.0,4.90,0.00,3.18,0.65
1738509418.498496,36.0,4.90,0.00,3.18,0.64
1738509418.598944,36.0,4.90,0.00,3.14,0.64
1738509418.700523,36.0,4.90,0.00,3.14,0.64
1738509418.802246,35.1,4.90,0.00,3.14,0.64
1738509418.903471,35.1,4.90,0.00,3.14,0.64
1738509419.005058,35.1,4.90,0.00,3.14,0.64
1738509419.106954,35.1,4.90,0.00,3.14,0.64
1738509419.208515,35.1,4.90,0.00,3.14,0.64
1738509419.311434,35.1,4.90,0.00,3.14,0.64
1738509419.411902,35.1,4.90,0.00,3.14,0.64
1738509419.513230,35.1,4.90,0.00,3.14,0.64
1738509419.615365,36.0,4.90,0.00,3.14,0.64
1738509419.716737,36.0,4.90,0.00,3.14,0.64
1738509419.817960,36.0,4.90,0.00,3.14,0.65
1738509419.919465,36.0,4.90,0.00,3.14,0.65
