timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509944.088117,36.0,4.96,0.00,2.62,0.53
1738509944.188121,36.0,4.96,0.00,2.68,0.53
1738509944.288386,36.0,4.96,0.00,2.68,0.54
1738509944.388584,36.0,4.96,0.00,2.62,0.54
1738509944.488454,36.0,4.96,0.00,2.62,0.53
1738509944.588522,36.0,4.96,0.00,2.62,0.54
1738509944.688532,31.6,4.96,0.00,2.68,0.54
1738509944.788569,31.6,4.96,0.00,2.62,0.53
1738509944.888594,31.6,4.96,0.00,2.62,0.53
1738509944.988334,31.6,4.96,0.00,2.62,0.53
1738509945.088291,31.6,4.96,0.00,2.68,0.54
1738509945.188343,31.6,4.96,0.00,2.62,0.54
1738509945.288535,31.6,4.96,0.00,2.62,0.53
1738509945.388537,31.6,4.96,0.00,2.68,0.54
1738509945.488508,31.6,4.96,0.00,2.62,0.54
1738509945.588392,30.7,4.96,0.00,2.68,0.54
1738509945.688555,30.7,4.96,0.00,2.62,0.53
1738509945.788463,30.7,4.96,0.00,2.62,0.53
1738509945.888392,30.7,4.96,0.00,2.62,0.54
1738509945.988468,30.7,4.96,0.00,2.68,0.54
1738509946.088591,30.7,4.96,0.00,2.62,0.53
1738509946.188447,30.7,4.96,0.00,2.68,0.54
1738509946.288595,30.7,4.96,0.00,2.62,0.54
1738509946.388463,29.8,4.96,0.00,2.62,0.53
1738509946.488484,29.8,4.96,0.00,2.62,0.54
1738509946.588461,29.8,4.96,0.00,2.68,0.54
1738509946.688530,29.8,4.96,0.00,2.62,0.53
1738509946.788619,29.8,4.96,0.00,2.62,0.54
1738509946.888307,29.8,4.96,0.00,2.68,0.54
1738509946.988279,29.8,4.96,0.00,2.62,0.54
1738509947.088549,29.8,4.96,0.00,2.62,0.53
1738509947.188544,29.8,4.96,0.00,2.68,0.54
1738509947.288525,28.9,4.96,0.00,2.68,0.53
1738509947.388453,28.9,4.96,0.00,2.62,0.54
1738509947.488534,28.9,4.96,0.00,2.62,0.54
1738509947.588495,28.9,4.96,0.00,2.68,0.53
1738509947.688447,28.9,4.96,0.00,2.62,0.54
1738509947.788449,28.9,4.96,0.00,2.62,0.54
1738509947.888561,28.9,4.96,0.00,2.62,0.54
1738509947.988588,28.9,4.96,0.00,2.68,0.54
1738509948.088473,28.9,4.96,0.00,2.62,0.54
1738509948.188480,28.9,4.96,0.00,2.68,0.54
1738509948.288490,28.9,4.96,0.00,2.68,0.53
1738509948.388288,28.9,4.95,0.00,2.68,0.53
1738509948.489168,28.9,4.96,0.00,2.62,0.54
1738509948.590572,28.9,4.96,0.00,2.62,0.53
1738509948.688533,28.9,4.96,0.00,2.62,0.54
1738509948.791834,28.9,4.96,0.00,2.68,0.53
1738509948.888515,28.9,4.96,0.00,2.62,0.54
1738509948.988494,28.9,4.96,0.00,2.62,0.53
1738509949.088508,28.9,4.96,0.00,2.62,0.53
1738509949.188133,28.9,4.96,0.00,2.68,0.53
1738509949.288423,28.9,4.96,0.00,2.62,0.54
1738509949.388477,28.9,4.96,0.00,2.62,0.54
