timestamp,temperature,voltage_bus,voltage_shunt,power,current
1738509569.109022,28.9,4.93,0.00,2.86,0.58
1738509569.210946,28.9,4.93,0.00,2.86,0.59
1738509569.312569,28.9,4.93,0.00,2.86,0.58
1738509569.414144,28.9,4.93,0.00,2.86,0.58
1738509569.515865,28.9,4.93,0.00,2.86,0.59
1738509569.617004,28.9,4.93,0.00,2.86,0.58
1738509569.718616,30.7,4.93,0.00,2.86,0.58
1738509569.820367,30.7,4.93,0.00,2.92,0.59
1738509569.921878,30.7,4.93,0.00,2.86,0.58
1738509570.023620,30.7,4.93,0.00,2.86,0.58
1738509570.125177,30.7,4.93,0.00,2.86,0.58
1738509570.226786,30.7,4.93,0.00,2.86,0.58
1738509570.328174,30.7,4.93,0.00,2.86,0.59
1738509570.429967,30.7,4.93,0.00,2.92,0.58
1738509570.531624,30.7,4.93,0.00,2.86,0.59
1738509570.633130,31.6,4.93,0.00,2.86,0.58
1738509570.734666,31.6,4.93,0.00,2.86,0.58
1738509570.836235,31.6,4.93,0.00,2.82,0.58
1738509570.937871,31.6,4.93,0.00,2.86,0.59
1738509571.039231,31.6,4.93,0.00,2.86,0.58
1738509571.141033,31.6,4.93,0.00,2.92,0.59
1738509571.242432,31.6,4.93,0.00,2.86,0.58
1738509571.343974,31.6,4.93,0.00,2.86,0.58
1738509571.445698,31.6,4.93,0.00,2.86,0.58
1738509571.547403,31.6,4.93,0.00,2.86,0.58
1738509571.648980,31.6,4.93,0.00,2.86,0.58
1738509571.750547,31.6,4.93,0.00,2.92,0.58
1738509571.852067,31.6,4.93,0.00,2.86,0.58
1738509571.953707,31.6,4.93,0.00,2.86,0.58
1738509572.055278,31.6,4.93,0.00,2.86,0.59
1738509572.156867,31.6,4.93,0.00,2.86,0.58
1738509572.258385,32.5,4.93,0.00,2.86,0.58
1738509572.359976,32.5,4.93,0.00,2.86,0.58
1738509572.461571,32.5,4.93,0.00,2.86,0.58
1738509572.563153,32.5,4.93,0.00,2.86,0.58
1738509572.664717,32.5,4.93,0.00,2.86,0.59
1738509572.766374,32.5,4.93,0.00,2.86,0.58
1738509572.867861,32.5,4.93,0.00,2.86,0.59
1738509572.969478,32.5,4.93,0.00,2.86,0.58
1738509573.071140,31.6,4.93,0.00,2.86,0.58
1738509573.172597,31.6,4.93,0.00,2.92,0.58
1738509573.274211,31.6,4.93,0.00,2.86,0.59
1738509573.375788,31.6,4.93,0.00,2.86,0.59
1738509573.477377,31.6,4.93,0.00,2.86,0.58
1738509573.578994,31.6,4.93,0.00,2.86,0.59
1738509573.680526,31.6,4.93,0.00,2.86,0.58
1738509573.782098,31.6,4.93,0.00,2.86,0.58
1738509573.883717,31.6,4.93,0.00,2.86,0.58
1738509573.985328,31.6,4.93,0.00,2.86,0.58
1738509574.086827,31.6,4.93,0.00,2.86,0.59
